Element 1: (0, (15, 9), ['.', '.', '%', '%'], [(7, 6), (13, 7), (14, 5)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (15, 8))
Element 2: (0, (15, 8), ['.', '.', '', '%'], [(8, 6), (14, 7), (15, 5)], [False, False, False, True], 96, False, [True, True, False, False], 39, 'South', (15, 7))
Element 3: (0, (15, 7), ['', 'G', '', '%'], [(9, 6), (14, 8), (15, 6)], [False, False, False, True], 94, False, [False, False, False, False], 78, 'West', (14, 7))
Element 4: (0, (14, 7), ['', 'G', '', ''], [(10, 6), (14, 9), (14, 6)], [False, False, False, False], 92, False, [False, False, False, False], 1097, 'North', (14, 8))
Element 5: (0, (14, 8), ['.', '', '', ''], [(11, 6), (13, 9), (13, 6)], [False, False, False, False], 90, False, [True, False, False, False], 2116, 'West', (13, 8))
Element 6: (0, (13, 8), ['.', '', '', ''], [(11, 7), (12, 9), (13, 5)], [False, False, False, False], 88, False, [True, False, False, False], 3145, 'West', (12, 8))
Element 7: (0, (12, 8), ['G', '.', '', ''], [(11, 8), (11, 9), (13, 4)], [False, False, False, False], 86, False, [False, True, False, False], 5164, 'South', (12, 7))
Element 8: (0, (12, 7), ['', '.', '', ''], [(10, 8), (10, 9), (14, 4)], [False, False, False, False], 84, False, [False, True, False, False], 7183, 'South', (12, 6))
Element 9: (0, (12, 6), ['', '.', '', ''], [(10, 7), (9, 9), (15, 4)], [False, False, False, False], 82, False, [False, True, False, False], 8212, 'South', (12, 5))
Element 10: (0, (12, 5), ['F', '.', '', ''], [(9, 7), (9, 8), (15, 3)], [False, False, False, False], 80, False, [False, True, False, False], 8251, 'West', (11, 5))
Element 11: (0, (11, 5), ['F', 'F', '', ''], [(8, 7), (8, 8), (15, 2)], [False, False, False, False], 78, False, [False, False, False, False], 9280, 'South', (11, 4))
Element 12: (0, (11, 4), ['F', 'F', '', '.'], [(7, 7), (8, 9), (15, 3)], [False, False, False, False], 76, False, [False, False, False, True], 10299, 'South', (11, 3))
Element 13: (0, (11, 3), ['F', '%', '', '.'], [(7, 8), (7, 9), (14, 3)], [False, True, False, False], 74, False, [False, False, False, True], 11328, 'West', (10, 3))
Element 14: (0, (10, 3), ['.', '.', 'F', ''], [(6, 8), (6, 9), (13, 3)], [False, False, False, False], 72, False, [True, True, False, False], 12357, 'North', (10, 4))
Element 15: (0, (10, 4), ['.', '', 'F', ''], [(6, 7), (5, 9), (13, 2)], [False, False, False, False], 70, False, [True, False, False, False], 13386, 'North', (10, 5))
Element 16: #1#
