Element 1: (0, (12, 8), ['F', '.', '.', '.'], [(4, 1), (5, 3), (14, 4)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (11, 8))
Element 2: (0, (11, 8), ['F', 'F', 'F', ''], [(4, 2), (6, 3), (15, 4)], [False, False, False, False], 96, False, [False, False, False, False], 1029, 'North', (11, 9))
Element 3: (0, (11, 9), ['F', '', '%', '.'], [(4, 3), (7, 3), (15, 5)], [False, False, True, False], 94, False, [False, False, False, True], 2058, 'West', (10, 9))
Element 4: (0, (10, 9), ['.', 'F', '%', ''], [(4, 4), (8, 3), (15, 6)], [False, False, True, False], 92, False, [True, False, False, False], 3087, 'South', (10, 8))
Element 5: (0, (10, 8), ['.', 'F', '', ''], [(5, 4), (9, 3), (15, 7)], [False, False, False, False], 90, False, [True, False, False, False], 4116, 'South', (10, 7))
Element 6: (0, (10, 7), ['.', 'F', '', 'F'], [(6, 4), (10, 3), (15, 8)], [False, False, False, False], 88, False, [True, False, False, False], 6135, 'East', (11, 7))
Element 7: (0, (11, 7), ['', 'F', '', '.'], [(7, 4), (11, 3), (15, 9)], [False, False, False, False], 86, False, [False, False, False, True], 8154, 'South', (11, 6))
Element 8: (0, (11, 6), ['F', 'F', '', '.'], [(8, 4), (11, 4), (14, 9)], [False, False, False, False], 84, False, [False, False, False, True], 10173, 'South', (11, 5))
Element 9: (0, (11, 5), ['F', '', '', '.'], [(9, 4), (10, 4), (14, 8)], [False, False, False, False], 82, False, [False, False, False, True], 12192, 'West', (10, 5))
Element 10: (0, (10, 5), ['G', '', 'F', ''], [(9, 5), (9, 4), (14, 7)], [False, False, False, False], 80, False, [False, False, False, False], 13211, 'North', (10, 6))
Element 11: #1#
