Element 1: (0, (13, 4), ['.', '.', '.', 'G'], [(4, 5), (8, 4), (14, 4)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'North', (13, 5))
Element 2: (0, (13, 5), ['.', '', '.', '.'], [(5, 5), (9, 4), (15, 4)], [False, False, False, False], 96, False, [True, False, True, True], 39, 'East', (14, 5))
Element 3: (0, (14, 5), ['', '', '.', 'G'], [(6, 5), (10, 4), (15, 5)], [False, False, False, False], 94, False, [False, False, True, False], 1068, 'North', (14, 6))
Element 4: (0, (14, 6), ['.', '', '.', 'G'], [(7, 5), (11, 4), (15, 6)], [False, False, False, False], 92, False, [True, False, True, False], 2097, 'North', (14, 7))
Element 5: (0, (14, 7), ['.', '', '.', 'G'], [(8, 5), (11, 5), (15, 7)], [False, False, False, False], 90, False, [True, False, True, False], 3126, 'North', (14, 8))
Element 6: (0, (14, 8), ['.', '', '.', 'G'], [(9, 5), (11, 6), (15, 8)], [False, False, False, False], 88, False, [True, False, True, False], 4155, 'North', (14, 9))
Element 7: (0, (14, 9), ['.', '', '%', 'G'], [(10, 5), (11, 7), (15, 9)], [False, False, True, False], 86, False, [True, False, False, False], 6174, 'West', (13, 9))
Element 8: (0, (13, 9), ['.', '.', '%', 'G'], [(10, 6), (11, 8), (14, 9)], [False, False, True, False], 84, False, [True, True, False, False], 8183, 'South', (13, 8))
Element 9: (0, (13, 8), ['.', '.', '', 'G'], [(10, 7), (11, 9), (14, 8)], [False, False, False, False], 82, False, [True, True, False, False], 10192, 'South', (13, 7))
Element 10: (0, (13, 7), ['.', '.', '', 'G'], [(10, 8), (10, 9), (14, 7)], [False, False, False, False], 80, False, [True, True, False, False], 12201, 'South', (13, 6))
Element 11: (0, (13, 6), ['.', '', '', 'G'], [(9, 8), (9, 9), (14, 6)], [False, False, False, False], 78, False, [True, False, False, False], 12230, 'West', (12, 6))
Element 12: (0, (12, 6), ['', '.', '.', ''], [(9, 7), (8, 9), (14, 5)], [False, False, False, False], 76, False, [False, True, True, False], 12259, 'North', (12, 7))
Element 13: (0, (12, 7), ['', '', '.', ''], [(9, 6), (8, 8), (13, 5)], [False, False, False, False], 74, False, [False, False, True, False], 12288, 'North', (12, 8))
Element 14: (0, (12, 8), ['', '', '.', ''], [(8, 6), (8, 7), (12, 5)], [False, False, False, False], 72, False, [False, False, True, False], 12327, 'North', (12, 9))
Element 15: (0, (12, 9), ['', '', '%', ''], [(7, 6), (7, 7), (12, 4)], [False, False, True, False], 70, False, [False, False, False, False], 12366, 'West', (11, 9))
Element 16: (0, (11, 9), ['', '', '%', ''], [(6, 6), (7, 8), (12, 3)], [False, False, True, False], 68, False, [False, False, False, False], 12395, 'South', (11, 8))
Element 17: (0, (11, 8), ['', '', '', ''], [(6, 7), (7, 9), (11, 3)], [False, False, False, False], 66, False, [False, False, False, False], 13414, 'South', (11, 7))
Element 18: #1#
