Element 1: (3, (14, 9), ['.', '.', '%', '.'], [(5, 8), (7, 7), (15, 3)], [False, False, True, False], 98, False, [True, True, False, True], 29, 'East', (15, 9))
Element 2: (3, (15, 9), ['', '.', '%', '%'], [(6, 8), (8, 7), (15, 4)], [False, False, True, True], 96, False, [False, True, False, False], 68, 'South', (15, 8))
Element 3: (3, (15, 8), ['.', '.', '', '%'], [(7, 8), (9, 7), (15, 5)], [False, False, False, True], 94, False, [True, True, False, False], 107, 'South', (15, 7))
Element 4: (3, (15, 7), ['.', 'G', '', '%'], [(8, 8), (10, 7), (15, 6)], [False, False, False, True], 92, False, [True, False, False, False], 1136, 'West', (14, 7))
Element 5: (3, (14, 7), ['.', 'G', '.', ''], [(9, 8), (11, 7), (14, 6)], [False, False, False, False], 90, False, [True, False, True, False], 2165, 'North', (14, 8))
Element 6: (3, (14, 8), ['.', '', '', ''], [(10, 8), (11, 8), (14, 5)], [False, False, False, False], 88, False, [True, False, False, False], 4184, 'West', (13, 8))
Element 7: (3, (13, 8), ['.', '.', '.', ''], [(10, 9), (11, 9), (14, 4)], [False, False, False, False], 86, False, [True, True, True, False], 6203, 'North', (13, 9))
Element 8: (3, (13, 9), ['G', '', '%', ''], [(9, 9), (12, 9), (13, 4)], [False, False, True, False], 84, False, [False, False, False, False], 6242, 'South', (13, 8))
Element 9: (3, (13, 8), ['G', '.', '', ''], [(8, 9), (12, 8), (13, 5)], [False, False, False, False], 82, False, [False, True, False, False], 6271, 'South', (13, 7))
Element 10: (3, (13, 7), ['G', 'G', '', ''], [(7, 9), (12, 7), (13, 6)], [False, False, False, False], 80, False, [False, False, False, False], 6310, 'North', (13, 8))
Element 11: (3, (13, 8), ['', 'G', '', ''], [(6, 9), (12, 6), (13, 7)], [False, False, False, False], 78, False, [False, False, False, False], 6329, 'West', (12, 8))
Element 12: (3, (12, 8), ['', '', '', ''], [(5, 9), (11, 6), (14, 7)], [False, False, False, False], 76, False, [False, False, False, False], 7338, 'North', (12, 9))
Element 13: (3, (12, 9), ['', '', '%', ''], [(4, 9), (11, 5), (15, 7)], [False, False, True, False], 74, False, [False, False, False, False], 8347, 'West', (11, 9))
Element 14: (3, (11, 9), ['', '', '%', ''], [(4, 8), (11, 4), (15, 8)], [False, False, True, False], 72, False, [False, False, False, False], 9356, 'South', (11, 8))
Element 15: (3, (11, 8), ['', '', '', ''], [(4, 7), (11, 3), (15, 9)], [False, False, False, False], 70, False, [False, False, False, False], 10365, 'South', (11, 7))
Element 16: (3, (11, 7), ['', '', '', ''], [(4, 6), (10, 3), (14, 9)], [False, False, False, False], 68, False, [False, False, False, False], 11374, 'East', (12, 7))
Element 17: (3, (12, 7), ['', '', '', ''], [(5, 6), (10, 4), (14, 8)], [False, False, False, False], 66, False, [False, False, False, False], 12383, 'South', (12, 6))
Element 18: (3, (12, 6), ['', '.', '', ''], [(6, 6), (10, 5), (13, 8)], [False, False, False, False], 64, False, [False, True, False, False], 13392, 'South', (12, 5))
Element 19: #1#
