Element 1: (0, (14, 9), ['.', '.', '%', '.'], [(1, 1), (5, 5), (10, 2)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (15, 9))
Element 2: (0, (15, 9), ['', '.', '%', '%'], [(2, 1), (6, 5), (10, 3)], [False, False, True, True], 96, False, [False, True, False, False], 1029, 'South', (15, 8))
Element 3: (0, (15, 8), ['.', '.', '', '%'], [(3, 1), (7, 5), (11, 3)], [False, False, False, True], 94, False, [True, True, False, False], 2058, 'South', (15, 7))
Element 4: (0, (15, 7), ['.', '.', '', '%'], [(4, 1), (8, 5), (11, 4)], [False, False, False, True], 92, False, [True, True, False, False], 3087, 'South', (15, 6))
Element 5: (0, (15, 6), ['.', '.', '', '%'], [(4, 2), (9, 5), (11, 5)], [False, False, False, True], 90, False, [True, True, False, False], 4116, 'South', (15, 5))
Element 6: (0, (15, 5), ['.', '.', '', '%'], [(4, 3), (10, 5), (11, 6)], [False, False, False, True], 88, False, [True, True, False, False], 6135, 'South', (15, 4))
Element 7: (0, (15, 4), ['.', '.', '', '%'], [(5, 3), (10, 6), (11, 7)], [False, False, False, True], 86, False, [True, True, False, False], 8154, 'South', (15, 3))
Element 8: (0, (15, 3), ['.', '.', '', '%'], [(6, 3), (10, 7), (11, 8)], [False, False, False, True], 84, False, [True, True, False, False], 10173, 'South', (15, 2))
Element 9: (0, (15, 2), ['%', '%', '', '%'], [(7, 3), (10, 8), (11, 9)], [True, True, False, True], 82, False, [False, False, False, False], 12192, 'North', (15, 3))
Element 10: (0, (15, 3), ['.', '', '', '%'], [(8, 3), (10, 9), (12, 9)], [False, False, False, True], 80, False, [True, False, False, False], 13211, 'West', (14, 3))
Element 11: (0, (14, 3), ['.', '%', '.', ''], [(9, 3), (9, 9), (13, 9)], [False, True, False, False], 78, False, [True, False, True, False], 13250, 'North', (14, 4))
Element 12: (0, (14, 4), ['.', '', '.', ''], [(9, 4), (9, 8), (13, 8)], [False, False, False, False], 76, False, [True, False, True, False], 13289, 'North', (14, 5))
Element 13: #1#
