Element 1: (0, (15, 9), ['.', '.', '%', '%'], [(1, 4), (4, 3), (8, 9)], [False, False, True, True], 98, False, [True, True, False, False], 0, 'South', (15, 8))
Element 2: (0, (15, 8), ['.', '.', '', '%'], [(1, 5), (4, 4), (9, 9)], [False, False, False, True], 96, False, [True, True, False, False], 39, 'South', (15, 7))
Element 3: (0, (15, 7), ['.', '.', '', '%'], [(1, 6), (5, 4), (10, 9)], [False, False, False, True], 94, False, [True, True, False, False], 1068, 'West', (14, 7))
Element 4: (0, (14, 7), ['.', '.', '.', ''], [(1, 7), (5, 5), (11, 9)], [False, False, False, False], 92, False, [True, True, True, False], 2097, 'North', (14, 8))
Element 5: (0, (14, 8), ['.', '', '.', ''], [(1, 8), (4, 5), (11, 8)], [False, False, False, False], 90, False, [True, False, True, False], 3126, 'North', (14, 9))
Element 6: (0, (14, 9), ['.', '', '%', ''], [(1, 9), (3, 5), (11, 7)], [False, False, True, False], 88, False, [True, False, False, False], 4155, 'West', (13, 9))
Element 7: (0, (13, 9), ['.', '.', '%', ''], [(1, 8), (3, 4), (11, 6)], [False, False, True, False], 86, False, [True, True, False, False], 5174, 'South', (13, 8))
Element 8: (0, (13, 8), ['.', '.', '', ''], [(1, 7), (3, 3), (11, 5)], [False, False, False, False], 84, False, [True, True, False, False], 6193, 'South', (13, 7))
Element 9: (0, (13, 7), ['.', '.', '', ''], [(1, 6), (3, 4), (10, 5)], [False, False, False, False], 82, False, [True, True, False, False], 7202, 'West', (12, 7))
Element 10: (0, (12, 7), ['', '.', '.', ''], [(1, 5), (3, 5), (10, 6)], [False, False, False, False], 80, False, [False, True, True, False], 8211, 'South', (12, 6))
Element 11: (0, (12, 6), ['', '.', '', '.'], [(1, 4), (3, 6), (10, 7)], [False, False, False, False], 78, False, [False, True, False, True], 9230, 'South', (12, 5))
Element 12: (0, (12, 5), ['', '.', '', '.'], [(1, 3), (4, 6), (10, 8)], [False, False, False, False], 76, False, [False, True, False, True], 10259, 'East', (13, 5))
Element 13: (0, (13, 5), ['', '.', '.', '.'], [(1, 2), (4, 7), (9, 8)], [False, False, False, False], 74, False, [False, True, True, True], 10298, 'East', (14, 5))
Element 14: (0, (14, 5), ['', '.', '.', '.'], [(1, 1), (5, 7), (9, 7)], [False, False, False, False], 72, False, [False, True, True, True], 10337, 'East', (15, 5))
Element 15: (0, (15, 5), ['', '.', '.', '%'], [(2, 1), (6, 7), (9, 6)], [False, False, False, True], 70, False, [False, True, True, False], 10376, 'North', (15, 6))
Element 16: (0, (15, 6), ['.', '', '', '%'], [(3, 1), (7, 7), (9, 5)], [False, False, False, True], 68, False, [True, False, False, False], 10415, 'West', (14, 6))
Element 17: (0, (14, 6), ['.', '', '', ''], [(4, 1), (7, 6), (8, 5)], [False, False, False, False], 66, False, [True, False, False, False], 10454, 'West', (13, 6))
Element 18: (0, (13, 6), ['', '', '', ''], [(4, 2), (8, 6), (8, 4)], [False, False, False, False], 64, False, [False, False, False, False], 10493, 'East', (14, 6))
Element 19: (0, (14, 6), ['', '', '', ''], [(4, 3), (8, 7), (9, 4)], [False, False, False, False], 62, False, [False, False, False, False], 10512, 'East', (15, 6))
Element 20: (0, (15, 6), ['', '', '', '%'], [(5, 3), (8, 8), (10, 4)], [False, False, False, True], 60, False, [False, False, False, False], 11531, 'South', (15, 5))
Element 21: (0, (15, 5), ['', '.', '', '%'], [(6, 3), (7, 8), (11, 4)], [False, False, False, True], 58, False, [False, True, False, False], 12550, 'South', (15, 4))
Element 22: (0, (15, 4), ['.', '.', '', '%'], [(6, 2), (7, 9), (11, 3)], [False, False, False, True], 56, False, [True, True, False, False], 13579, 'South', (15, 3))
Element 23: #1#
