Element 1: (2, (8, 5), ['.', '.', '.', 'G'], [(4, 7), (8, 9), (9, 5)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'North', (8, 6))
Element 2: (2, (8, 6), ['.', '', '.', '.'], [(5, 7), (9, 9), (10, 5)], [False, False, False, False], 96, False, [True, False, True, True], 1048, 'East', (9, 6))
Element 3: (2, (9, 6), ['', '', '.', 'F'], [(6, 7), (10, 9), (11, 5)], [False, False, False, False], 94, False, [False, False, True, False], 3067, 'East', (10, 6))
Element 4: (2, (10, 6), ['', '', 'F', 'G'], [(7, 7), (11, 9), (11, 6)], [False, False, False, False], 92, False, [False, False, False, False], 6076, 'North', (10, 7))
Element 5: (2, (10, 7), ['.', '', 'F', 'G'], [(8, 7), (11, 8), (11, 7)], [False, False, False, False], 90, False, [True, False, False, False], 9085, 'North', (10, 8))
Element 6: (2, (10, 8), ['.', '', '', ''], [(9, 7), (12, 8), (12, 7)], [False, False, False, False], 88, False, [True, False, False, False], 10114, 'West', (9, 8))
Element 7: (2, (9, 8), ['.', '', '', ''], [(10, 7), (13, 8), (13, 7)], [False, False, False, False], 86, False, [True, False, False, False], 10143, 'West', (8, 8))
Element 8: (2, (8, 8), ['.', '', '', ''], [(11, 7), (14, 8), (14, 7)], [False, False, False, False], 84, False, [True, False, False, False], 10172, 'West', (7, 8))
Element 9: (2, (7, 8), ['.', '', '', ''], [(12, 7), (15, 8), (15, 7)], [False, False, False, False], 82, False, [True, False, False, False], 10201, 'West', (6, 8))
Element 10: (2, (6, 8), ['.', '', '.', ''], [(12, 6), (15, 9), (15, 6)], [False, False, False, False], 80, False, [True, False, True, False], 10240, 'North', (6, 9))
Element 11: (2, (6, 9), ['.', '', '%', ''], [(13, 6), (14, 9), (15, 5)], [False, False, True, False], 78, False, [True, False, False, False], 10279, 'West', (5, 9))
Element 12: (2, (5, 9), ['.', '.', '%', ''], [(14, 6), (13, 9), (15, 4)], [False, False, True, False], 76, False, [True, True, False, False], 10318, 'South', (5, 8))
Element 13: (2, (5, 8), ['.', '', '', ''], [(14, 5), (12, 9), (15, 3)], [False, False, False, False], 74, False, [True, False, False, False], 10357, 'West', (4, 8))
Element 14: (2, (4, 8), ['.', '', '.', ''], [(14, 4), (13, 9), (15, 2)], [False, False, False, False], 72, False, [True, False, True, False], 10386, 'North', (4, 9))
Element 15: (2, (4, 9), ['.', '', '%', ''], [(14, 3), (14, 9), (15, 3)], [False, False, True, False], 70, False, [True, False, False, False], 10405, 'West', (3, 9))
Element 16: (2, (3, 9), ['%', '.', '%', ''], [(13, 3), (15, 9), (15, 2)], [True, False, True, False], 68, False, [False, True, False, False], 10424, 'South', (3, 8))
Element 17: (2, (3, 8), ['%', '', '', ''], [(13, 4), (15, 8), (15, 3)], [True, False, False, False], 66, False, [False, False, False, False], 10443, 'South', (3, 7))
Element 18: (2, (3, 7), ['%', '.', '', ''], [(13, 5), (15, 7), (15, 4)], [True, False, False, False], 64, False, [False, True, False, False], 10452, 'South', (3, 6))
Element 19: (2, (3, 6), ['%', '.', '', '.'], [(12, 5), (15, 6), (14, 4)], [True, False, False, False], 62, False, [False, True, False, True], 10471, 'East', (4, 6))
Element 20: (2, (4, 6), ['', '.', '', '.'], [(12, 4), (15, 5), (14, 5)], [False, False, False, False], 60, False, [False, True, False, True], 10490, 'East', (5, 6))
Element 21: (2, (5, 6), ['', '.', '', '.'], [(11, 4), (15, 4), (14, 6)], [False, False, False, False], 58, False, [False, True, False, True], 11499, 'East', (6, 6))
Element 22: (2, (6, 6), ['', '.', '', '.'], [(11, 3), (15, 3), (13, 6)], [False, False, False, False], 56, False, [False, True, False, True], 12508, 'East', (7, 6))
Element 23: (2, (7, 6), ['', '.', '', ''], [(10, 3), (15, 2), (13, 5)], [False, False, False, False], 54, False, [False, True, False, False], 13517, 'South', (7, 5))
Element 24: #1#
