Element 1: (2, (9, 5), ['.', '.', '.', 'F'], [(8, 7), (1, 7), (12, 5)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 5))
Element 2: (2, (10, 5), ['', 'F', 'F', 'G'], [(9, 7), (1, 8), (11, 5)], [False, False, False, False], 96, False, [False, False, False, False], 2038, 'North', (10, 6))
Element 3: (2, (10, 6), ['.', '', 'G', 'G'], [(10, 7), (1, 9), (11, 6)], [False, False, False, False], 94, False, [True, False, False, False], 5047, 'West', (9, 6))
Element 4: (2, (9, 6), ['.', '', '', ''], [(10, 8), (1, 8), (11, 7)], [False, False, False, False], 92, False, [True, False, False, False], 7056, 'West', (8, 6))
Element 5: (2, (8, 6), ['.', '.', '', ''], [(10, 9), (1, 7), (11, 8)], [False, False, False, False], 90, False, [True, True, False, False], 9065, 'South', (8, 5))
Element 6: (2, (8, 5), ['.', '.', '', ''], [(9, 9), (1, 6), (11, 9)], [False, False, False, False], 88, False, [True, True, False, False], 10084, 'South', (8, 4))
Element 7: (2, (8, 4), ['.', '.', '', '.'], [(9, 8), (1, 5), (12, 9)], [False, False, False, False], 86, False, [True, True, False, True], 10123, 'East', (9, 4))
Element 8: (2, (9, 4), ['', '.', '', 'F'], [(8, 8), (1, 4), (13, 9)], [False, False, False, False], 84, False, [False, True, False, False], 10162, 'East', (10, 4))
Element 9: (2, (10, 4), ['', 'F', '', 'F'], [(8, 9), (1, 3), (14, 9)], [False, False, False, False], 82, False, [False, False, False, False], 11191, 'East', (11, 4))
Element 10: (2, (11, 4), ['', 'F', '', '.'], [(7, 9), (1, 2), (15, 9)], [False, False, False, False], 80, False, [False, False, False, True], 12220, 'South', (11, 3))
Element 11: (2, (11, 3), ['F', '%', '', '.'], [(7, 8), (1, 1), (15, 8)], [False, True, False, False], 78, False, [False, False, False, True], 13249, 'West', (10, 3))
Element 12: #1#
