Element 1: (2, (12, 5), ['F', '.', '.', '.'], [(4, 4), (1, 7), (15, 7)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'West', (11, 5))
Element 2: (2, (11, 5), ['F', 'F', 'F', ''], [(5, 4), (1, 8), (15, 8)], [False, False, False, False], 96, False, [False, False, False, False], 1048, 'North', (11, 6))
Element 3: (2, (11, 6), ['F', '', 'F', '.'], [(6, 4), (1, 9), (15, 9)], [False, False, False, False], 94, False, [False, False, False, True], 2077, 'North', (11, 7))
Element 4: (2, (11, 7), ['F', '', 'F', '.'], [(7, 4), (1, 8), (14, 9)], [False, False, False, False], 92, False, [False, False, False, True], 3096, 'North', (11, 8))
Element 5: (2, (11, 8), ['F', '', 'F', '.'], [(8, 4), (1, 7), (14, 8)], [False, False, False, False], 90, False, [False, False, False, True], 4115, 'North', (11, 9))
Element 6: (2, (11, 9), ['F', '', '%', '.'], [(9, 4), (1, 6), (14, 7)], [False, False, True, False], 88, False, [False, False, False, True], 5134, 'West', (10, 9))
Element 7: (2, (10, 9), ['.', 'F', '%', ''], [(10, 4), (1, 5), (14, 6)], [False, False, True, False], 86, False, [True, False, False, False], 7153, 'South', (10, 8))
Element 8: (2, (10, 8), ['.', 'F', '', ''], [(11, 4), (1, 4), (15, 6)], [False, False, False, False], 84, False, [True, False, False, False], 9172, 'South', (10, 7))
Element 9: (2, (10, 7), ['.', 'F', '', ''], [(11, 3), (1, 3), (15, 5)], [False, False, False, False], 82, False, [True, False, False, False], 11191, 'South', (10, 6))
Element 10: (2, (10, 6), ['.', 'F', '', ''], [(10, 3), (1, 2), (15, 4)], [False, False, False, False], 80, False, [True, False, False, False], 13210, 'South', (10, 5))
Element 11: #1#
