Element 1: (0, (3, 6), ['%', '.', '.', '.'], [(8, 8), (13, 2), (15, 3)], [True, False, False, False], 98, False, [False, True, True, True], 0, 'East', (4, 6))
Element 2: (0, (4, 6), ['', '.', '.', '.'], [(9, 8), (13, 3), (15, 4)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (5, 6))
Element 3: (0, (5, 6), ['', '.', '.', '.'], [(10, 8), (14, 3), (15, 5)], [False, False, False, False], 94, False, [False, True, True, True], 1068, 'East', (6, 6))
Element 4: (0, (6, 6), ['', '.', '.', '.'], [(11, 8), (14, 4), (15, 6)], [False, False, False, False], 92, False, [False, True, True, True], 2097, 'East', (7, 6))
Element 5: (0, (7, 6), ['', '.', '.', '.'], [(11, 9), (14, 5), (15, 7)], [False, False, False, False], 90, False, [False, True, True, True], 3126, 'East', (8, 6))
Element 6: (0, (8, 6), ['', '.', '.', '.'], [(10, 9), (14, 6), (15, 8)], [False, False, False, False], 88, False, [False, True, True, True], 4155, 'East', (9, 6))
Element 7: (0, (9, 6), ['', '.', '.', 'F'], [(9, 9), (14, 7), (15, 9)], [False, False, False, False], 86, False, [False, True, True, False], 4194, 'East', (10, 6))
Element 8: (0, (10, 6), ['', 'F', 'F', 'F'], [(8, 9), (14, 8), (14, 9)], [False, False, False, False], 84, False, [False, False, False, False], 5223, 'East', (11, 6))
Element 9: (0, (11, 6), ['', 'F', 'F', '.'], [(7, 9), (13, 8), (13, 9)], [False, False, False, False], 82, False, [False, False, False, True], 6252, 'North', (11, 7))
Element 10: (0, (11, 7), ['F', '', '', '.'], [(7, 8), (13, 7), (12, 9)], [False, False, False, False], 80, False, [False, False, False, True], 7281, 'West', (10, 7))
Element 11: (0, (10, 7), ['.', '', '', ''], [(7, 7), (13, 6), (12, 8)], [False, False, False, False], 78, False, [True, False, False, False], 8310, 'West', (9, 7))
Element 12: (0, (9, 7), ['G', '', '', ''], [(8, 7), (13, 5), (12, 7)], [False, False, False, False], 76, False, [False, False, False, False], 8349, 'North', (9, 8))
Element 13: (0, (9, 8), ['', 'G', '', ''], [(9, 7), (13, 4), (12, 6)], [False, False, False, False], 74, False, [False, False, False, False], 8368, 'East', (10, 8))
Element 14: (0, (10, 8), ['', 'G', '', ''], [(10, 7), (12, 4), (12, 5)], [False, False, False, False], 72, False, [False, False, False, False], 8387, 'East', (11, 8))
Element 15: (0, (11, 8), ['', 'G', '', ''], [(11, 7), (11, 4), (11, 5)], [False, False, False, False], 70, False, [False, False, False, False], 10386, 'East', (12, 8))
Element 16: (0, (12, 8), ['', 'G', '', ''], [(12, 7), (11, 3), (10, 5)], [False, False, False, False], 68, False, [False, False, False, False], 12385, 'East', (13, 8))
Element 17: #1#
