Element 1: (3, (13, 1), ['.', '%', '.', '.'], [(15, 4), (1, 5), (6, 3)], [False, True, False, False], 98, False, [True, False, True, True], 29, 'East', (14, 1))
Element 2: (3, (14, 1), ['', '%', '%', '%'], [(15, 5), (1, 6), (7, 3)], [False, True, True, True], 96, False, [False, False, False, False], 68, 'West', (13, 1))
Element 3: (3, (13, 1), ['.', '%', '.', ''], [(15, 6), (1, 7), (8, 3)], [False, True, False, False], 94, False, [True, False, True, False], 97, 'North', (13, 2))
Element 4: (3, (13, 2), ['%', '', '.', '%'], [(15, 7), (1, 8), (9, 3)], [True, False, False, True], 92, False, [False, False, True, False], 136, 'North', (13, 3))
Element 5: (3, (13, 3), ['.', '', '.', '.'], [(15, 8), (1, 9), (10, 3)], [False, False, False, False], 90, False, [True, False, True, True], 1165, 'East', (14, 3))
Element 6: (3, (14, 3), ['', '%', '', '.'], [(15, 9), (1, 8), (11, 3)], [False, True, False, False], 88, False, [False, False, False, True], 2184, 'East', (15, 3))
Element 7: (3, (15, 3), ['', '.', '', '%'], [(14, 9), (1, 7), (11, 4)], [False, False, False, True], 86, False, [False, True, False, False], 3203, 'South', (15, 2))
Element 8: (3, (15, 2), ['%', '%', '', '%'], [(14, 8), (1, 6), (11, 5)], [True, True, False, True], 84, False, [False, False, False, False], 4222, 'North', (15, 3))
Element 9: (3, (15, 3), ['', '', '', '%'], [(14, 7), (1, 5), (11, 6)], [False, False, False, True], 82, False, [False, False, False, False], 5231, 'North', (15, 4))
Element 10: (3, (15, 4), ['', '', '', '%'], [(14, 6), (1, 4), (11, 7)], [False, False, False, True], 80, False, [False, False, False, False], 6240, 'North', (15, 5))
Element 11: (3, (15, 5), ['G', '', '', '%'], [(14, 5), (1, 3), (11, 8)], [False, False, False, True], 78, False, [False, False, False, False], 7259, 'North', (15, 6))
Element 12: (3, (15, 6), ['', '', '', '%'], [(13, 5), (1, 2), (11, 9)], [False, False, False, True], 76, False, [False, False, False, False], 8278, 'North', (15, 7))
Element 13: (3, (15, 7), ['', '', '', '%'], [(13, 6), (1, 1), (10, 9)], [False, False, False, True], 74, False, [False, False, False, False], 9297, 'North', (15, 8))
Element 14: (3, (15, 8), ['', '', '', '%'], [(13, 7), (2, 1), (10, 8)], [False, False, False, True], 72, False, [False, False, False, False], 10316, 'North', (15, 9))
Element 15: (3, (15, 9), ['', '', '%', '%'], [(13, 8), (3, 1), (10, 7)], [False, False, True, True], 70, False, [False, False, False, False], 11335, 'West', (14, 9))
Element 16: (3, (14, 9), ['G', '', '%', ''], [(13, 9), (4, 1), (10, 6)], [False, False, True, False], 68, False, [False, False, False, False], 12354, 'South', (14, 8))
Element 17: (3, (14, 8), ['', '', '', ''], [(12, 9), (4, 2), (10, 5)], [False, False, False, False], 66, False, [False, False, False, False], 13373, 'South', (14, 7))
Element 18: #1#
