Element 1: (3, (18, 1), ['.', '%', '%', '%'], [(9, 5), (8, 1), (15, 9)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (17, 1))
Element 2: (3, (17, 1), ['.', '%', '%', ''], [(10, 5), (9, 1), (14, 9)], [False, True, True, False], 96, False, [True, False, False, False], 1058, 'West', (16, 1))
Element 3: (3, (16, 1), ['%', '%', '%', ''], [(11, 5), (10, 1), (14, 8)], [True, True, True, False], 94, False, [False, False, False, False], 2087, 'East', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(11, 6), (11, 1), (14, 7)], [False, True, True, False], 92, False, [False, False, False, False], 3106, 'East', (18, 1))
Element 5: (3, (18, 1), ['', '%', '%', '%'], [(11, 7), (12, 1), (15, 7)], [False, True, True, True], 90, False, [False, False, False, False], 4125, 'Stop', (18, 1))
Element 6: (3, (18, 1), ['', '%', '%', '%'], [(11, 8), (13, 1), (15, 6)], [False, True, True, True], 88, False, [False, False, False, False], 5144, 'West', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(11, 9), (14, 1), (15, 5)], [False, True, True, False], 86, False, [False, False, False, False], 6163, 'West', (16, 1))
Element 8: (3, (16, 1), ['%', '%', '%', ''], [(10, 9), (13, 1), (15, 4)], [True, True, True, False], 84, False, [False, False, False, False], 7172, 'East', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(10, 8), (13, 2), (15, 3)], [False, True, True, False], 82, False, [False, False, False, False], 8191, 'East', (18, 1))
Element 10: (3, (18, 1), ['', '%', '%', '%'], [(10, 7), (13, 3), (15, 2)], [False, True, True, True], 80, False, [False, False, False, False], 9210, 'Stop', (18, 1))
Element 11: (3, (18, 1), ['', '%', '%', '%'], [(10, 6), (14, 3), (15, 3)], [False, True, True, True], 78, False, [False, False, False, False], 10219, 'West', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(9, 6), (14, 4), (14, 3)], [False, True, True, False], 76, False, [False, False, False, False], 10238, 'West', (16, 1))
Element 13: (3, (16, 1), ['%', '%', '%', ''], [(9, 7), (14, 5), (14, 4)], [True, True, True, False], 74, False, [False, False, False, False], 10257, 'East', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(9, 8), (14, 6), (13, 4)], [False, True, True, False], 72, False, [False, False, False, False], 10286, 'East', (18, 1))
Element 15: (3, (18, 1), ['', '%', '%', '%'], [(9, 9), (13, 6), (13, 5)], [False, True, True, True], 70, False, [False, False, False, False], 10315, 'Stop', (18, 1))
Element 16: (3, (18, 1), ['', '%', '%', '%'], [(8, 9), (13, 7), (12, 5)], [False, True, True, True], 68, False, [False, False, False, False], 10344, 'West', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(8, 8), (13, 8), (12, 6)], [False, True, True, False], 66, False, [False, False, False, False], 10373, 'West', (16, 1))
Element 18: (3, (16, 1), ['%', '%', '%', ''], [(8, 7), (13, 9), (12, 7)], [True, True, True, False], 64, False, [False, False, False, False], 10402, 'East', (17, 1))
Element 19: (3, (17, 1), ['', '%', '%', ''], [(8, 6), (12, 9), (12, 8)], [False, True, True, False], 62, False, [False, False, False, False], 10431, 'East', (18, 1))
Element 20: (3, (18, 1), ['', '%', '%', '%'], [(7, 6), (11, 9), (13, 8)], [False, True, True, True], 60, False, [False, False, False, False], 10440, 'Stop', (18, 1))
Element 21: (3, (18, 1), ['', '%', '%', '%'], [(7, 7), (11, 8), (13, 9)], [False, True, True, True], 58, False, [False, False, False, False], 10449, 'West', (17, 1))
Element 22: (3, (17, 1), ['', '%', '%', ''], [(7, 8), (12, 8), (12, 9)], [False, True, True, False], 56, False, [False, False, False, False], 10458, 'West', (16, 1))
Element 23: (3, (16, 1), ['%', '%', '%', ''], [(7, 9), (12, 7), (11, 9)], [True, True, True, False], 54, False, [False, False, False, False], 10467, 'East', (17, 1))
Element 24: (3, (17, 1), ['', '%', '%', ''], [(6, 9), (12, 6), (11, 8)], [False, True, True, False], 52, False, [False, False, False, False], 10476, 'East', (18, 1))
Element 25: (3, (18, 1), ['', '%', '%', '%'], [(6, 8), (12, 5), (11, 7)], [False, True, True, True], 50, False, [False, False, False, False], 10485, 'Stop', (18, 1))
Element 26: (3, (18, 1), ['', '%', '%', '%'], [(6, 7), (12, 4), (11, 6)], [False, True, True, True], 48, False, [False, False, False, False], 10504, 'West', (17, 1))
Element 27: (3, (17, 1), ['', '%', '%', ''], [(6, 6), (11, 4), (11, 5)], [False, True, True, False], 46, False, [False, False, False, False], 11513, 'West', (16, 1))
Element 28: (3, (16, 1), ['%', '%', '%', ''], [(6, 5), (11, 3), (11, 4)], [True, True, True, False], 44, False, [False, False, False, False], 12522, 'East', (17, 1))
Element 29: #1#
