Element 1: (3, (9, 6), ['.', '.', '.', 'F'], [(4, 2), (7, 1), (9, 9)], [False, False, False, False], 98, False, [True, True, True, False], 29, 'East', (10, 6))
Element 2: (3, (10, 6), ['', 'F', 'F', 'F'], [(4, 3), (8, 1), (10, 9)], [False, False, False, False], 96, False, [False, False, False, False], 2048, 'East', (11, 6))
Element 3: (3, (11, 6), ['', 'F', 'F', '.'], [(5, 3), (9, 1), (11, 9)], [False, False, False, False], 94, False, [False, False, False, True], 4067, 'North', (11, 7))
Element 4: (3, (11, 7), ['F', '', 'G', '.'], [(6, 3), (10, 1), (11, 8)], [False, False, False, False], 92, False, [False, False, False, True], 6086, 'West', (10, 7))
Element 5: (3, (10, 7), ['.', '', 'G', ''], [(7, 3), (11, 1), (10, 8)], [False, False, False, False], 90, False, [True, False, False, False], 8105, 'West', (9, 7))
Element 6: (3, (9, 7), ['.', '', 'G', ''], [(8, 3), (12, 1), (9, 8)], [False, False, False, False], 88, False, [True, False, False, False], 8144, 'West', (8, 7))
Element 7: (3, (8, 7), ['.', '.', 'G', ''], [(9, 3), (13, 1), (8, 8)], [False, False, False, False], 86, False, [True, True, False, False], 8183, 'South', (8, 6))
Element 8: (3, (8, 6), ['.', '.', '', ''], [(10, 3), (14, 1), (7, 8)], [False, False, False, False], 84, False, [True, True, False, False], 9212, 'South', (8, 5))
Element 9: (3, (8, 5), ['.', '.', '', '.'], [(11, 3), (13, 1), (7, 9)], [False, False, False, False], 82, False, [True, True, False, True], 10231, 'East', (9, 5))
Element 10: (3, (9, 5), ['', '.', '', 'F'], [(11, 4), (13, 2), (6, 9)], [False, False, False, False], 80, False, [False, True, False, False], 11260, 'East', (10, 5))
Element 11: (3, (10, 5), ['', 'F', '', 'G'], [(11, 5), (13, 3), (6, 8)], [False, False, False, False], 78, False, [False, False, False, False], 13279, 'South', (10, 4))
Element 12: #1#
