Element 1: (1, (4, 4), ['', '.', '.', '.'], [(3, 5), (7, 8), (15, 9)], [False, False, False, False], 98, False, [False, True, True, True], 9, 'East', (5, 4))
Element 2: (1, (5, 4), ['', '.', '.', '.'], [(4, 5), (8, 8), (15, 8)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (6, 4))
Element 3: (1, (6, 4), ['', '.', '.', '.'], [(5, 5), (9, 8), (15, 7)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (7, 4))
Element 4: (1, (7, 4), ['', '.', '.', '.'], [(6, 5), (10, 8), (15, 6)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (8, 4))
Element 5: (1, (8, 4), ['', '.', '.', '.'], [(7, 5), (11, 8), (15, 5)], [False, False, False, False], 90, False, [False, True, True, True], 2145, 'East', (9, 4))
Element 6: (1, (9, 4), ['', '.', '.', 'F'], [(8, 5), (11, 9), (15, 4)], [False, False, False, False], 88, False, [False, True, True, False], 3174, 'East', (10, 4))
Element 7: (1, (10, 4), ['', 'F', 'F', 'F'], [(9, 5), (10, 9), (15, 3)], [False, False, False, False], 86, False, [False, False, False, False], 5193, 'East', (11, 4))
Element 8: (1, (11, 4), ['', 'F', 'F', '.'], [(10, 5), (9, 9), (15, 2)], [False, False, False, False], 84, False, [False, False, False, True], 7212, 'North', (11, 5))
Element 9: (1, (11, 5), ['', '', 'F', '.'], [(10, 6), (8, 9), (15, 3)], [False, False, False, False], 82, False, [False, False, False, True], 9221, 'North', (11, 6))
Element 10: (1, (11, 6), ['', '', 'F', '.'], [(10, 7), (7, 9), (14, 3)], [False, False, False, False], 80, False, [False, False, False, True], 11240, 'North', (11, 7))
Element 11: (1, (11, 7), ['', '', '', '.'], [(9, 7), (6, 9), (14, 4)], [False, False, False, False], 78, False, [False, False, False, True], 12269, 'East', (12, 7))
Element 12: (1, (12, 7), ['', '.', '.', '.'], [(9, 6), (6, 8), (14, 5)], [False, False, False, False], 76, False, [False, True, True, True], 12308, 'East', (13, 7))
Element 13: (1, (13, 7), ['', '.', '.', '.'], [(8, 6), (6, 7), (14, 6)], [False, False, False, False], 74, False, [False, True, True, True], 12347, 'East', (14, 7))
Element 14: (1, (14, 7), ['', '', '.', ''], [(8, 7), (7, 7), (13, 6)], [False, False, False, False], 72, False, [False, False, True, False], 12386, 'North', (14, 8))
Element 15: (1, (14, 8), ['.', '', '.', ''], [(8, 8), (7, 6), (13, 5)], [False, False, False, False], 70, False, [True, False, True, False], 12415, 'North', (14, 9))
Element 16: (1, (14, 9), ['.', '', '%', ''], [(9, 8), (6, 6), (13, 4)], [False, False, True, False], 68, False, [True, False, False, False], 12444, 'West', (13, 9))
Element 17: (1, (13, 9), ['.', '.', '%', ''], [(10, 8), (5, 6), (13, 3)], [False, False, True, False], 66, False, [True, True, False, False], 12473, 'South', (13, 8))
Element 18: (1, (13, 8), ['.', '', '', ''], [(11, 8), (5, 7), (13, 2)], [False, False, False, False], 64, False, [True, False, False, False], 12502, 'West', (12, 8))
Element 19: (1, (12, 8), ['', '', '.', ''], [(11, 9), (5, 8), (13, 1)], [False, False, False, False], 62, False, [False, False, True, False], 12531, 'North', (12, 9))
Element 20: (1, (12, 9), ['', '', '%', ''], [(10, 9), (5, 9), (14, 1)], [False, False, True, False], 60, False, [False, False, False, False], 12560, 'West', (11, 9))
Element 21: (1, (11, 9), ['', '', '%', ''], [(9, 9), (4, 9), (13, 1)], [False, False, True, False], 58, False, [False, False, False, False], 12569, 'South', (11, 8))
Element 22: (1, (11, 8), ['', '', '', ''], [(8, 9), (4, 8), (12, 1)], [False, False, False, False], 56, False, [False, False, False, False], 12588, 'West', (10, 8))
Element 23: (1, (10, 8), ['', '', '', ''], [(7, 9), (4, 7), (11, 1)], [False, False, False, False], 54, False, [False, False, False, False], 12607, 'North', (10, 9))
Element 24: (1, (10, 9), ['', '', '%', ''], [(7, 8), (4, 6), (10, 1)], [False, False, True, False], 52, False, [False, False, False, False], 12626, 'West', (9, 9))
Element 25: (1, (9, 9), ['', '', '%', ''], [(7, 7), (3, 6), (10, 2)], [False, False, True, False], 50, False, [False, False, False, False], 12645, 'South', (9, 8))
Element 26: (1, (9, 8), ['', '', '', ''], [(7, 6), (3, 7), (10, 3)], [False, False, False, False], 48, False, [False, False, False, False], 13654, 'South', (9, 7))
Element 27: #1#
