Element 1: (3, (15, 5), ['.', '.', '.', '%'], [(14, 8), (11, 1), (11, 3)], [False, False, False, True], 98, False, [True, True, True, False], 1019, 'North', (15, 6))
Element 2: (3, (15, 6), ['.', '', '.', '%'], [(15, 8), (12, 1), (11, 4)], [False, False, False, True], 96, False, [True, False, True, False], 2048, 'North', (15, 7))
Element 3: (3, (15, 7), ['.', '', '', '%'], [(15, 9), (13, 1), (11, 5)], [False, False, False, True], 94, False, [True, False, False, False], 3077, 'West', (14, 7))
Element 4: (3, (14, 7), ['.', '.', '', ''], [(14, 9), (14, 1), (11, 6)], [False, False, False, False], 92, False, [True, True, False, False], 4106, 'South', (14, 6))
Element 5: (3, (14, 6), ['.', '.', '', ''], [(13, 9), (13, 1), (11, 7)], [False, False, False, False], 90, False, [True, True, False, False], 5125, 'South', (14, 5))
Element 6: (3, (14, 5), ['.', '.', '', ''], [(12, 9), (13, 2), (11, 8)], [False, False, False, False], 88, False, [True, True, False, False], 6154, 'South', (14, 4))
Element 7: (3, (14, 4), ['.', '.', '', '.'], [(11, 9), (13, 3), (10, 8)], [False, False, False, False], 86, False, [True, True, False, True], 8173, 'East', (15, 4))
Element 8: (3, (15, 4), ['', '.', '', '%'], [(10, 9), (14, 3), (10, 7)], [False, False, False, True], 84, False, [False, True, False, False], 10192, 'South', (15, 3))
Element 9: (3, (15, 3), ['', '.', '', '%'], [(9, 9), (14, 4), (10, 6)], [False, False, False, True], 82, False, [False, True, False, False], 11211, 'South', (15, 2))
Element 10: (3, (15, 2), ['%', '%', '', '%'], [(9, 8), (13, 4), (10, 5)], [True, True, False, True], 80, False, [False, False, False, False], 12240, 'North', (15, 3))
Element 11: (3, (15, 3), ['', '', '', '%'], [(9, 7), (13, 5), (10, 4)], [False, False, False, True], 78, False, [False, False, False, False], 13259, 'West', (14, 3))
Element 12: #1#
