Element 1: (1, (4, 8), ['.', '.', '.', 'G'], [(1, 8), (5, 8), (15, 8)], [False, False, False, False], 98, False, [True, True, True, False], 9, 'North', (4, 9))
Element 2: (1, (4, 9), ['.', '', '%', '.'], [(1, 9), (6, 8), (15, 9)], [False, False, True, False], 96, False, [True, False, False, True], 48, 'East', (5, 9))
Element 3: (1, (5, 9), ['', '', '%', '.'], [(1, 8), (7, 8), (14, 9)], [False, False, True, False], 94, False, [False, False, False, True], 77, 'East', (6, 9))
Element 4: (1, (6, 9), ['', '', '%', '.'], [(1, 7), (8, 8), (14, 8)], [False, False, True, False], 92, False, [False, False, False, True], 106, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '', '%', '.'], [(1, 6), (9, 8), (14, 7)], [False, False, True, False], 90, False, [False, False, False, True], 145, 'East', (8, 9))
Element 6: (1, (8, 9), ['', '', '%', '.'], [(1, 5), (10, 8), (15, 7)], [False, False, True, False], 88, False, [False, False, False, True], 1174, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '', '%', 'F'], [(1, 4), (11, 8), (15, 6)], [False, False, True, False], 86, False, [False, False, False, False], 2203, 'East', (10, 9))
Element 8: (1, (10, 9), ['', '', '%', 'G'], [(1, 3), (11, 9), (15, 5)], [False, False, True, False], 84, False, [False, False, False, False], 4222, 'South', (10, 8))
Element 9: (1, (10, 8), ['', 'F', '', ''], [(1, 2), (12, 9), (15, 4)], [False, False, False, False], 82, False, [False, False, False, False], 4251, 'South', (10, 7))
Element 10: (1, (10, 7), ['.', 'F', '', 'F'], [(1, 1), (13, 9), (15, 3)], [False, False, False, False], 80, False, [True, False, False, False], 5280, 'East', (11, 7))
Element 11: (1, (11, 7), ['', 'F', '', '.'], [(2, 1), (13, 8), (15, 2)], [False, False, False, False], 78, False, [False, False, False, True], 6309, 'South', (11, 6))
Element 12: (1, (11, 6), ['F', 'F', '', '.'], [(3, 1), (13, 7), (15, 3)], [False, False, False, False], 76, False, [False, False, False, True], 7328, 'South', (11, 5))
Element 13: (1, (11, 5), ['F', 'F', '', '.'], [(4, 1), (13, 6), (14, 3)], [False, False, False, False], 74, False, [False, False, False, True], 8357, 'South', (11, 4))
Element 14: (1, (11, 4), ['F', 'F', '', '.'], [(4, 2), (14, 6), (14, 4)], [False, False, False, False], 72, False, [False, False, False, True], 9386, 'South', (11, 3))
Element 15: (1, (11, 3), ['F', '%', '', '.'], [(4, 3), (14, 5), (13, 4)], [False, True, False, False], 70, False, [False, False, False, True], 10415, 'West', (10, 3))
Element 16: (1, (10, 3), ['.', '.', 'F', ''], [(5, 3), (13, 5), (13, 3)], [False, False, False, False], 68, False, [True, True, False, False], 11444, 'North', (10, 4))
Element 17: (1, (10, 4), ['.', '', 'F', ''], [(6, 3), (12, 5), (13, 2)], [False, False, False, False], 66, False, [True, False, False, False], 12473, 'North', (10, 5))
Element 18: (1, (10, 5), ['.', '', 'F', ''], [(7, 3), (12, 6), (13, 1)], [False, False, False, False], 64, False, [True, False, False, False], 13502, 'North', (10, 6))
Element 19: #1#
