Element 1: (2, (9, 6), ['.', '.', '.', 'F'], [(9, 4), (7, 5), (9, 9)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 6))
Element 2: (2, (10, 6), ['', 'F', 'F', 'F'], [(10, 4), (8, 5), (10, 9)], [False, False, False, False], 96, False, [False, False, False, False], 3028, 'East', (11, 6))
Element 3: (2, (11, 6), ['', 'F', 'F', '.'], [(11, 4), (9, 5), (11, 9)], [False, False, False, False], 94, False, [False, False, False, True], 6037, 'North', (11, 7))
Element 4: (2, (11, 7), ['F', '', 'G', '.'], [(11, 5), (10, 5), (11, 8)], [False, False, False, False], 92, False, [False, False, False, True], 10036, 'West', (10, 7))
Element 5: (2, (10, 7), ['.', '', 'G', ''], [(12, 5), (11, 5), (10, 8)], [False, False, False, False], 90, False, [True, False, False, False], 12045, 'West', (9, 7))
Element 6: (2, (9, 7), ['.', '', 'G', ''], [(13, 5), (12, 5), (9, 8)], [False, False, False, False], 88, False, [True, False, False, False], 12074, 'West', (8, 7))
Element 7: (2, (8, 7), ['.', '.', 'G', ''], [(14, 5), (12, 6), (8, 8)], [False, False, False, False], 86, False, [True, True, False, False], 12113, 'South', (8, 6))
Element 8: (2, (8, 6), ['.', '', '', ''], [(15, 5), (13, 6), (8, 9)], [False, False, False, False], 84, False, [True, False, False, False], 12152, 'West', (7, 6))
Element 9: (2, (7, 6), ['.', '', '.', ''], [(15, 6), (14, 6), (7, 9)], [False, False, False, False], 82, False, [True, False, True, False], 12191, 'North', (7, 7))
Element 10: (2, (7, 7), ['.', '', 'G', ''], [(15, 7), (14, 7), (7, 8)], [False, False, False, False], 80, False, [True, False, False, False], 12230, 'West', (6, 7))
Element 11: (2, (6, 7), ['.', '.', 'G', ''], [(15, 8), (14, 8), (6, 8)], [False, False, False, False], 78, False, [True, True, False, False], 12269, 'South', (6, 6))
Element 12: (2, (6, 6), ['.', '', '', ''], [(15, 9), (14, 9), (6, 9)], [False, False, False, False], 76, False, [True, False, False, False], 12308, 'West', (5, 6))
Element 13: (2, (5, 6), ['.', '.', '.', ''], [(15, 8), (13, 9), (5, 9)], [False, False, False, False], 74, False, [True, True, True, False], 12337, 'North', (5, 7))
Element 14: (2, (5, 7), ['.', '', 'G', ''], [(15, 7), (13, 8), (5, 8)], [False, False, False, False], 72, False, [True, False, False, False], 12366, 'West', (4, 7))
Element 15: (2, (4, 7), ['.', '.', 'G', ''], [(15, 6), (13, 7), (4, 8)], [False, False, False, False], 70, False, [True, True, False, False], 12395, 'South', (4, 6))
Element 16: (2, (4, 6), ['.', '.', '', ''], [(15, 5), (12, 7), (4, 9)], [False, False, False, False], 68, False, [True, True, False, False], 12424, 'South', (4, 5))
Element 17: (2, (4, 5), ['.', '.', '', '.'], [(15, 4), (12, 8), (3, 9)], [False, False, False, False], 66, False, [True, True, False, True], 12463, 'East', (5, 5))
Element 18: (2, (5, 5), ['', '.', '', ''], [(15, 3), (12, 9), (3, 8)], [False, False, False, False], 64, False, [False, True, False, False], 12502, 'South', (5, 4))
Element 19: (2, (5, 4), ['.', '.', '', '.'], [(15, 2), (11, 9), (3, 7)], [False, False, False, False], 62, False, [True, True, False, True], 12531, 'East', (6, 4))
Element 20: (2, (6, 4), ['', '.', '', '.'], [(15, 3), (11, 8), (3, 6)], [False, False, False, False], 60, False, [False, True, False, True], 12550, 'East', (7, 4))
Element 21: (2, (7, 4), ['', '.', '', ''], [(14, 3), (11, 7), (3, 5)], [False, False, False, False], 58, False, [False, True, False, False], 12579, 'South', (7, 3))
Element 22: (2, (7, 3), ['.', '.', '', '.'], [(14, 4), (11, 6), (3, 4)], [False, False, False, False], 56, False, [True, True, False, True], 12608, 'East', (8, 3))
Element 23: (2, (8, 3), ['', '.', '', '.'], [(13, 4), (10, 6), (4, 4)], [False, False, False, False], 54, False, [False, True, False, True], 12637, 'East', (9, 3))
Element 24: (2, (9, 3), ['', '.', '', 'F'], [(13, 3), (10, 7), (4, 3)], [False, False, False, False], 52, False, [False, True, False, False], 12666, 'East', (10, 3))
Element 25: (2, (10, 3), ['', '.', '', 'F'], [(13, 2), (10, 8), (5, 3)], [False, False, False, False], 50, False, [False, True, False, False], 13685, 'East', (11, 3))
Element 26: #1#
