Element 1: (2, (9, 7), ['.', '.', '.', 'F'], [(18, 1), (4, 4), (14, 5)], [False, False, False, False], 98, False, [True, True, True, False], 19, 'East', (10, 7))
Element 2: (2, (10, 7), ['', 'F', 'F', 'F'], [(17, 1), (5, 4), (15, 5)], [False, False, False, False], 96, False, [False, False, False, False], 1038, 'East', (11, 7))
Element 3: (2, (11, 7), ['', 'F', 'F', '.'], [(16, 1), (6, 4), (15, 6)], [False, False, False, False], 94, False, [False, False, False, True], 2067, 'North', (11, 8))
Element 4: (2, (11, 8), ['F', '', 'F', '.'], [(17, 1), (7, 4), (15, 7)], [False, False, False, False], 92, False, [False, False, False, True], 3086, 'North', (11, 9))
Element 5: (2, (11, 9), ['F', '', '%', '.'], [(17, 1), (8, 4), (15, 8)], [False, False, True, False], 90, False, [False, False, False, True], 4105, 'West', (10, 9))
Element 6: (2, (10, 9), ['.', 'F', '%', ''], [(18, 1), (9, 4), (15, 9)], [False, False, True, False], 88, False, [True, False, False, False], 5124, 'South', (10, 8))
Element 7: (2, (10, 8), ['.', '', '', ''], [(17, 1), (10, 4), (14, 9)], [False, False, False, False], 86, False, [True, False, False, False], 7133, 'West', (9, 8))
Element 8: (2, (9, 8), ['.', '', '.', ''], [(16, 1), (11, 4), (14, 8)], [False, False, False, False], 84, False, [True, False, True, False], 8152, 'North', (9, 9))
Element 9: (2, (9, 9), ['.', '', '%', ''], [(17, 1), (11, 5), (14, 7)], [False, False, True, False], 82, False, [True, False, False, False], 9171, 'West', (8, 9))
Element 10: (2, (8, 9), ['.', '.', '%', ''], [(17, 1), (11, 6), (14, 6)], [False, False, True, False], 80, False, [True, True, False, False], 10190, 'South', (8, 8))
Element 11: (2, (8, 8), ['.', '.', '', ''], [(18, 1), (10, 6), (13, 6)], [False, False, False, False], 78, False, [True, True, False, False], 11209, 'South', (8, 7))
Element 12: (2, (8, 7), ['.', '.', '', ''], [(17, 1), (10, 5), (13, 7)], [False, False, False, False], 76, False, [True, True, False, False], 12228, 'South', (8, 6))
Element 13: (2, (8, 6), ['.', '.', '', '.'], [(16, 1), (9, 5), (13, 8)], [False, False, False, False], 74, False, [True, True, False, True], 12257, 'East', (9, 6))
Element 14: (2, (9, 6), ['', '', '', ''], [(17, 1), (8, 5), (13, 9)], [False, False, False, False], 72, False, [False, False, False, False], 12286, 'East', (10, 6))
Element 15: (2, (10, 6), ['', '', '', ''], [(17, 1), (7, 5), (12, 9)], [False, False, False, False], 70, False, [False, False, False, False], 12305, 'East', (11, 6))
Element 16: (2, (11, 6), ['', '', '', '.'], [(18, 1), (7, 6), (12, 8)], [False, False, False, False], 68, False, [False, False, False, True], 12324, 'East', (12, 6))
Element 17: (2, (12, 6), ['', '.', 'G', ''], [(17, 1), (7, 7), (12, 7)], [False, False, False, False], 66, False, [False, True, False, False], 12353, 'South', (12, 5))
Element 18: (2, (12, 5), ['', '.', 'G', '.'], [(16, 1), (7, 8), (12, 6)], [False, False, False, False], 64, False, [False, True, False, True], 12372, 'East', (13, 5))
Element 19: (2, (13, 5), ['G', '.', '', ''], [(17, 1), (7, 9), (12, 5)], [False, False, False, False], 62, False, [False, True, False, False], 12391, 'South', (13, 4))
Element 20: (2, (13, 4), ['G', '.', '', '.'], [(17, 1), (6, 9), (12, 4)], [False, False, False, False], 60, False, [False, True, False, True], 12420, 'East', (14, 4))
Element 21: (2, (14, 4), ['', '.', '', '.'], [(18, 1), (6, 8), (12, 3)], [False, False, False, False], 58, False, [False, True, False, True], 12449, 'East', (15, 4))
Element 22: (2, (15, 4), ['', '.', '', '%'], [(17, 1), (6, 7), (11, 3)], [False, False, False, True], 56, False, [False, True, False, False], 13468, 'South', (15, 3))
Element 23: #1#
