Element 1: (0, (12, 7), ['F', '.', '.', '.'], [(4, 8), (6, 7), (13, 8)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (11, 7))
Element 2: (0, (11, 7), ['F', 'F', 'F', ''], [(5, 8), (7, 7), (14, 8)], [False, False, False, False], 96, False, [False, False, False, False], 1029, 'North', (11, 8))
Element 3: (0, (11, 8), ['F', '', 'F', '.'], [(6, 8), (8, 7), (15, 8)], [False, False, False, False], 94, False, [False, False, False, True], 2058, 'North', (11, 9))
Element 4: (0, (11, 9), ['F', '', '%', '.'], [(7, 8), (9, 7), (15, 9)], [False, False, True, False], 92, False, [False, False, False, True], 3087, 'West', (10, 9))
Element 5: (0, (10, 9), ['.', 'F', '%', ''], [(8, 8), (10, 7), (14, 9)], [False, False, True, False], 90, False, [True, False, False, False], 5106, 'South', (10, 8))
Element 6: (0, (10, 8), ['G', '', '', ''], [(9, 8), (10, 6), (13, 9)], [False, False, False, False], 88, False, [False, False, False, False], 7125, 'South', (10, 7))
Element 7: (0, (10, 7), ['', '', '', ''], [(9, 9), (11, 6), (12, 9)], [False, False, False, False], 86, False, [False, False, False, False], 8144, 'South', (10, 6))
Element 8: (0, (10, 6), ['.', 'F', '', ''], [(8, 9), (11, 5), (12, 8)], [False, False, False, False], 84, False, [True, False, False, False], 9163, 'South', (10, 5))
Element 9: (0, (10, 5), ['.', 'F', '', ''], [(7, 9), (11, 4), (12, 7)], [False, False, False, False], 82, False, [True, False, False, False], 11172, 'South', (10, 4))
Element 10: (0, (10, 4), ['.', 'F', '', ''], [(6, 9), (11, 3), (13, 7)], [False, False, False, False], 80, False, [True, False, False, False], 13191, 'South', (10, 3))
Element 11: #1#
