Element 1: (2, (4, 9), ['.', '.', '%', '.'], [(8, 5), (5, 5), (11, 1)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (5, 9))
Element 2: (2, (5, 9), ['', '.', '%', '.'], [(9, 5), (6, 5), (12, 1)], [False, False, True, False], 96, False, [False, True, False, True], 58, 'East', (6, 9))
Element 3: (2, (6, 9), ['', '.', '%', '.'], [(10, 5), (6, 6), (13, 1)], [False, False, True, False], 94, False, [False, True, False, True], 1087, 'East', (7, 9))
Element 4: (2, (7, 9), ['', '.', '%', '.'], [(11, 5), (7, 6), (14, 1)], [False, False, True, False], 92, False, [False, True, False, True], 2116, 'East', (8, 9))
Element 5: (2, (8, 9), ['', '.', '%', '.'], [(11, 6), (8, 6), (13, 1)], [False, False, True, False], 90, False, [False, True, False, True], 3135, 'East', (9, 9))
Element 6: (2, (9, 9), ['', '.', '%', 'F'], [(11, 7), (9, 6), (13, 2)], [False, False, True, False], 88, False, [False, True, False, False], 4164, 'East', (10, 9))
Element 7: (2, (10, 9), ['', 'F', '%', 'F'], [(11, 8), (10, 6), (13, 3)], [False, False, True, False], 86, False, [False, False, False, False], 7173, 'East', (11, 9))
Element 8: (2, (11, 9), ['', '', '%', '.'], [(10, 8), (10, 7), (14, 3)], [False, False, True, False], 84, False, [False, False, False, True], 10182, 'East', (12, 9))
Element 9: (2, (12, 9), ['', '.', '%', '.'], [(9, 8), (9, 7), (15, 3)], [False, False, True, False], 82, False, [False, True, False, True], 10221, 'East', (13, 9))
Element 10: (2, (13, 9), ['', '.', '%', '.'], [(8, 8), (8, 7), (15, 4)], [False, False, True, False], 80, False, [False, True, False, True], 10260, 'East', (14, 9))
Element 11: (2, (14, 9), ['', '.', '%', '.'], [(7, 8), (7, 7), (15, 5)], [False, False, True, False], 78, False, [False, True, False, True], 10299, 'East', (15, 9))
Element 12: (2, (15, 9), ['', '.', '%', '%'], [(6, 8), (6, 7), (15, 6)], [False, False, True, True], 76, False, [False, True, False, False], 10338, 'South', (15, 8))
Element 13: (2, (15, 8), ['.', 'G', '', '%'], [(5, 8), (5, 7), (15, 7)], [False, False, False, True], 74, False, [True, False, False, False], 10377, 'West', (14, 8))
Element 14: (2, (14, 8), ['.', 'G', '', ''], [(4, 8), (5, 6), (14, 7)], [False, False, False, False], 72, False, [True, False, False, False], 10416, 'West', (13, 8))
Element 15: (2, (13, 8), ['.', '.', '', ''], [(4, 7), (4, 6), (14, 6)], [False, False, False, False], 70, False, [True, True, False, False], 10455, 'South', (13, 7))
Element 16: (2, (13, 7), ['.', '.', '', ''], [(3, 7), (3, 6), (14, 5)], [False, False, False, False], 68, False, [True, True, False, False], 10494, 'South', (13, 6))
Element 17: (2, (13, 6), ['.', '.', '', ''], [(3, 8), (3, 5), (14, 4)], [False, False, False, False], 66, False, [True, True, False, False], 10533, 'South', (13, 5))
Element 18: (2, (13, 5), ['.', 'G', '', ''], [(3, 9), (3, 4), (13, 4)], [False, False, False, False], 64, False, [True, False, False, False], 10572, 'West', (12, 5))
Element 19: (2, (12, 5), ['', 'G', '.', ''], [(4, 9), (4, 4), (12, 4)], [False, False, False, False], 62, False, [False, False, True, False], 10601, 'North', (12, 6))
Element 20: (2, (12, 6), ['', '', '.', ''], [(5, 9), (5, 4), (11, 4)], [False, False, False, False], 60, False, [False, False, True, False], 11620, 'North', (12, 7))
Element 21: (2, (12, 7), ['', '', '.', ''], [(6, 9), (6, 4), (11, 3)], [False, False, False, False], 58, False, [False, False, True, False], 12639, 'North', (12, 8))
Element 22: (2, (12, 8), ['', '', '', ''], [(7, 9), (7, 4), (10, 3)], [False, False, False, False], 56, False, [False, False, False, False], 13658, 'West', (11, 8))
Element 23: #1#
