Element 1: (0, (3, 7), ['%', '.', '.', '.'], [(7, 7), (7, 9), (14, 8)], [True, False, False, False], 98, False, [False, True, True, True], 0, 'East', (4, 7))
Element 2: (0, (4, 7), ['', '.', '.', '.'], [(8, 7), (8, 9), (15, 8)], [False, False, False, False], 96, False, [False, True, True, True], 39, 'East', (5, 7))
Element 3: (0, (5, 7), ['', '.', '.', '.'], [(9, 7), (9, 9), (15, 9)], [False, False, False, False], 94, False, [False, True, True, True], 78, 'East', (6, 7))
Element 4: (0, (6, 7), ['', '.', '.', ''], [(10, 7), (10, 9), (14, 9)], [False, False, False, False], 92, False, [False, True, True, False], 2097, 'North', (6, 8))
Element 5: (0, (6, 8), ['.', '', '.', '.'], [(11, 7), (11, 9), (13, 9)], [False, False, False, False], 90, False, [True, False, True, True], 4116, 'East', (7, 8))
Element 6: (0, (7, 8), ['', '', '', '.'], [(11, 8), (12, 9), (13, 8)], [False, False, False, False], 88, False, [False, False, False, True], 5145, 'East', (8, 8))
Element 7: (0, (8, 8), ['', '', '', '.'], [(10, 8), (12, 8), (13, 7)], [False, False, False, False], 86, False, [False, False, False, True], 6174, 'East', (9, 8))
Element 8: (0, (9, 8), ['', '', '', ''], [(10, 9), (12, 7), (14, 7)], [False, False, False, False], 84, False, [False, False, False, False], 6203, 'East', (10, 8))
Element 9: (0, (10, 8), ['', '', '', ''], [(11, 9), (12, 6), (15, 7)], [False, False, False, False], 82, False, [False, False, False, False], 6222, 'East', (11, 8))
Element 10: (0, (11, 8), ['', '', '', ''], [(12, 9), (11, 6), (15, 6)], [False, False, False, False], 80, False, [False, False, False, False], 7231, 'East', (12, 8))
Element 11: (0, (12, 8), ['', '', '', ''], [(13, 9), (11, 5), (15, 5)], [False, False, False, False], 78, False, [False, False, False, False], 8240, 'East', (13, 8))
Element 12: (0, (13, 8), ['', '', '', ''], [(14, 9), (11, 4), (15, 4)], [False, False, False, False], 76, False, [False, False, False, False], 9249, 'East', (14, 8))
Element 13: (0, (14, 8), ['', '', '', ''], [(15, 9), (11, 3), (15, 3)], [False, False, False, False], 74, False, [False, False, False, False], 10258, 'East', (15, 8))
Element 14: (0, (15, 8), ['', '', '', '%'], [(14, 9), (10, 3), (15, 2)], [False, False, False, True], 72, False, [False, False, False, False], 11267, 'North', (15, 9))
Element 15: (0, (15, 9), ['', '', '%', '%'], [(13, 9), (10, 4), (15, 3)], [False, False, True, True], 70, False, [False, False, False, False], 12266, 'West', (14, 9))
Element 16: (0, (14, 9), ['', '', '%', ''], [(12, 9), (10, 5), (14, 3)], [False, False, True, False], 68, False, [False, False, False, False], 13275, 'West', (13, 9))
Element 17: #1#
