Element 1: (3, (16, 1), ['%', '%', '%', '.'], [(8, 8), (12, 1), (15, 7)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (17, 1))
Element 2: (3, (17, 1), ['', '%', '%', '.'], [(9, 8), (13, 1), (15, 8)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '%', '%'], [(10, 8), (14, 1), (15, 9)], [False, True, True, True], 94, False, [False, False, False, False], 1097, 'West', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(11, 8), (13, 1), (14, 9)], [False, True, True, False], 92, False, [False, False, False, False], 2106, 'West', (16, 1))
Element 5: (3, (16, 1), ['%', '%', '%', ''], [(11, 9), (13, 2), (14, 8)], [True, True, True, False], 90, False, [False, False, False, False], 3125, 'Stop', (16, 1))
Element 6: (3, (16, 1), ['%', '%', '%', ''], [(10, 9), (13, 3), (13, 8)], [True, True, True, False], 88, False, [False, False, False, False], 4144, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(9, 9), (14, 3), (13, 9)], [False, True, True, False], 86, False, [False, False, False, False], 4173, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(8, 9), (15, 3), (12, 9)], [False, True, True, True], 84, False, [False, False, False, False], 4202, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(7, 9), (15, 4), (12, 8)], [False, True, True, False], 82, False, [False, False, False, False], 4231, 'West', (16, 1))
Element 10: (3, (16, 1), ['%', '%', '%', ''], [(6, 9), (15, 5), (12, 7)], [True, True, True, False], 80, False, [False, False, False, False], 4260, 'Stop', (16, 1))
Element 11: (3, (16, 1), ['%', '%', '%', ''], [(6, 8), (15, 6), (11, 7)], [True, True, True, False], 78, False, [False, False, False, False], 5279, 'East', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(6, 7), (14, 6), (11, 6)], [False, True, True, False], 76, False, [False, False, False, False], 6298, 'East', (18, 1))
Element 13: (3, (18, 1), ['', '%', '%', '%'], [(7, 7), (14, 5), (11, 5)], [False, True, True, True], 74, False, [False, False, False, False], 7317, 'West', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(8, 7), (14, 4), (11, 4)], [False, True, True, False], 72, False, [False, False, False, False], 8336, 'West', (16, 1))
Element 15: (3, (16, 1), ['%', '%', '%', ''], [(9, 7), (13, 4), (11, 3)], [True, True, True, False], 70, False, [False, False, False, False], 9355, 'Stop', (16, 1))
Element 16: (3, (16, 1), ['%', '%', '%', ''], [(10, 7), (13, 5), (10, 3)], [True, True, True, False], 68, False, [False, False, False, False], 11364, 'East', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(10, 6), (13, 6), (10, 4)], [False, True, True, False], 66, False, [False, False, False, False], 13373, 'East', (18, 1))
Element 18: #1#
