Element 1: (0, (3, 7), ['%', '.', '.', '.'], [(7, 9), (8, 5), (9, 5)], [True, False, False, False], 98, False, [False, True, True, True], 0, 'East', (4, 7))
Element 2: (0, (4, 7), ['', '.', '.', '.'], [(8, 9), (8, 6), (10, 5)], [False, False, False, False], 96, False, [False, True, True, True], 1029, 'East', (5, 7))
Element 3: (0, (5, 7), ['', '.', '.', '.'], [(9, 9), (9, 6), (11, 5)], [False, False, False, False], 94, False, [False, True, True, True], 2058, 'East', (6, 7))
Element 4: (0, (6, 7), ['', '.', '.', '.'], [(10, 9), (10, 6), (11, 6)], [False, False, False, False], 92, False, [False, True, True, True], 5067, 'East', (7, 7))
Element 5: (0, (7, 7), ['', '.', '.', '.'], [(11, 9), (10, 7), (11, 7)], [False, False, False, False], 90, False, [False, True, True, True], 8076, 'East', (8, 7))
Element 6: (0, (8, 7), ['', '', '.', '.'], [(11, 8), (10, 8), (12, 7)], [False, False, False, False], 88, False, [False, False, True, True], 10095, 'East', (9, 7))
Element 7: (0, (9, 7), ['', '', 'G', ''], [(12, 8), (9, 8), (13, 7)], [False, False, False, False], 86, False, [False, False, False, False], 10134, 'East', (10, 7))
Element 8: (0, (10, 7), ['', '', '', ''], [(13, 8), (8, 8), (14, 7)], [False, False, False, False], 84, False, [False, False, False, False], 10163, 'East', (11, 7))
Element 9: (0, (11, 7), ['', '', '', ''], [(14, 8), (7, 8), (15, 7)], [False, False, False, False], 82, False, [False, False, False, False], 10192, 'East', (12, 7))
Element 10: (0, (12, 7), ['', '.', '', ''], [(15, 8), (6, 8), (15, 6)], [False, False, False, False], 80, False, [False, True, False, False], 10221, 'South', (12, 6))
Element 11: (0, (12, 6), ['', '.', '', '.'], [(15, 9), (6, 9), (15, 5)], [False, False, False, False], 78, False, [False, True, False, True], 10260, 'East', (13, 6))
Element 12: (0, (13, 6), ['', '.', '', '.'], [(14, 9), (5, 9), (15, 4)], [False, False, False, False], 76, False, [False, True, False, True], 10299, 'East', (14, 6))
Element 13: (0, (14, 6), ['', '.', '', ''], [(13, 9), (5, 8), (15, 3)], [False, False, False, False], 74, False, [False, True, False, False], 10338, 'South', (14, 5))
Element 14: (0, (14, 5), ['.', '.', '', ''], [(12, 9), (4, 8), (15, 2)], [False, False, False, False], 72, False, [True, True, False, False], 10377, 'South', (14, 4))
Element 15: (0, (14, 4), ['.', '.', '', ''], [(13, 9), (4, 9), (15, 3)], [False, False, False, False], 70, False, [True, True, False, False], 10396, 'South', (14, 3))
Element 16: (0, (14, 3), ['.', '%', '', ''], [(14, 9), (3, 9), (15, 2)], [False, True, False, False], 68, False, [True, False, False, False], 10415, 'West', (13, 3))
Element 17: (0, (13, 3), ['.', '.', '.', ''], [(15, 9), (3, 8), (15, 3)], [False, False, False, False], 66, False, [True, True, True, False], 10434, 'North', (13, 4))
Element 18: (0, (13, 4), ['.', '', '.', ''], [(15, 8), (3, 7), (15, 4)], [False, False, False, False], 64, False, [True, False, True, False], 10443, 'North', (13, 5))
Element 19: (0, (13, 5), ['.', '', '', ''], [(15, 7), (3, 6), (14, 4)], [False, False, False, False], 62, False, [True, False, False, False], 10462, 'West', (12, 5))
Element 20: (0, (12, 5), ['', '.', '', ''], [(15, 6), (4, 6), (14, 5)], [False, False, False, False], 60, False, [False, True, False, False], 10481, 'South', (12, 4))
Element 21: (0, (12, 4), ['F', '.', '', ''], [(15, 5), (5, 6), (14, 6)], [False, False, False, False], 58, False, [False, True, False, False], 10500, 'West', (11, 4))
Element 22: (0, (11, 4), ['F', 'F', '', ''], [(15, 4), (6, 6), (13, 6)], [False, False, False, False], 56, False, [False, False, False, False], 11509, 'South', (11, 3))
Element 23: (0, (11, 3), ['F', '%', '', '.'], [(15, 3), (7, 6), (13, 5)], [False, True, False, False], 54, False, [False, False, False, True], 12518, 'West', (10, 3))
Element 24: (0, (10, 3), ['.', '.', 'F', ''], [(15, 2), (7, 5), (13, 4)], [False, False, False, False], 52, False, [True, True, False, False], 13527, 'North', (10, 4))
Element 25: #1#
