Element 1: (0, (16, 1), ['%', '%', '%', '.'], [(13, 4), (14, 8), (14, 9)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (17, 1))
Element 2: (0, (17, 1), ['', '%', '%', '.'], [(14, 4), (15, 8), (15, 9)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (18, 1))
Element 3: (0, (18, 1), ['', '%', '%', '%'], [(15, 4), (15, 7), (15, 8)], [False, True, True, True], 94, False, [False, False, False, False], 68, 'West', (17, 1))
Element 4: (0, (17, 1), ['', '%', '%', ''], [(15, 5), (15, 6), (15, 7)], [False, True, True, False], 92, False, [False, False, False, False], 87, 'West', (16, 1))
Element 5: (0, (16, 1), ['%', '%', '%', ''], [(14, 5), (14, 6), (14, 7)], [True, True, True, False], 90, False, [False, False, False, False], 116, 'Stop', (16, 1))
Element 6: (0, (16, 1), ['%', '%', '%', ''], [(13, 5), (13, 6), (13, 7)], [True, True, True, False], 88, False, [False, False, False, False], 145, 'East', (17, 1))
Element 7: (0, (17, 1), ['', '%', '%', ''], [(12, 5), (12, 6), (13, 8)], [False, True, True, False], 86, False, [False, False, False, False], 174, 'East', (18, 1))
Element 8: (0, (18, 1), ['', '%', '%', '%'], [(11, 5), (11, 6), (13, 9)], [False, True, True, True], 84, False, [False, False, False, False], 2183, 'West', (17, 1))
Element 9: (0, (17, 1), ['', '%', '%', ''], [(11, 4), (11, 7), (12, 9)], [False, True, True, False], 82, False, [False, False, False, False], 4192, 'West', (16, 1))
Element 10: (0, (16, 1), ['%', '%', '%', ''], [(11, 3), (11, 8), (11, 9)], [True, True, True, False], 80, False, [False, False, False, False], 7191, 'Stop', (16, 1))
Element 11: (0, (16, 1), ['%', '%', '%', ''], [(10, 3), (10, 8), (10, 9)], [True, True, True, False], 78, False, [False, False, False, False], 10190, 'East', (17, 1))
Element 12: (0, (17, 1), ['', '%', '%', ''], [(10, 4), (10, 7), (9, 9)], [False, True, True, False], 76, False, [False, False, False, False], 12199, 'East', (18, 1))
Element 13: #1#
