Element 1: (3, (12, 7), ['F', '.', '.', '.'], [(1, 6), (6, 9), (8, 5)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (11, 7))
Element 2: (3, (11, 7), ['F', 'F', 'F', ''], [(1, 7), (7, 9), (9, 5)], [False, False, False, False], 96, False, [False, False, False, False], 1058, 'North', (11, 8))
Element 3: (3, (11, 8), ['F', '', 'F', '.'], [(1, 8), (8, 9), (10, 5)], [False, False, False, False], 94, False, [False, False, False, True], 3077, 'North', (11, 9))
Element 4: (3, (11, 9), ['F', '', '%', '.'], [(1, 9), (9, 9), (11, 5)], [False, False, True, False], 92, False, [False, False, False, True], 5096, 'West', (10, 9))
Element 5: (3, (10, 9), ['', 'F', '%', ''], [(1, 8), (9, 8), (11, 6)], [False, False, True, False], 90, False, [False, False, False, False], 7105, 'South', (10, 8))
Element 6: (3, (10, 8), ['', 'F', '', ''], [(1, 7), (9, 7), (10, 6)], [False, False, False, False], 88, False, [False, False, False, False], 9114, 'South', (10, 7))
Element 7: (3, (10, 7), ['', '', '', ''], [(1, 6), (9, 6), (11, 6)], [False, False, False, False], 86, False, [False, False, False, False], 10123, 'South', (10, 6))
Element 8: (3, (10, 6), ['', '', '', ''], [(1, 5), (8, 6), (12, 6)], [False, False, False, False], 84, False, [False, False, False, False], 10142, 'East', (11, 6))
Element 9: (3, (11, 6), ['', '', '', ''], [(1, 4), (8, 7), (13, 6)], [False, False, False, False], 82, False, [False, False, False, False], 10171, 'East', (12, 6))
Element 10: (3, (12, 6), ['', '.', '', ''], [(1, 3), (8, 8), (14, 6)], [False, False, False, False], 80, False, [False, True, False, False], 10200, 'South', (12, 5))
Element 11: (3, (12, 5), ['', '.', '', '.'], [(1, 2), (7, 8), (15, 6)], [False, False, False, False], 78, False, [False, True, False, True], 10239, 'East', (13, 5))
Element 12: (3, (13, 5), ['', '.', '', '.'], [(1, 1), (7, 7), (15, 7)], [False, False, False, False], 76, False, [False, True, False, True], 10278, 'East', (14, 5))
Element 13: (3, (14, 5), ['', '.', '', '.'], [(2, 1), (7, 6), (15, 8)], [False, False, False, False], 74, False, [False, True, False, True], 10317, 'East', (15, 5))
Element 14: (3, (15, 5), ['', '.', '', '%'], [(3, 1), (6, 6), (15, 9)], [False, False, False, True], 72, False, [False, True, False, False], 10356, 'South', (15, 4))
Element 15: (3, (15, 4), ['.', '.', '', '%'], [(4, 1), (6, 7), (14, 9)], [False, False, False, True], 70, False, [True, True, False, False], 10395, 'South', (15, 3))
Element 16: (3, (15, 3), ['.', '.', '', '%'], [(4, 2), (6, 8), (14, 8)], [False, False, False, True], 68, False, [True, True, False, False], 10434, 'South', (15, 2))
Element 17: (3, (15, 2), ['%', '%', '', '%'], [(4, 3), (5, 8), (14, 7)], [True, True, False, True], 66, False, [False, False, False, False], 10473, 'North', (15, 3))
Element 18: (3, (15, 3), ['.', '', '', '%'], [(5, 3), (5, 7), (13, 7)], [False, False, False, True], 64, False, [True, False, False, False], 10502, 'West', (14, 3))
Element 19: (3, (14, 3), ['.', '%', '.', ''], [(6, 3), (5, 6), (13, 8)], [False, True, False, False], 62, False, [True, False, True, False], 10541, 'North', (14, 4))
Element 20: (3, (14, 4), ['.', '', '', ''], [(7, 3), (5, 5), (13, 9)], [False, False, False, False], 60, False, [True, False, False, False], 10580, 'West', (13, 4))
Element 21: (3, (13, 4), ['.', '.', '', ''], [(8, 3), (6, 5), (12, 9)], [False, False, False, False], 58, False, [True, True, False, False], 10619, 'South', (13, 3))
Element 22: (3, (13, 3), ['.', '.', '', ''], [(9, 3), (6, 4), (12, 8)], [False, False, False, False], 56, False, [True, True, False, False], 10658, 'South', (13, 2))
Element 23: (3, (13, 2), ['%', '.', '', '%'], [(10, 3), (7, 4), (12, 7)], [True, False, False, True], 54, False, [False, True, False, False], 11677, 'South', (13, 1))
Element 24: (3, (13, 1), ['.', '%', '', '.'], [(11, 3), (8, 4), (11, 7)], [False, True, False, False], 52, False, [True, False, False, True], 12696, 'East', (14, 1))
Element 25: (3, (14, 1), ['', '%', '%', '%'], [(11, 4), (9, 4), (11, 8)], [False, True, True, True], 50, False, [False, False, False, False], 13715, 'West', (13, 1))
Element 26: #1#
