Element 1: (3, (15, 4), ['.', '.', '.', '%'], [(4, 2), (1, 5), (8, 1)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 5))
Element 2: (3, (15, 5), ['.', '', '.', '%'], [(4, 3), (1, 6), (9, 1)], [False, False, False, True], 96, False, [True, False, True, False], 68, 'North', (15, 6))
Element 3: (3, (15, 6), ['.', '', '.', '%'], [(5, 3), (1, 7), (10, 1)], [False, False, False, True], 94, False, [True, False, True, False], 107, 'North', (15, 7))
Element 4: (3, (15, 7), ['.', '', '.', '%'], [(6, 3), (1, 8), (11, 1)], [False, False, False, True], 92, False, [True, False, True, False], 146, 'North', (15, 8))
Element 5: (3, (15, 8), ['.', '', '.', '%'], [(7, 3), (1, 9), (12, 1)], [False, False, False, True], 90, False, [True, False, True, False], 185, 'North', (15, 9))
Element 6: (3, (15, 9), ['.', '', '%', '%'], [(8, 3), (1, 8), (13, 1)], [False, False, True, True], 88, False, [True, False, False, False], 214, 'West', (14, 9))
Element 7: (3, (14, 9), ['.', '.', '%', ''], [(9, 3), (1, 7), (14, 1)], [False, False, True, False], 86, False, [True, True, False, False], 243, 'South', (14, 8))
Element 8: (3, (14, 8), ['.', '.', '', ''], [(10, 3), (1, 6), (13, 1)], [False, False, False, False], 84, False, [True, True, False, False], 1252, 'South', (14, 7))
Element 9: (3, (14, 7), ['.', '.', '', ''], [(11, 3), (1, 5), (13, 2)], [False, False, False, False], 82, False, [True, True, False, False], 2271, 'South', (14, 6))
Element 10: (3, (14, 6), ['.', '.', '', ''], [(11, 4), (1, 4), (13, 3)], [False, False, False, False], 80, False, [True, True, False, False], 3290, 'South', (14, 5))
Element 11: (3, (14, 5), ['.', '.', '', ''], [(11, 5), (1, 3), (14, 3)], [False, False, False, False], 78, False, [True, True, False, False], 4319, 'South', (14, 4))
Element 12: (3, (14, 4), ['.', '', '', ''], [(11, 6), (1, 2), (15, 3)], [False, False, False, False], 76, False, [True, False, False, False], 5348, 'West', (13, 4))
Element 13: (3, (13, 4), ['.', '', '.', ''], [(11, 7), (1, 1), (15, 2)], [False, False, False, False], 74, False, [True, False, True, False], 6377, 'North', (13, 5))
Element 14: (3, (13, 5), ['.', '', '.', ''], [(11, 8), (2, 1), (15, 3)], [False, False, False, False], 72, False, [True, False, True, False], 7396, 'North', (13, 6))
Element 15: (3, (13, 6), ['.', '', '.', ''], [(11, 9), (3, 1), (15, 4)], [False, False, False, False], 70, False, [True, False, True, False], 8415, 'North', (13, 7))
Element 16: (3, (13, 7), ['.', '', '.', ''], [(10, 9), (4, 1), (15, 5)], [False, False, False, False], 68, False, [True, False, True, False], 9424, 'North', (13, 8))
Element 17: (3, (13, 8), ['.', '', '.', ''], [(10, 8), (4, 2), (15, 6)], [False, False, False, False], 66, False, [True, False, True, False], 10433, 'North', (13, 9))
Element 18: (3, (13, 9), ['.', '', '%', ''], [(10, 7), (4, 3), (15, 7)], [False, False, True, False], 64, False, [True, False, False, False], 11442, 'West', (12, 9))
Element 19: (3, (12, 9), ['', '.', '%', ''], [(10, 6), (4, 4), (15, 8)], [False, False, True, False], 62, False, [False, True, False, False], 12461, 'South', (12, 8))
Element 20: (3, (12, 8), ['', '.', '', ''], [(10, 5), (5, 4), (15, 9)], [False, False, False, False], 60, False, [False, True, False, False], 13480, 'South', (12, 7))
Element 21: #1#
