Element 1: (2, (14, 1), ['.', '%', '%', '%'], [(14, 8), (1, 5), (15, 7)], [False, True, True, True], 98, False, [True, False, False, False], 19, 'West', (13, 1))
Element 2: (2, (13, 1), ['.', '%', '.', ''], [(14, 9), (1, 6), (15, 8)], [False, True, False, False], 96, False, [True, False, True, False], 58, 'North', (13, 2))
Element 3: (2, (13, 2), ['%', '', '.', '%'], [(13, 9), (1, 7), (15, 9)], [True, False, False, True], 94, False, [False, False, True, False], 97, 'North', (13, 3))
Element 4: (2, (13, 3), ['.', '', '.', '.'], [(13, 8), (1, 8), (14, 9)], [False, False, False, False], 92, False, [True, False, True, True], 126, 'East', (14, 3))
Element 5: (2, (14, 3), ['', '%', '.', '.'], [(13, 7), (1, 9), (14, 8)], [False, True, False, False], 90, False, [False, False, True, True], 155, 'East', (15, 3))
Element 6: (2, (15, 3), ['', '.', '.', '%'], [(13, 6), (1, 8), (14, 7)], [False, False, False, True], 88, False, [False, True, True, False], 174, 'North', (15, 4))
Element 7: (2, (15, 4), ['.', '', '.', '%'], [(13, 5), (1, 7), (14, 6)], [False, False, False, True], 86, False, [True, False, True, False], 203, 'North', (15, 5))
Element 8: (2, (15, 5), ['G', '', 'G', '%'], [(14, 5), (1, 6), (15, 6)], [False, False, False, True], 84, False, [False, False, False, False], 232, 'South', (15, 4))
Element 9: (2, (15, 4), ['G', '', 'G', '%'], [(14, 4), (1, 5), (15, 5)], [False, False, False, True], 82, False, [False, False, False, False], 241, 'South', (15, 3))
Element 10: (2, (15, 3), ['', '.', 'G', '%'], [(13, 4), (1, 4), (15, 4)], [False, False, False, True], 80, False, [False, True, False, False], 250, 'West', (14, 3))
Element 11: (2, (14, 3), ['', '%', '', 'G'], [(12, 4), (1, 3), (15, 3)], [False, True, False, False], 78, False, [False, False, False, False], 269, 'West', (13, 3))
Element 12: (2, (13, 3), ['.', '', '', ''], [(11, 4), (1, 2), (15, 2)], [False, False, False, False], 76, False, [True, False, False, False], 1288, 'South', (13, 2))
Element 13: (2, (13, 2), ['%', '', '', '%'], [(11, 5), (1, 1), (15, 3)], [True, False, False, True], 74, False, [False, False, False, False], 2297, 'South', (13, 1))
Element 14: (2, (13, 1), ['.', '%', '', ''], [(11, 6), (2, 1), (14, 3)], [False, True, False, False], 72, False, [True, False, False, False], 3306, 'North', (13, 2))
Element 15: (2, (13, 2), ['%', '', '', '%'], [(11, 7), (3, 1), (14, 4)], [True, False, False, True], 70, False, [False, False, False, False], 4315, 'South', (13, 1))
Element 16: (2, (13, 1), ['.', '%', '', ''], [(11, 8), (4, 1), (14, 5)], [False, True, False, False], 68, False, [True, False, False, False], 5324, 'North', (13, 2))
Element 17: (2, (13, 2), ['%', '', '', '%'], [(11, 9), (4, 2), (13, 5)], [True, False, False, True], 66, False, [False, False, False, False], 6333, 'North', (13, 3))
Element 18: (2, (13, 3), ['.', '', '', ''], [(10, 9), (4, 3), (12, 5)], [False, False, False, False], 64, False, [True, False, False, False], 7352, 'North', (13, 4))
Element 19: (2, (13, 4), ['', '', '', ''], [(10, 8), (5, 3), (12, 6)], [False, False, False, False], 62, False, [False, False, False, False], 8371, 'East', (14, 4))
Element 20: (2, (14, 4), ['', '', '', ''], [(10, 7), (6, 3), (12, 7)], [False, False, False, False], 60, False, [False, False, False, False], 9390, 'North', (14, 5))
Element 21: (2, (14, 5), ['', '', '', ''], [(10, 6), (7, 3), (12, 8)], [False, False, False, False], 58, False, [False, False, False, False], 10409, 'North', (14, 6))
Element 22: (2, (14, 6), ['', '', '', ''], [(10, 5), (8, 3), (12, 9)], [False, False, False, False], 56, False, [False, False, False, False], 11428, 'East', (15, 6))
Element 23: (2, (15, 6), ['', '', '', '%'], [(10, 4), (9, 3), (13, 9)], [False, False, False, True], 54, False, [False, False, False, False], 12437, 'North', (15, 7))
Element 24: (2, (15, 7), ['', '', '', '%'], [(10, 3), (9, 4), (13, 8)], [False, False, False, True], 52, False, [False, False, False, False], 13446, 'North', (15, 8))
Element 25: #1#
