Element 1: (0, (4, 1), ['.', '%', '.', '%'], [(6, 1), (7, 7), (15, 6)], [False, True, False, True], 98, False, [True, False, True, False], 0, 'North', (4, 2))
Element 2: (0, (4, 2), ['%', '', '.', '%'], [(7, 1), (8, 7), (15, 7)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (4, 3))
Element 3: (0, (4, 3), ['.', '', '.', '.'], [(8, 1), (9, 7), (15, 8)], [False, False, False, False], 94, False, [True, False, True, True], 78, 'East', (5, 3))
Element 4: (0, (5, 3), ['', '%', '.', '.'], [(9, 1), (10, 7), (15, 9)], [False, True, False, False], 92, False, [False, False, True, True], 1107, 'East', (6, 3))
Element 5: (0, (6, 3), ['', '.', '.', '.'], [(10, 1), (11, 7), (14, 9)], [False, False, False, False], 90, False, [False, True, True, True], 2136, 'East', (7, 3))
Element 6: (0, (7, 3), ['', '.', '.', '.'], [(11, 1), (11, 8), (14, 8)], [False, False, False, False], 88, False, [False, True, True, True], 3165, 'East', (8, 3))
Element 7: (0, (8, 3), ['', '.', '.', '.'], [(12, 1), (11, 9), (14, 7)], [False, False, False, False], 86, False, [False, True, True, True], 4194, 'East', (9, 3))
Element 8: (0, (9, 3), ['', '.', '.', 'F'], [(13, 1), (10, 9), (14, 6)], [False, False, False, False], 84, False, [False, True, True, False], 5223, 'East', (10, 3))
Element 9: (0, (10, 3), ['', '.', 'F', 'F'], [(14, 1), (10, 8), (14, 5)], [False, False, False, False], 82, False, [False, True, False, False], 7242, 'East', (11, 3))
Element 10: (0, (11, 3), ['', '%', 'F', '.'], [(13, 1), (9, 8), (15, 5)], [False, True, False, False], 80, False, [False, False, False, True], 8261, 'North', (11, 4))
Element 11: (0, (11, 4), ['F', '', 'F', '.'], [(13, 2), (9, 9), (15, 4)], [False, False, False, False], 78, False, [False, False, False, True], 9290, 'North', (11, 5))
Element 12: (0, (11, 5), ['F', '', 'F', '.'], [(13, 3), (8, 9), (15, 3)], [False, False, False, False], 76, False, [False, False, False, True], 10319, 'North', (11, 6))
Element 13: (0, (11, 6), ['F', '', '', '.'], [(14, 3), (8, 8), (15, 2)], [False, False, False, False], 74, False, [False, False, False, True], 11348, 'West', (10, 6))
Element 14: (0, (10, 6), ['.', 'F', '', ''], [(14, 4), (7, 8), (15, 3)], [False, False, False, False], 72, False, [True, False, False, False], 12367, 'South', (10, 5))
Element 15: (0, (10, 5), ['.', 'F', '', ''], [(13, 4), (7, 9), (15, 4)], [False, False, False, False], 70, False, [True, False, False, False], 13386, 'South', (10, 4))
Element 16: #1#
