Element 1: (0, (12, 8), ['F', '.', '.', '.'], [(1, 8), (14, 4), (15, 2)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (11, 8))
Element 2: (0, (11, 8), ['F', 'F', 'F', ''], [(1, 9), (15, 4), (15, 3)], [False, False, False, False], 96, False, [False, False, False, False], 1029, 'North', (11, 9))
Element 3: (0, (11, 9), ['F', '', '%', '.'], [(1, 8), (15, 5), (14, 3)], [False, False, True, False], 94, False, [False, False, False, True], 2048, 'West', (10, 9))
Element 4: (0, (10, 9), ['.', 'F', '%', ''], [(1, 7), (15, 6), (13, 3)], [False, False, True, False], 92, False, [True, False, False, False], 3077, 'South', (10, 8))
Element 5: (0, (10, 8), ['.', 'F', '', ''], [(1, 6), (15, 7), (13, 4)], [False, False, False, False], 90, False, [True, False, False, False], 4106, 'South', (10, 7))
Element 6: (0, (10, 7), ['.', 'F', '', 'F'], [(1, 5), (15, 8), (13, 5)], [False, False, False, False], 88, False, [True, False, False, False], 5135, 'East', (11, 7))
Element 7: (0, (11, 7), ['', 'F', '', '.'], [(1, 4), (15, 9), (14, 5)], [False, False, False, False], 86, False, [False, False, False, True], 6164, 'South', (11, 6))
Element 8: (0, (11, 6), ['F', 'F', '', '.'], [(1, 3), (14, 9), (14, 6)], [False, False, False, False], 84, False, [False, False, False, True], 7193, 'South', (11, 5))
Element 9: (0, (11, 5), ['F', 'F', '', '.'], [(1, 2), (14, 8), (14, 7)], [False, False, False, False], 82, False, [False, False, False, True], 8222, 'South', (11, 4))
Element 10: (0, (11, 4), ['F', 'F', '', '.'], [(1, 1), (13, 8), (13, 7)], [False, False, False, False], 80, False, [False, False, False, True], 9251, 'South', (11, 3))
Element 11: (0, (11, 3), ['F', '%', '', '.'], [(2, 1), (13, 9), (13, 6)], [False, True, False, False], 78, False, [False, False, False, True], 10280, 'West', (10, 3))
Element 12: (0, (10, 3), ['.', '.', 'F', ''], [(3, 1), (12, 9), (12, 6)], [False, False, False, False], 76, False, [True, True, False, False], 11309, 'North', (10, 4))
Element 13: (0, (10, 4), ['.', '', 'F', ''], [(4, 1), (12, 8), (12, 7)], [False, False, False, False], 74, False, [True, False, False, False], 12328, 'North', (10, 5))
Element 14: (0, (10, 5), ['.', '', 'F', ''], [(4, 2), (11, 8), (12, 8)], [False, False, False, False], 72, False, [True, False, False, False], 13337, 'North', (10, 6))
Element 15: #1#
