Element 1: (1, (1, 4), ['%', '.', '.', '%'], [(15, 5), (5, 3), (9, 3)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 5))
Element 2: (1, (1, 5), ['%', '', '.', '%'], [(15, 6), (6, 3), (10, 3)], [True, False, False, True], 96, False, [False, False, True, False], 1038, 'North', (1, 6))
Element 3: (1, (1, 6), ['%', '', '.', '%'], [(15, 7), (7, 3), (11, 3)], [True, False, False, True], 94, False, [False, False, True, False], 2067, 'North', (1, 7))
Element 4: (1, (1, 7), ['%', '', '.', '%'], [(15, 8), (8, 3), (11, 4)], [True, False, False, True], 92, False, [False, False, True, False], 3096, 'North', (1, 8))
Element 5: (1, (1, 8), ['%', '', '.', '%'], [(15, 9), (8, 4), (11, 5)], [True, False, False, True], 90, False, [False, False, True, False], 4125, 'North', (1, 9))
Element 6: (1, (1, 9), ['%', '', '%', '%'], [(14, 9), (9, 4), (11, 6)], [True, False, True, True], 88, False, [False, False, False, False], 5154, 'South', (1, 8))
Element 7: (1, (1, 8), ['%', '', '', '%'], [(14, 8), (10, 4), (11, 7)], [True, False, False, True], 86, False, [False, False, False, False], 7163, 'South', (1, 7))
Element 8: (1, (1, 7), ['%', '', '', '%'], [(14, 7), (10, 5), (11, 8)], [True, False, False, True], 84, False, [False, False, False, False], 9172, 'South', (1, 6))
Element 9: (1, (1, 6), ['%', '', '', '%'], [(14, 6), (10, 6), (11, 9)], [True, False, False, True], 82, False, [False, False, False, False], 11181, 'South', (1, 5))
Element 10: (1, (1, 5), ['%', '', '', '%'], [(13, 6), (10, 7), (10, 9)], [True, False, False, True], 80, False, [False, False, False, False], 13190, 'South', (1, 4))
Element 11: #1#
