Element 1: (1, (3, 7), ['%', '.', '.', '.'], [(14, 1), (7, 8), (8, 2)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (4, 7))
Element 2: (1, (4, 7), ['', '.', '.', '.'], [(13, 1), (8, 8), (9, 2)], [False, False, False, False], 96, False, [False, True, True, True], 38, 'East', (5, 7))
Element 3: (1, (5, 7), ['', '.', '.', '.'], [(13, 2), (9, 8), (10, 2)], [False, False, False, False], 94, False, [False, True, True, True], 77, 'East', (6, 7))
Element 4: (1, (6, 7), ['', '.', '.', '.'], [(13, 3), (10, 8), (10, 3)], [False, False, False, False], 92, False, [False, True, True, True], 2096, 'East', (7, 7))
Element 5: (1, (7, 7), ['', '.', '', '.'], [(14, 3), (11, 8), (11, 3)], [False, False, False, False], 90, False, [False, True, False, True], 4115, 'East', (8, 7))
Element 6: (1, (8, 7), ['', '.', '', '.'], [(15, 3), (11, 9), (11, 4)], [False, False, False, False], 88, False, [False, True, False, True], 6134, 'East', (9, 7))
Element 7: (1, (9, 7), ['', '.', '', 'F'], [(15, 4), (10, 9), (11, 5)], [False, False, False, False], 86, False, [False, True, False, False], 8153, 'East', (10, 7))
Element 8: (1, (10, 7), ['', 'F', '', 'F'], [(15, 5), (9, 9), (11, 6)], [False, False, False, False], 84, False, [False, False, False, False], 10172, 'East', (11, 7))
Element 9: (1, (11, 7), ['', '', '', '.'], [(15, 6), (8, 9), (10, 6)], [False, False, False, False], 82, False, [False, False, False, True], 12191, 'East', (12, 7))
Element 10: (1, (12, 7), ['', '.', '.', '.'], [(15, 7), (7, 9), (10, 5)], [False, False, False, False], 80, False, [False, True, True, True], 13220, 'East', (13, 7))
Element 11: #1#
