Element 1: (3, (15, 8), ['.', '.', '.', '%'], [(15, 3), (11, 1), (15, 5)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (15, 9))
Element 2: (3, (15, 9), ['.', '', '%', '%'], [(15, 4), (12, 1), (15, 6)], [False, False, True, True], 96, False, [True, False, False, False], 68, 'West', (14, 9))
Element 3: (3, (14, 9), ['.', '.', '%', ''], [(14, 4), (13, 1), (15, 7)], [False, False, True, False], 94, False, [True, True, False, False], 107, 'South', (14, 8))
Element 4: (3, (14, 8), ['.', 'G', '', ''], [(13, 4), (14, 1), (14, 7)], [False, False, False, False], 92, False, [True, False, False, False], 146, 'West', (13, 8))
Element 5: (3, (13, 8), ['.', '.', '.', ''], [(13, 5), (13, 1), (14, 6)], [False, False, False, False], 90, False, [True, True, True, False], 175, 'North', (13, 9))
Element 6: (3, (13, 9), ['.', '', '%', ''], [(13, 6), (13, 2), (14, 7)], [False, False, True, False], 88, False, [True, False, False, False], 204, 'West', (12, 9))
Element 7: (3, (12, 9), ['F', '.', '%', ''], [(13, 7), (13, 3), (14, 6)], [False, False, True, False], 86, False, [False, True, False, False], 233, 'West', (11, 9))
Element 8: (3, (11, 9), ['F', 'F', '%', ''], [(12, 7), (12, 3), (14, 7)], [False, False, True, False], 84, False, [False, False, False, False], 1252, 'South', (11, 8))
Element 9: (3, (11, 8), ['F', 'G', '', '.'], [(11, 7), (11, 3), (14, 8)], [False, False, False, False], 82, False, [False, False, False, True], 4251, 'West', (10, 8))
Element 10: (3, (10, 8), ['.', 'F', 'F', ''], [(11, 6), (11, 4), (15, 8)], [False, False, False, False], 80, False, [True, False, False, False], 7250, 'North', (10, 9))
Element 11: (3, (10, 9), ['.', '', '%', ''], [(11, 5), (10, 4), (15, 9)], [False, False, True, False], 78, False, [True, False, False, False], 10249, 'West', (9, 9))
Element 12: (3, (9, 9), ['.', '.', '%', ''], [(10, 5), (10, 3), (14, 9)], [False, False, True, False], 76, False, [True, True, False, False], 12258, 'South', (9, 8))
Element 13: (3, (9, 8), ['.', '.', '', ''], [(10, 6), (10, 2), (13, 9)], [False, False, False, False], 74, False, [True, True, False, False], 13277, 'South', (9, 7))
Element 14: #1#
