Element 1: (3, (14, 8), ['.', '.', '.', '.'], [(4, 3), (9, 9), (15, 4)], [False, False, False, False], 98, False, [True, True, True, True], 29, 'East', (15, 8))
Element 2: (3, (15, 8), ['', '.', '.', '%'], [(5, 3), (10, 9), (15, 5)], [False, False, False, True], 96, False, [False, True, True, False], 1058, 'North', (15, 9))
Element 3: (3, (15, 9), ['.', '', '%', '%'], [(6, 3), (11, 9), (15, 6)], [False, False, True, True], 94, False, [True, False, False, False], 2087, 'West', (14, 9))
Element 4: (3, (14, 9), ['.', '', '%', ''], [(7, 3), (11, 8), (15, 7)], [False, False, True, False], 92, False, [True, False, False, False], 3116, 'West', (13, 9))
Element 5: (3, (13, 9), ['.', '.', '%', ''], [(8, 3), (11, 7), (14, 7)], [False, False, True, False], 90, False, [True, True, False, False], 4145, 'South', (13, 8))
Element 6: (3, (13, 8), ['.', '.', '', ''], [(9, 3), (11, 6), (14, 6)], [False, False, False, False], 88, False, [True, True, False, False], 5174, 'South', (13, 7))
Element 7: (3, (13, 7), ['.', '.', '', ''], [(10, 3), (11, 5), (14, 5)], [False, False, False, False], 86, False, [True, True, False, False], 7193, 'South', (13, 6))
Element 8: (3, (13, 6), ['.', 'G', '', ''], [(11, 3), (11, 4), (13, 5)], [False, False, False, False], 84, False, [True, False, False, False], 9212, 'West', (12, 6))
Element 9: (3, (12, 6), ['', '.', '.', ''], [(12, 3), (10, 4), (13, 4)], [False, False, False, False], 82, False, [False, True, True, False], 10241, 'North', (12, 7))
Element 10: (3, (12, 7), ['', '', '.', ''], [(13, 3), (10, 5), (12, 4)], [False, False, False, False], 80, False, [False, False, True, False], 11270, 'North', (12, 8))
Element 11: (3, (12, 8), ['', '', '.', ''], [(14, 3), (10, 6), (12, 5)], [False, False, False, False], 78, False, [False, False, True, False], 12299, 'North', (12, 9))
Element 12: (3, (12, 9), ['', '', '%', ''], [(15, 3), (10, 7), (12, 6)], [False, False, True, False], 76, False, [False, False, False, False], 13318, 'West', (11, 9))
Element 13: #1#
