Element 1: (2, (8, 6), ['.', '.', '.', '.'], [(1, 4), (5, 8), (14, 1)], [False, False, False, False], 98, False, [True, True, True, True], 19, 'East', (9, 6))
Element 2: (2, (9, 6), ['', '.', '.', 'F'], [(1, 5), (6, 8), (13, 1)], [False, False, False, False], 96, False, [False, True, True, False], 58, 'East', (10, 6))
Element 3: (2, (10, 6), ['', 'F', 'F', 'F'], [(1, 6), (7, 8), (13, 2)], [False, False, False, False], 94, False, [False, False, False, False], 1087, 'East', (11, 6))
Element 4: (2, (11, 6), ['', 'F', 'F', '.'], [(1, 7), (8, 8), (13, 3)], [False, False, False, False], 92, False, [False, False, False, True], 2116, 'North', (11, 7))
Element 5: (2, (11, 7), ['F', '', 'F', '.'], [(1, 8), (9, 8), (14, 3)], [False, False, False, False], 90, False, [False, False, False, True], 3145, 'North', (11, 8))
Element 6: (2, (11, 8), ['G', '', 'F', '.'], [(1, 9), (10, 8), (15, 3)], [False, False, False, False], 88, False, [False, False, False, True], 5164, 'North', (11, 9))
Element 7: (2, (11, 9), ['G', '', '%', '.'], [(1, 8), (10, 9), (15, 4)], [False, False, True, False], 86, False, [False, False, False, True], 7173, 'East', (12, 9))
Element 8: (2, (12, 9), ['', '.', '%', '.'], [(1, 7), (9, 9), (15, 5)], [False, False, True, False], 84, False, [False, True, False, True], 7202, 'East', (13, 9))
Element 9: (2, (13, 9), ['', '.', '%', '.'], [(1, 6), (8, 9), (15, 6)], [False, False, True, False], 82, False, [False, True, False, True], 7231, 'East', (14, 9))
Element 10: (2, (14, 9), ['', '.', '%', '.'], [(1, 5), (7, 9), (15, 7)], [False, False, True, False], 80, False, [False, True, False, True], 7260, 'East', (15, 9))
Element 11: (2, (15, 9), ['', 'G', '%', '%'], [(1, 4), (6, 9), (15, 8)], [False, False, True, True], 78, False, [False, False, False, False], 7289, 'West', (14, 9))
Element 12: (2, (14, 9), ['', 'G', '%', ''], [(1, 3), (5, 9), (14, 8)], [False, False, True, False], 76, False, [False, False, False, False], 7308, 'West', (13, 9))
Element 13: (2, (13, 9), ['', '.', '%', ''], [(1, 2), (4, 9), (14, 7)], [False, False, True, False], 74, False, [False, True, False, False], 7337, 'East', (14, 9))
Element 14: (2, (14, 9), ['', '', '%', ''], [(1, 1), (3, 9), (14, 6)], [False, False, True, False], 72, False, [False, False, False, False], 7366, 'West', (13, 9))
Element 15: (2, (13, 9), ['', '.', '%', ''], [(2, 1), (3, 8), (14, 5)], [False, False, True, False], 70, False, [False, True, False, False], 7395, 'South', (13, 8))
Element 16: (2, (13, 8), ['.', '.', '', ''], [(3, 1), (3, 7), (14, 4)], [False, False, False, False], 68, False, [True, True, False, False], 7434, 'South', (13, 7))
Element 17: (2, (13, 7), ['.', '.', '', ''], [(4, 1), (4, 7), (13, 4)], [False, False, False, False], 66, False, [True, True, False, False], 7473, 'South', (13, 6))
Element 18: (2, (13, 6), ['.', 'G', '', ''], [(4, 2), (5, 7), (13, 5)], [False, False, False, False], 64, False, [True, False, False, False], 7512, 'West', (12, 6))
Element 19: (2, (12, 6), ['', 'G', '.', ''], [(4, 3), (6, 7), (12, 5)], [False, False, False, False], 62, False, [False, False, True, False], 7551, 'North', (12, 7))
Element 20: (2, (12, 7), ['', '', '.', ''], [(5, 3), (7, 7), (11, 5)], [False, False, False, False], 60, False, [False, False, True, False], 8580, 'North', (12, 8))
Element 21: (2, (12, 8), ['', '', '', ''], [(6, 3), (8, 7), (11, 4)], [False, False, False, False], 58, False, [False, False, False, False], 9609, 'South', (12, 7))
Element 22: (2, (12, 7), ['', '', '', ''], [(7, 3), (9, 7), (11, 3)], [False, False, False, False], 56, False, [False, False, False, False], 10628, 'South', (12, 6))
Element 23: (2, (12, 6), ['', '', '', ''], [(8, 3), (10, 7), (10, 3)], [False, False, False, False], 54, False, [False, False, False, False], 12637, 'East', (13, 6))
Element 24: (2, (13, 6), ['', '', '', ''], [(9, 3), (11, 7), (10, 4)], [False, False, False, False], 52, False, [False, False, False, False], 13646, 'East', (14, 6))
Element 25: #1#
