Element 1: (0, (9, 6), ['.', '.', '.', 'F'], [(5, 4), (14, 3), (14, 4)], [False, False, False, False], 98, False, [True, True, True, False], 0, 'East', (10, 6))
Element 2: (0, (10, 6), ['', 'F', 'F', 'F'], [(6, 4), (15, 3), (15, 4)], [False, False, False, False], 96, False, [False, False, False, False], 1029, 'East', (11, 6))
Element 3: (0, (11, 6), ['', 'F', 'F', '.'], [(7, 4), (15, 2), (15, 5)], [False, False, False, False], 94, False, [False, False, False, True], 2058, 'North', (11, 7))
Element 4: (0, (11, 7), ['F', '', 'F', '.'], [(8, 4), (15, 3), (15, 6)], [False, False, False, False], 92, False, [False, False, False, True], 3077, 'North', (11, 8))
Element 5: (0, (11, 8), ['F', '', 'F', '.'], [(9, 4), (14, 3), (15, 7)], [False, False, False, False], 90, False, [False, False, False, True], 4096, 'North', (11, 9))
Element 6: (0, (11, 9), ['F', '', '%', '.'], [(10, 4), (13, 3), (15, 8)], [False, False, True, False], 88, False, [False, False, False, True], 6115, 'West', (10, 9))
Element 7: (0, (10, 9), ['.', 'F', '%', ''], [(11, 4), (13, 4), (15, 9)], [False, False, True, False], 86, False, [True, False, False, False], 8134, 'South', (10, 8))
Element 8: (0, (10, 8), ['.', 'F', '', ''], [(11, 5), (13, 5), (14, 9)], [False, False, False, False], 84, False, [True, False, False, False], 10153, 'South', (10, 7))
Element 9: (0, (10, 7), ['.', '', '', ''], [(10, 5), (14, 5), (14, 8)], [False, False, False, False], 82, False, [True, False, False, False], 12172, 'West', (9, 7))
Element 10: (0, (9, 7), ['.', '', '.', ''], [(9, 5), (14, 6), (14, 7)], [False, False, False, False], 80, False, [True, False, True, False], 12211, 'North', (9, 8))
Element 11: (0, (9, 8), ['.', '', '.', ''], [(8, 5), (13, 6), (13, 7)], [False, False, False, False], 78, False, [True, False, True, False], 12250, 'North', (9, 9))
Element 12: (0, (9, 9), ['.', '', '%', ''], [(8, 6), (12, 6), (13, 8)], [False, False, True, False], 76, False, [True, False, False, False], 12289, 'West', (8, 9))
Element 13: (0, (8, 9), ['.', '.', '%', ''], [(8, 7), (12, 7), (13, 9)], [False, False, True, False], 74, False, [True, True, False, False], 12328, 'South', (8, 8))
Element 14: (0, (8, 8), ['.', '', '', ''], [(7, 7), (12, 8), (12, 9)], [False, False, False, False], 72, False, [True, False, False, False], 12367, 'West', (7, 8))
Element 15: (0, (7, 8), ['.', '', '.', ''], [(7, 6), (13, 8), (12, 8)], [False, False, False, False], 70, False, [True, False, True, False], 12386, 'North', (7, 9))
Element 16: (0, (7, 9), ['.', '', '%', ''], [(7, 5), (14, 8), (12, 7)], [False, False, True, False], 68, False, [True, False, False, False], 12405, 'West', (6, 9))
Element 17: (0, (6, 9), ['.', '.', '%', ''], [(6, 5), (15, 8), (12, 6)], [False, False, True, False], 66, False, [True, True, False, False], 12424, 'South', (6, 8))
Element 18: (0, (6, 8), ['.', '.', '', ''], [(6, 6), (15, 9), (12, 5)], [False, False, False, False], 64, False, [True, True, False, False], 12453, 'South', (6, 7))
Element 19: (0, (6, 7), ['.', '', '', ''], [(5, 6), (14, 9), (12, 4)], [False, False, False, False], 62, False, [True, False, False, False], 12482, 'West', (5, 7))
Element 20: (0, (5, 7), ['.', '', '.', ''], [(5, 5), (13, 9), (12, 3)], [False, False, False, False], 60, False, [True, False, True, False], 12511, 'North', (5, 8))
Element 21: (0, (5, 8), ['.', '', '.', ''], [(4, 5), (12, 9), (11, 3)], [False, False, False, False], 58, False, [True, False, True, False], 13530, 'North', (5, 9))
Element 22: #1#
