Element 1: (0, (4, 1), ['.', '%', '.', '%'], [(1, 8), (3, 9), (14, 4)], [False, True, False, True], 98, False, [True, False, True, False], 0, 'North', (4, 2))
Element 2: (0, (4, 2), ['%', '', '.', '%'], [(1, 9), (4, 9), (15, 4)], [True, False, False, True], 96, False, [False, False, True, False], 39, 'North', (4, 3))
Element 3: (0, (4, 3), ['.', '', '.', '.'], [(1, 8), (5, 9), (15, 5)], [False, False, False, False], 94, False, [True, False, True, True], 68, 'East', (5, 3))
Element 4: (0, (5, 3), ['', '%', '.', '.'], [(1, 7), (6, 9), (15, 6)], [False, True, False, False], 92, False, [False, False, True, True], 107, 'East', (6, 3))
Element 5: (0, (6, 3), ['', '.', '.', '.'], [(1, 6), (7, 9), (15, 7)], [False, False, False, False], 90, False, [False, True, True, True], 146, 'East', (7, 3))
Element 6: (0, (7, 3), ['', '.', '.', '.'], [(1, 5), (8, 9), (15, 8)], [False, False, False, False], 88, False, [False, True, True, True], 185, 'East', (8, 3))
Element 7: (0, (8, 3), ['', '.', '.', '.'], [(1, 4), (9, 9), (15, 9)], [False, False, False, False], 86, False, [False, True, True, True], 224, 'East', (9, 3))
Element 8: (0, (9, 3), ['', '.', '.', 'F'], [(1, 3), (10, 9), (14, 9)], [False, False, False, False], 84, False, [False, True, True, False], 1253, 'East', (10, 3))
Element 9: (0, (10, 3), ['', '.', 'F', 'F'], [(1, 2), (11, 9), (14, 8)], [False, False, False, False], 82, False, [False, True, False, False], 3272, 'East', (11, 3))
Element 10: (0, (11, 3), ['', '%', 'F', '.'], [(1, 1), (11, 8), (14, 7)], [False, True, False, False], 80, False, [False, False, False, True], 5291, 'North', (11, 4))
Element 11: (0, (11, 4), ['F', '', 'F', '.'], [(2, 1), (11, 7), (14, 6)], [False, False, False, False], 78, False, [False, False, False, True], 7310, 'North', (11, 5))
Element 12: (0, (11, 5), ['F', '', 'G', '.'], [(3, 1), (11, 6), (14, 5)], [False, False, False, False], 76, False, [False, False, False, True], 9329, 'West', (10, 5))
Element 13: (0, (10, 5), ['.', 'F', 'G', ''], [(4, 1), (10, 6), (13, 5)], [False, False, False, False], 74, False, [True, False, False, False], 11338, 'South', (10, 4))
Element 14: (0, (10, 4), ['.', '', '', ''], [(4, 2), (10, 7), (13, 6)], [False, False, False, False], 72, False, [True, False, False, False], 13347, 'West', (9, 4))
Element 15: #1#
