Element 1: (3, (14, 1), ['.', '%', '%', '%'], [(5, 4), (1, 8), (7, 3)], [False, True, True, True], 98, False, [True, False, False, False], 29, 'West', (13, 1))
Element 2: (3, (13, 1), ['.', '%', '.', ''], [(6, 4), (1, 7), (8, 3)], [False, True, False, False], 96, False, [True, False, True, False], 68, 'North', (13, 2))
Element 3: (3, (13, 2), ['%', '', '.', '%'], [(7, 4), (1, 6), (9, 3)], [True, False, False, True], 94, False, [False, False, True, False], 107, 'North', (13, 3))
Element 4: (3, (13, 3), ['.', '', '.', '.'], [(8, 4), (1, 5), (10, 3)], [False, False, False, False], 92, False, [True, False, True, True], 1136, 'East', (14, 3))
Element 5: (3, (14, 3), ['', '%', '.', '.'], [(9, 4), (1, 4), (11, 3)], [False, True, False, False], 90, False, [False, False, True, True], 2165, 'East', (15, 3))
Element 6: (3, (15, 3), ['', '.', '.', '%'], [(10, 4), (1, 3), (11, 4)], [False, False, False, True], 88, False, [False, True, True, False], 4184, 'North', (15, 4))
Element 7: (3, (15, 4), ['.', '', '.', '%'], [(10, 5), (1, 2), (11, 5)], [False, False, False, True], 86, False, [True, False, True, False], 6203, 'North', (15, 5))
Element 8: (3, (15, 5), ['.', '', '.', '%'], [(10, 6), (1, 1), (11, 6)], [False, False, False, True], 84, False, [True, False, True, False], 8222, 'North', (15, 6))
Element 9: (3, (15, 6), ['.', '', '.', '%'], [(10, 7), (2, 1), (11, 7)], [False, False, False, True], 82, False, [True, False, True, False], 10241, 'North', (15, 7))
Element 10: (3, (15, 7), ['.', '', '.', '%'], [(10, 8), (3, 1), (11, 8)], [False, False, False, True], 80, False, [True, False, True, False], 12260, 'North', (15, 8))
Element 11: #1#
