Element 1: (3, (16, 1), ['%', '%', '%', '.'], [(13, 1), (6, 4), (9, 1)], [True, True, True, False], 98, False, [False, False, False, True], 29, 'East', (17, 1))
Element 2: (3, (17, 1), ['', '%', '%', '.'], [(13, 2), (7, 4), (10, 1)], [False, True, True, False], 96, False, [False, False, False, True], 68, 'East', (18, 1))
Element 3: (3, (18, 1), ['', '%', '%', '%'], [(13, 3), (8, 4), (11, 1)], [False, True, True, True], 94, False, [False, False, False, False], 107, 'West', (17, 1))
Element 4: (3, (17, 1), ['', '%', '%', ''], [(14, 3), (9, 4), (12, 1)], [False, True, True, False], 92, False, [False, False, False, False], 136, 'West', (16, 1))
Element 5: (3, (16, 1), ['%', '%', '%', ''], [(15, 3), (10, 4), (13, 1)], [True, True, True, False], 90, False, [False, False, False, False], 1145, 'Stop', (16, 1))
Element 6: (3, (16, 1), ['%', '%', '%', ''], [(15, 4), (11, 4), (14, 1)], [True, True, True, False], 88, False, [False, False, False, False], 2154, 'East', (17, 1))
Element 7: (3, (17, 1), ['', '%', '%', ''], [(15, 5), (11, 5), (13, 1)], [False, True, True, False], 86, False, [False, False, False, False], 3163, 'East', (18, 1))
Element 8: (3, (18, 1), ['', '%', '%', '%'], [(15, 6), (11, 6), (13, 2)], [False, True, True, True], 84, False, [False, False, False, False], 4172, 'West', (17, 1))
Element 9: (3, (17, 1), ['', '%', '%', ''], [(15, 7), (11, 7), (13, 3)], [False, True, True, False], 82, False, [False, False, False, False], 5181, 'West', (16, 1))
Element 10: (3, (16, 1), ['%', '%', '%', ''], [(15, 8), (11, 8), (13, 4)], [True, True, True, False], 80, False, [False, False, False, False], 6200, 'Stop', (16, 1))
Element 11: (3, (16, 1), ['%', '%', '%', ''], [(15, 9), (11, 9), (14, 4)], [True, True, True, False], 78, False, [False, False, False, False], 7219, 'East', (17, 1))
Element 12: (3, (17, 1), ['', '%', '%', ''], [(14, 9), (10, 9), (14, 5)], [False, True, True, False], 76, False, [False, False, False, False], 8238, 'East', (18, 1))
Element 13: (3, (18, 1), ['', '%', '%', '%'], [(14, 8), (10, 8), (14, 6)], [False, True, True, True], 74, False, [False, False, False, False], 9257, 'West', (17, 1))
Element 14: (3, (17, 1), ['', '%', '%', ''], [(14, 7), (10, 7), (13, 6)], [False, True, True, False], 72, False, [False, False, False, False], 10276, 'West', (16, 1))
Element 15: (3, (16, 1), ['%', '%', '%', ''], [(13, 7), (10, 6), (13, 5)], [True, True, True, False], 70, False, [False, False, False, False], 11295, 'Stop', (16, 1))
Element 16: (3, (16, 1), ['%', '%', '%', ''], [(13, 8), (10, 5), (12, 5)], [True, True, True, False], 68, False, [False, False, False, False], 12314, 'East', (17, 1))
Element 17: (3, (17, 1), ['', '%', '%', ''], [(13, 9), (9, 5), (12, 6)], [False, True, True, False], 66, False, [False, False, False, False], 12343, 'East', (18, 1))
Element 18: (3, (18, 1), ['', '%', '%', '%'], [(12, 9), (9, 6), (12, 7)], [False, True, True, True], 64, False, [False, False, False, False], 12372, 'West', (17, 1))
Element 19: (3, (17, 1), ['', '%', '%', ''], [(12, 8), (9, 7), (13, 7)], [False, True, True, False], 62, False, [False, False, False, False], 12391, 'West', (16, 1))
Element 20: (3, (16, 1), ['%', '%', '%', ''], [(12, 7), (9, 8), (14, 7)], [True, True, True, False], 60, False, [False, False, False, False], 12400, 'Stop', (16, 1))
Element 21: (3, (16, 1), ['%', '%', '%', ''], [(12, 6), (9, 9), (15, 7)], [True, True, True, False], 58, False, [False, False, False, False], 12409, 'East', (17, 1))
Element 22: (3, (17, 1), ['', '%', '%', ''], [(13, 6), (8, 9), (15, 8)], [False, True, True, False], 56, False, [False, False, False, False], 12418, 'East', (18, 1))
Element 23: (3, (18, 1), ['', '%', '%', '%'], [(14, 6), (8, 8), (15, 9)], [False, True, True, True], 54, False, [False, False, False, False], 12427, 'West', (17, 1))
Element 24: (3, (17, 1), ['', '%', '%', ''], [(14, 5), (8, 7), (14, 9)], [False, True, True, False], 52, False, [False, False, False, False], 12436, 'West', (16, 1))
Element 25: (3, (16, 1), ['%', '%', '%', ''], [(14, 4), (8, 6), (14, 8)], [True, True, True, False], 50, False, [False, False, False, False], 12445, 'Stop', (16, 1))
Element 26: (3, (16, 1), ['%', '%', '%', ''], [(13, 4), (8, 5), (13, 8)], [True, True, True, False], 48, False, [False, False, False, False], 12454, 'East', (17, 1))
Element 27: (3, (17, 1), ['', '%', '%', ''], [(12, 4), (7, 5), (13, 9)], [False, True, True, False], 46, False, [False, False, False, False], 12473, 'East', (18, 1))
Element 28: (3, (18, 1), ['', '%', '%', '%'], [(12, 3), (7, 6), (12, 9)], [False, True, True, True], 44, False, [False, False, False, False], 12492, 'West', (17, 1))
Element 29: (3, (17, 1), ['', '%', '%', ''], [(11, 3), (7, 7), (12, 8)], [False, True, True, False], 42, False, [False, False, False, False], 13501, 'West', (16, 1))
Element 30: #1#
