Element 1: (1, (4, 2), ['%', '.', '.', '%'], [(14, 3), (5, 5), (7, 8)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (4, 3))
Element 2: (1, (4, 3), ['.', '', '.', '.'], [(15, 3), (6, 5), (8, 8)], [False, False, False, False], 96, False, [True, False, True, True], 48, 'East', (5, 3))
Element 3: (1, (5, 3), ['', '%', '.', '.'], [(15, 4), (7, 5), (9, 8)], [False, True, False, False], 94, False, [False, False, True, True], 87, 'East', (6, 3))
Element 4: (1, (6, 3), ['', '.', '.', '.'], [(15, 5), (8, 5), (10, 8)], [False, False, False, False], 92, False, [False, True, True, True], 1116, 'East', (7, 3))
Element 5: (1, (7, 3), ['', '.', '.', '.'], [(15, 6), (9, 5), (11, 8)], [False, False, False, False], 90, False, [False, True, True, True], 2145, 'East', (8, 3))
Element 6: (1, (8, 3), ['', '.', '.', '.'], [(15, 7), (10, 5), (11, 9)], [False, False, False, False], 88, False, [False, True, True, True], 4164, 'East', (9, 3))
Element 7: (1, (9, 3), ['', '.', '.', 'F'], [(15, 8), (11, 5), (10, 9)], [False, False, False, False], 86, False, [False, True, True, False], 6183, 'East', (10, 3))
Element 8: (1, (10, 3), ['', '.', 'F', 'F'], [(15, 9), (11, 6), (9, 9)], [False, False, False, False], 84, False, [False, True, False, False], 8202, 'East', (11, 3))
Element 9: (1, (11, 3), ['', '%', 'F', '.'], [(14, 9), (11, 7), (8, 9)], [False, True, False, False], 82, False, [False, False, False, True], 10221, 'North', (11, 4))
Element 10: (1, (11, 4), ['F', '', '', '.'], [(14, 8), (10, 7), (7, 9)], [False, False, False, False], 80, False, [False, False, False, True], 12240, 'West', (10, 4))
Element 11: #1#
