Element 1: (0, (5, 9), ['.', '.', '%', '.'], [(4, 6), (6, 3), (11, 1)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (6, 9))
Element 2: (0, (6, 9), ['', '.', '%', '.'], [(5, 6), (7, 3), (12, 1)], [False, False, True, False], 96, False, [False, True, False, True], 39, 'East', (7, 9))
Element 3: (0, (7, 9), ['', '.', '%', '.'], [(6, 6), (8, 3), (13, 1)], [False, False, True, False], 94, False, [False, True, False, True], 78, 'East', (8, 9))
Element 4: (0, (8, 9), ['', '.', '%', '.'], [(7, 6), (9, 3), (14, 1)], [False, False, True, False], 92, False, [False, True, False, True], 117, 'East', (9, 9))
Element 5: (0, (9, 9), ['', '.', '%', 'F'], [(8, 6), (10, 3), (13, 1)], [False, False, True, False], 90, False, [False, True, False, False], 1136, 'East', (10, 9))
Element 6: (0, (10, 9), ['', 'F', '%', 'F'], [(9, 6), (11, 3), (13, 2)], [False, False, True, False], 88, False, [False, False, False, False], 3155, 'East', (11, 9))
Element 7: (0, (11, 9), ['', 'F', '%', '.'], [(10, 6), (11, 4), (13, 3)], [False, False, True, False], 86, False, [False, False, False, True], 6164, 'South', (11, 8))
Element 8: (0, (11, 8), ['F', 'F', '', '.'], [(11, 6), (11, 5), (14, 3)], [False, False, False, False], 84, False, [False, False, False, True], 9173, 'South', (11, 7))
Element 9: (0, (11, 7), ['F', '', '', '.'], [(12, 6), (10, 5), (15, 3)], [False, False, False, False], 82, False, [False, False, False, True], 11192, 'West', (10, 7))
Element 10: (0, (10, 7), ['.', '', 'F', ''], [(13, 6), (10, 4), (15, 4)], [False, False, False, False], 80, False, [True, False, False, False], 13211, 'North', (10, 8))
Element 11: #1#
