Element 1: (0, (16, 1), ['%', '%', '%', '.'], [(8, 5), (8, 9), (13, 1)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (17, 1))
Element 2: (0, (17, 1), ['', '%', '%', '.'], [(9, 5), (9, 9), (14, 1)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (18, 1))
Element 3: (0, (18, 1), ['', '%', '%', '%'], [(10, 5), (10, 9), (13, 1)], [False, True, True, True], 94, False, [False, False, False, False], 2048, 'West', (17, 1))
Element 4: (0, (17, 1), ['', '%', '%', ''], [(11, 5), (11, 9), (13, 2)], [False, True, True, False], 92, False, [False, False, False, False], 4057, 'West', (16, 1))
Element 5: (0, (16, 1), ['%', '%', '%', ''], [(11, 6), (11, 8), (13, 3)], [True, True, True, False], 90, False, [False, False, False, False], 6066, 'Stop', (16, 1))
Element 6: (0, (16, 1), ['%', '%', '%', ''], [(11, 7), (10, 8), (14, 3)], [True, True, True, False], 88, False, [False, False, False, False], 8075, 'East', (17, 1))
Element 7: (0, (17, 1), ['', '%', '%', ''], [(10, 7), (9, 8), (15, 3)], [False, True, True, False], 86, False, [False, False, False, False], 9094, 'East', (18, 1))
Element 8: (0, (18, 1), ['', '%', '%', '%'], [(10, 6), (9, 7), (15, 4)], [False, True, True, True], 84, False, [False, False, False, False], 10113, 'West', (17, 1))
Element 9: (0, (17, 1), ['', '%', '%', ''], [(9, 6), (8, 7), (15, 5)], [False, True, True, False], 82, False, [False, False, False, False], 10142, 'West', (16, 1))
Element 10: (0, (16, 1), ['%', '%', '%', ''], [(8, 6), (8, 8), (15, 6)], [True, True, True, False], 80, False, [False, False, False, False], 10171, 'Stop', (16, 1))
Element 11: (0, (16, 1), ['%', '%', '%', ''], [(7, 6), (7, 8), (15, 7)], [True, True, True, False], 78, False, [False, False, False, False], 10200, 'East', (17, 1))
Element 12: (0, (17, 1), ['', '%', '%', ''], [(7, 7), (7, 9), (15, 8)], [False, True, True, False], 76, False, [False, False, False, False], 10229, 'East', (18, 1))
Element 13: (0, (18, 1), ['', '%', '%', '%'], [(6, 7), (6, 9), (15, 9)], [False, True, True, True], 74, False, [False, False, False, False], 10258, 'West', (17, 1))
Element 14: (0, (17, 1), ['', '%', '%', ''], [(6, 8), (5, 9), (14, 9)], [False, True, True, False], 72, False, [False, False, False, False], 10287, 'West', (16, 1))
Element 15: (0, (16, 1), ['%', '%', '%', ''], [(5, 8), (4, 9), (14, 8)], [True, True, True, False], 70, False, [False, False, False, False], 10316, 'Stop', (16, 1))
Element 16: (0, (16, 1), ['%', '%', '%', ''], [(5, 7), (4, 8), (14, 7)], [True, True, True, False], 68, False, [False, False, False, False], 10345, 'East', (17, 1))
Element 17: (0, (17, 1), ['', '%', '%', ''], [(5, 6), (4, 7), (14, 6)], [False, True, True, False], 66, False, [False, False, False, False], 10374, 'East', (18, 1))
Element 18: (0, (18, 1), ['', '%', '%', '%'], [(6, 6), (4, 6), (14, 5)], [False, True, True, True], 64, False, [False, False, False, False], 10403, 'West', (17, 1))
Element 19: (0, (17, 1), ['', '%', '%', ''], [(6, 5), (4, 5), (14, 4)], [False, True, True, False], 62, False, [False, False, False, False], 10432, 'West', (16, 1))
Element 20: (0, (16, 1), ['%', '%', '%', ''], [(7, 5), (5, 5), (13, 4)], [True, True, True, False], 60, False, [False, False, False, False], 10461, 'Stop', (16, 1))
Element 21: (0, (16, 1), ['%', '%', '%', ''], [(7, 4), (5, 4), (13, 5)], [True, True, True, False], 58, False, [False, False, False, False], 10490, 'East', (17, 1))
Element 22: (0, (17, 1), ['', '%', '%', ''], [(8, 4), (6, 4), (13, 6)], [False, True, True, False], 56, False, [False, False, False, False], 10519, 'East', (18, 1))
Element 23: (0, (18, 1), ['', '%', '%', '%'], [(9, 4), (6, 3), (13, 7)], [False, True, True, True], 54, False, [False, False, False, False], 10548, 'West', (17, 1))
Element 24: (0, (17, 1), ['', '%', '%', ''], [(10, 4), (7, 3), (13, 8)], [False, True, True, False], 52, False, [False, False, False, False], 11567, 'West', (16, 1))
Element 25: (0, (16, 1), ['%', '%', '%', ''], [(11, 4), (8, 3), (13, 9)], [True, True, True, False], 50, False, [False, False, False, False], 12586, 'Stop', (16, 1))
Element 26: (0, (16, 1), ['%', '%', '%', ''], [(11, 3), (9, 3), (12, 9)], [True, True, True, False], 48, False, [False, False, False, False], 13605, 'East', (17, 1))
Element 27: #1#
