Element 1: (3, (9, 4), ['.', '.', '', 'F'], [(10, 5), (4, 3), (4, 2)], [False, False, False, False], 98, False, [True, True, False, False], 1019, 'East', (10, 4))
Element 2: (3, (10, 4), ['', 'F', '', 'F'], [(11, 5), (5, 3), (4, 3)], [False, False, False, False], 96, False, [False, False, False, False], 3028, 'East', (11, 4))
Element 3: (3, (11, 4), ['', 'F', '', '.'], [(11, 6), (6, 3), (4, 4)], [False, False, False, False], 94, False, [False, False, False, True], 5047, 'South', (11, 3))
Element 4: (3, (11, 3), ['F', '%', '', '.'], [(11, 7), (7, 3), (5, 4)], [False, True, False, False], 92, False, [False, False, False, True], 7066, 'West', (10, 3))
Element 5: (3, (10, 3), ['.', '.', '', ''], [(11, 8), (8, 3), (6, 4)], [False, False, False, False], 90, False, [True, True, False, False], 9085, 'South', (10, 2))
Element 6: (3, (10, 2), ['.', '.', '', '%'], [(11, 9), (9, 3), (7, 4)], [False, False, False, True], 88, False, [True, True, False, False], 10114, 'South', (10, 1))
Element 7: (3, (10, 1), ['.', '%', '', '.'], [(10, 9), (9, 2), (8, 4)], [False, True, False, False], 86, False, [True, False, False, True], 11143, 'East', (11, 1))
Element 8: (3, (11, 1), ['', '%', '%', '.'], [(10, 8), (9, 1), (8, 5)], [False, True, True, False], 84, False, [False, False, False, True], 12172, 'East', (12, 1))
Element 9: (3, (12, 1), ['', '%', '%', '.'], [(10, 7), (8, 1), (8, 6)], [False, True, True, False], 82, False, [False, False, False, True], 13201, 'East', (13, 1))
Element 10: #1#
