Element 1: (0, (12, 8), ['F', '.', '.', '.'], [(8, 4), (9, 4), (9, 9)], [False, False, False, False], 98, False, [False, True, True, True], 0, 'West', (11, 8))
Element 2: (0, (11, 8), ['F', 'F', 'F', ''], [(8, 5), (10, 4), (10, 9)], [False, False, False, False], 96, False, [False, False, False, False], 3009, 'North', (11, 9))
Element 3: (0, (11, 9), ['', '', '%', '.'], [(9, 5), (11, 4), (10, 8)], [False, False, True, False], 94, False, [False, False, False, True], 6018, 'East', (12, 9))
Element 4: (0, (12, 9), ['', '', '%', '.'], [(10, 5), (11, 5), (10, 7)], [False, False, True, False], 92, False, [False, False, False, True], 9027, 'East', (13, 9))
Element 5: (0, (13, 9), ['', '.', '%', '.'], [(10, 6), (11, 6), (11, 7)], [False, False, True, False], 90, False, [False, True, False, True], 12036, 'East', (14, 9))
Element 6: (0, (14, 9), ['', '.', '%', '.'], [(9, 6), (12, 6), (12, 7)], [False, False, True, False], 88, False, [False, True, False, True], 12075, 'East', (15, 9))
Element 7: (0, (15, 9), ['', '.', '%', '%'], [(9, 7), (13, 6), (13, 7)], [False, False, True, True], 86, False, [False, True, False, False], 12114, 'South', (15, 8))
Element 8: (0, (15, 8), ['.', '.', '', '%'], [(9, 8), (14, 6), (14, 7)], [False, False, False, True], 84, False, [True, True, False, False], 12153, 'South', (15, 7))
Element 9: (0, (15, 7), ['', 'G', '', '%'], [(8, 8), (15, 6), (14, 8)], [False, False, False, True], 82, False, [False, False, False, False], 12192, 'West', (14, 7))
Element 10: (0, (14, 7), ['', '', '', ''], [(8, 9), (15, 5), (13, 8)], [False, False, False, False], 80, False, [False, False, False, False], 12221, 'North', (14, 8))
Element 11: (0, (14, 8), ['', '', '', ''], [(7, 9), (15, 4), (13, 9)], [False, False, False, False], 78, False, [False, False, False, False], 12240, 'West', (13, 8))
Element 12: (0, (13, 8), ['', '', '', ''], [(7, 8), (15, 3), (14, 9)], [False, False, False, False], 76, False, [False, False, False, False], 12259, 'South', (13, 7))
Element 13: (0, (13, 7), ['', '', '', ''], [(7, 7), (15, 2), (15, 9)], [False, False, False, False], 74, False, [False, False, False, False], 12278, 'South', (13, 6))
Element 14: (0, (13, 6), ['', '.', '', ''], [(8, 7), (15, 3), (15, 8)], [False, False, False, False], 72, False, [False, True, False, False], 12287, 'South', (13, 5))
Element 15: (0, (13, 5), ['.', '.', '', '.'], [(8, 6), (14, 3), (15, 7)], [False, False, False, False], 70, False, [True, True, False, True], 12316, 'East', (14, 5))
Element 16: (0, (14, 5), ['', 'G', '', ''], [(7, 6), (14, 4), (15, 6)], [False, False, False, False], 68, False, [False, False, False, False], 12345, 'East', (15, 5))
Element 17: (0, (15, 5), ['', '', '', '%'], [(7, 5), (13, 4), (14, 6)], [False, False, False, True], 66, False, [False, False, False, False], 12364, 'North', (15, 6))
Element 18: (0, (15, 6), ['', '', '', '%'], [(7, 4), (13, 3), (14, 5)], [False, False, False, True], 64, False, [False, False, False, False], 12383, 'West', (14, 6))
Element 19: (0, (14, 6), ['', '', '', ''], [(7, 3), (13, 2), (15, 5)], [False, False, False, False], 62, False, [False, False, False, False], 12402, 'East', (15, 6))
Element 20: (0, (15, 6), ['', '', '', '%'], [(8, 3), (13, 1), (15, 4)], [False, False, False, True], 60, False, [False, False, False, False], 12421, 'South', (15, 5))
Element 21: (0, (15, 5), ['', '', '', '%'], [(9, 3), (14, 1), (15, 3)], [False, False, False, True], 58, False, [False, False, False, False], 12440, 'South', (15, 4))
Element 22: (0, (15, 4), ['', '', '', '%'], [(10, 3), (13, 1), (15, 2)], [False, False, False, True], 56, False, [False, False, False, False], 13439, 'South', (15, 3))
Element 23: #1#
