Element 1: (1, (1, 4), ['%', '.', '.', '%'], [(8, 8), (6, 8), (15, 4)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 5))
Element 2: (1, (1, 5), ['%', '', '.', '%'], [(9, 8), (6, 9), (15, 5)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 6))
Element 3: (1, (1, 6), ['%', '', '.', '%'], [(10, 8), (7, 9), (15, 6)], [True, False, False, True], 94, False, [False, False, True, False], 1077, 'North', (1, 7))
Element 4: (1, (1, 7), ['%', '', '.', '%'], [(11, 8), (8, 9), (15, 7)], [True, False, False, True], 92, False, [False, False, True, False], 2106, 'North', (1, 8))
Element 5: (1, (1, 8), ['%', '', '.', '%'], [(11, 9), (9, 9), (15, 8)], [True, False, False, True], 90, False, [False, False, True, False], 3135, 'North', (1, 9))
Element 6: (1, (1, 9), ['%', '', '%', '%'], [(12, 9), (10, 9), (15, 9)], [True, False, True, True], 88, False, [False, False, False, False], 4164, 'South', (1, 8))
Element 7: (1, (1, 8), ['%', '', '', '%'], [(13, 9), (11, 9), (14, 9)], [True, False, False, True], 86, False, [False, False, False, False], 4183, 'South', (1, 7))
Element 8: (1, (1, 7), ['%', '', '', '%'], [(13, 8), (12, 9), (14, 8)], [True, False, False, True], 84, False, [False, False, False, False], 4202, 'South', (1, 6))
Element 9: (1, (1, 6), ['%', '', '', '%'], [(13, 7), (12, 8), (14, 7)], [True, False, False, True], 82, False, [False, False, False, False], 4231, 'South', (1, 5))
Element 10: (1, (1, 5), ['%', '', '', '%'], [(13, 6), (12, 7), (14, 6)], [True, False, False, True], 80, False, [False, False, False, False], 4260, 'South', (1, 4))
Element 11: (1, (1, 4), ['%', '.', '', '%'], [(13, 5), (11, 7), (14, 5)], [True, False, False, True], 78, False, [False, True, False, False], 5279, 'South', (1, 3))
Element 12: (1, (1, 3), ['%', '.', '', '%'], [(13, 4), (11, 6), (14, 4)], [True, False, False, True], 76, False, [False, True, False, False], 6308, 'South', (1, 2))
Element 13: (1, (1, 2), ['%', '.', '', '%'], [(13, 3), (11, 5), (14, 3)], [True, False, False, True], 74, False, [False, True, False, False], 7337, 'South', (1, 1))
Element 14: (1, (1, 1), ['%', '%', '', '.'], [(13, 2), (11, 4), (15, 3)], [True, True, False, False], 72, False, [False, False, False, True], 8366, 'East', (2, 1))
Element 15: (1, (2, 1), ['', '%', '%', '.'], [(13, 1), (11, 3), (15, 2)], [False, True, True, False], 70, False, [False, False, False, True], 9395, 'East', (3, 1))
Element 16: (1, (3, 1), ['', '%', '%', '.'], [(14, 1), (10, 3), (15, 3)], [False, True, True, False], 68, False, [False, False, False, True], 10414, 'East', (4, 1))
Element 17: (1, (4, 1), ['', '%', '.', '%'], [(13, 1), (10, 4), (14, 3)], [False, True, False, True], 66, False, [False, False, True, False], 11423, 'North', (4, 2))
Element 18: (1, (4, 2), ['%', '', '.', '%'], [(12, 1), (10, 5), (14, 4)], [True, False, False, True], 64, False, [False, False, True, False], 12442, 'North', (4, 3))
Element 19: (1, (4, 3), ['.', '', '.', '.'], [(11, 1), (10, 6), (14, 5)], [False, False, False, False], 62, False, [True, False, True, True], 13461, 'East', (5, 3))
Element 20: #1#
