Element 1: (0, (1, 6), ['%', '.', '.', '%'], [(1, 8), (13, 3), (14, 4)], [True, False, False, True], 98, False, [False, True, True, False], 0, 'North', (1, 7))
Element 2: (0, (1, 7), ['%', '', '', '%'], [(1, 9), (14, 3), (15, 4)], [True, False, False, True], 96, False, [False, False, False, False], 39, 'North', (1, 8))
Element 3: (0, (1, 8), ['%', '', 'G', '%'], [(1, 9), (15, 3), (15, 5)], [True, False, False, True], 94, False, [False, False, False, False], 58, 'South', (1, 7))
Element 4: (0, (1, 7), ['%', '', '', '%'], [(1, 9), (15, 2), (15, 6)], [True, False, False, True], 92, False, [False, False, False, False], 77, 'South', (1, 6))
Element 5: (0, (1, 6), ['%', '.', '', '%'], [(1, 8), (15, 3), (15, 7)], [True, False, False, True], 90, False, [False, True, False, False], 86, 'South', (1, 5))
Element 6: (0, (1, 5), ['%', '.', '', '%'], [(1, 7), (15, 4), (15, 8)], [True, False, False, True], 88, False, [False, True, False, False], 105, 'South', (1, 4))
Element 7: (0, (1, 4), ['%', '.', '', '%'], [(1, 6), (15, 5), (15, 9)], [True, False, False, True], 86, False, [False, True, False, False], 124, 'South', (1, 3))
Element 8: (0, (1, 3), ['%', '.', '', '%'], [(1, 5), (14, 5), (14, 9)], [True, False, False, True], 84, False, [False, True, False, False], 153, 'South', (1, 2))
Element 9: (0, (1, 2), ['%', '.', '', '%'], [(1, 4), (14, 6), (14, 8)], [True, False, False, True], 82, False, [False, True, False, False], 182, 'South', (1, 1))
Element 10: (0, (1, 1), ['%', '%', '', '.'], [(1, 3), (14, 7), (13, 8)], [True, True, False, False], 80, False, [False, False, False, True], 211, 'East', (2, 1))
Element 11: (0, (2, 1), ['', '%', '%', '.'], [(1, 2), (13, 7), (13, 9)], [False, True, True, False], 78, False, [False, False, False, True], 240, 'East', (3, 1))
Element 12: (0, (3, 1), ['', '%', '%', '.'], [(1, 1), (13, 6), (12, 9)], [False, True, True, False], 76, False, [False, False, False, True], 269, 'East', (4, 1))
Element 13: (0, (4, 1), ['', '%', '.', '%'], [(2, 1), (13, 5), (11, 9)], [False, True, False, True], 74, False, [False, False, True, False], 1288, 'North', (4, 2))
Element 14: (0, (4, 2), ['%', '', '.', '%'], [(3, 1), (13, 4), (11, 8)], [True, False, False, True], 72, False, [False, False, True, False], 2307, 'North', (4, 3))
Element 15: (0, (4, 3), ['.', '', '.', '.'], [(4, 1), (12, 4), (11, 7)], [False, False, False, False], 70, False, [True, False, True, True], 3326, 'East', (5, 3))
Element 16: (0, (5, 3), ['', '%', '.', '.'], [(4, 2), (11, 4), (11, 6)], [False, True, False, False], 68, False, [False, False, True, True], 5335, 'East', (6, 3))
Element 17: (0, (6, 3), ['', '.', '.', '.'], [(4, 3), (11, 5), (10, 6)], [False, False, False, False], 66, False, [False, True, True, True], 7344, 'East', (7, 3))
Element 18: (0, (7, 3), ['', '.', '.', '.'], [(4, 4), (10, 5), (10, 7)], [False, False, False, False], 64, False, [False, True, True, True], 9363, 'East', (8, 3))
Element 19: (0, (8, 3), ['', '.', '.', '.'], [(5, 4), (10, 4), (10, 8)], [False, False, False, False], 62, False, [False, True, True, True], 11382, 'East', (9, 3))
Element 20: (0, (9, 3), ['', '.', '.', 'G'], [(6, 4), (10, 3), (10, 9)], [False, False, False, False], 60, False, [False, True, True, False], 13401, 'North', (9, 4))
Element 21: #1#
