Element 1: (3, (7, 2), ['G', '', '.', '.'], [(6, 2), (4, 9), (8, 1)], [False, False, False, False], 98, False, [False, False, True, True], 29, 'East', (8, 2))
Element 2: (3, (8, 2), ['', '', '.', '.'], [(6, 3), (5, 9), (9, 1)], [False, False, False, False], 96, False, [False, False, True, True], 68, 'East', (9, 2))
Element 3: (3, (9, 2), ['', '', '.', '.'], [(7, 3), (6, 9), (10, 1)], [False, False, False, False], 94, False, [False, False, True, True], 107, 'East', (10, 2))
Element 4: (3, (10, 2), ['', '', 'F', '%'], [(8, 3), (7, 9), (11, 1)], [False, False, False, True], 92, False, [False, False, False, False], 146, 'North', (10, 3))
Element 5: (3, (10, 3), ['G', '', 'F', 'F'], [(9, 3), (8, 9), (12, 1)], [False, False, False, False], 90, False, [False, False, False, False], 1175, 'East', (11, 3))
Element 6: (3, (11, 3), ['', '%', 'F', '.'], [(9, 4), (9, 9), (13, 1)], [False, True, False, False], 88, False, [False, False, False, True], 2204, 'North', (11, 4))
Element 7: (3, (11, 4), ['G', '', 'F', '.'], [(10, 4), (10, 9), (14, 1)], [False, False, False, False], 86, False, [False, False, False, True], 5213, 'North', (11, 5))
Element 8: (3, (11, 5), ['G', '', 'F', '.'], [(10, 5), (11, 9), (13, 1)], [False, False, False, False], 84, False, [False, False, False, True], 8212, 'North', (11, 6))
Element 9: (3, (11, 6), ['G', '', 'F', '.'], [(10, 6), (11, 8), (13, 2)], [False, False, False, False], 82, False, [False, False, False, True], 11221, 'North', (11, 7))
Element 10: #1#
