Element 1: (3, (14, 4), ['', '.', '.', '.'], [(5, 7), (7, 5), (13, 5)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'East', (15, 4))
Element 2: (3, (15, 4), ['', '.', '.', '%'], [(6, 7), (8, 5), (14, 5)], [False, False, False, True], 96, False, [False, True, True, False], 68, 'North', (15, 5))
Element 3: (3, (15, 5), ['', '', '.', '%'], [(7, 7), (9, 5), (14, 6)], [False, False, False, True], 94, False, [False, False, True, False], 107, 'North', (15, 6))
Element 4: (3, (15, 6), ['', '', '.', '%'], [(8, 7), (10, 5), (14, 7)], [False, False, False, True], 92, False, [False, False, True, False], 1136, 'North', (15, 7))
Element 5: (3, (15, 7), ['', '', '.', '%'], [(9, 7), (11, 5), (14, 8)], [False, False, False, True], 90, False, [False, False, True, False], 2165, 'North', (15, 8))
Element 6: (3, (15, 8), ['', '', '.', '%'], [(10, 7), (11, 6), (14, 9)], [False, False, False, True], 88, False, [False, False, True, False], 4184, 'North', (15, 9))
Element 7: (3, (15, 9), ['', '', '%', '%'], [(11, 7), (10, 6), (13, 9)], [False, False, True, True], 86, False, [False, False, False, False], 6203, 'West', (14, 9))
Element 8: (3, (14, 9), ['', '', '%', ''], [(11, 8), (9, 6), (13, 8)], [False, False, True, False], 84, False, [False, False, False, False], 7222, 'South', (14, 8))
Element 9: (3, (14, 8), ['', '', '', ''], [(11, 9), (8, 6), (13, 7)], [False, False, False, False], 82, False, [False, False, False, False], 8241, 'South', (14, 7))
Element 10: (3, (14, 7), ['', '', '', ''], [(10, 9), (7, 6), (13, 6)], [False, False, False, False], 80, False, [False, False, False, False], 9260, 'South', (14, 6))
Element 11: (3, (14, 6), ['', '', '', ''], [(10, 8), (6, 6), (12, 6)], [False, False, False, False], 78, False, [False, False, False, False], 10279, 'South', (14, 5))
Element 12: (3, (14, 5), ['', '', '', ''], [(9, 8), (5, 6), (12, 7)], [False, False, False, False], 76, False, [False, False, False, False], 10308, 'West', (13, 5))
Element 13: (3, (13, 5), ['.', '', '', ''], [(9, 9), (5, 5), (12, 8)], [False, False, False, False], 74, False, [True, False, False, False], 10337, 'West', (12, 5))
Element 14: (3, (12, 5), ['', '.', '', ''], [(8, 9), (5, 4), (12, 9)], [False, False, False, False], 72, False, [False, True, False, False], 10376, 'South', (12, 4))
Element 15: (3, (12, 4), ['F', '.', '', ''], [(8, 8), (6, 4), (11, 9)], [False, False, False, False], 70, False, [False, True, False, False], 10405, 'West', (11, 4))
Element 16: (3, (11, 4), ['F', 'F', '', ''], [(7, 8), (7, 4), (11, 8)], [False, False, False, False], 68, False, [False, False, False, False], 11424, 'South', (11, 3))
Element 17: (3, (11, 3), ['F', '%', '', '.'], [(7, 9), (8, 4), (11, 7)], [False, True, False, False], 66, False, [False, False, False, True], 12443, 'West', (10, 3))
Element 18: (3, (10, 3), ['.', '.', 'F', ''], [(6, 9), (9, 4), (11, 6)], [False, False, False, False], 64, False, [True, True, False, False], 13462, 'North', (10, 4))
Element 19: #1#
