Element 1: (0, (5, 7), ['.', '.', 'G', '.'], [(1, 2), (5, 8), (13, 4)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'East', (6, 7))
Element 2: (0, (6, 7), ['', '.', 'G', '.'], [(1, 3), (6, 8), (14, 4)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'East', (7, 7))
Element 3: (0, (7, 7), ['', '.', 'G', '.'], [(1, 4), (7, 8), (15, 4)], [False, False, False, False], 94, False, [False, True, False, True], 78, 'East', (8, 7))
Element 4: (0, (8, 7), ['', '.', 'G', '.'], [(1, 5), (8, 8), (15, 5)], [False, False, False, False], 92, False, [False, True, False, True], 117, 'East', (9, 7))
Element 5: (0, (9, 7), ['', '.', 'G', 'F'], [(1, 6), (9, 8), (15, 6)], [False, False, False, False], 90, False, [False, True, False, False], 156, 'East', (10, 7))
Element 6: (0, (10, 7), ['', 'F', 'G', 'F'], [(1, 7), (10, 8), (15, 7)], [False, False, False, False], 88, False, [False, False, False, False], 2175, 'East', (11, 7))
Element 7: (0, (11, 7), ['', 'F', 'G', '.'], [(1, 8), (11, 8), (15, 8)], [False, False, False, False], 86, False, [False, False, False, True], 4194, 'South', (11, 6))
Element 8: (0, (11, 6), ['F', 'F', '', '.'], [(1, 9), (11, 9), (15, 9)], [False, False, False, False], 84, False, [False, False, False, True], 6213, 'South', (11, 5))
Element 9: (0, (11, 5), ['F', 'F', '', '.'], [(1, 8), (10, 9), (14, 9)], [False, False, False, False], 82, False, [False, False, False, True], 8222, 'South', (11, 4))
Element 10: (0, (11, 4), ['F', 'F', '', '.'], [(1, 7), (9, 9), (14, 8)], [False, False, False, False], 80, False, [False, False, False, True], 9241, 'South', (11, 3))
Element 11: (0, (11, 3), ['F', '%', '', '.'], [(1, 6), (8, 9), (14, 7)], [False, True, False, False], 78, False, [False, False, False, True], 10260, 'West', (10, 3))
Element 12: (0, (10, 3), ['.', '.', 'F', ''], [(1, 5), (7, 9), (14, 6)], [False, False, False, False], 76, False, [True, True, False, False], 11279, 'North', (10, 4))
Element 13: (0, (10, 4), ['.', '', 'F', ''], [(1, 4), (6, 9), (14, 5)], [False, False, False, False], 74, False, [True, False, False, False], 12298, 'North', (10, 5))
Element 14: (0, (10, 5), ['.', '', 'F', ''], [(1, 3), (5, 9), (13, 5)], [False, False, False, False], 72, False, [True, False, False, False], 13317, 'North', (10, 6))
Element 15: #1#
