Element 1: (1, (3, 9), ['%', '.', '%', '.'], [(7, 6), (4, 8), (8, 5)], [True, False, True, False], 98, False, [False, True, False, True], 9, 'East', (4, 9))
Element 2: (1, (4, 9), ['', '', '%', '.'], [(8, 6), (5, 8), (9, 5)], [False, False, True, False], 96, False, [False, False, False, True], 48, 'East', (5, 9))
Element 3: (1, (5, 9), ['', '', '%', '.'], [(9, 6), (6, 8), (10, 5)], [False, False, True, False], 94, False, [False, False, False, True], 1077, 'East', (6, 9))
Element 4: (1, (6, 9), ['', '', '%', '.'], [(10, 6), (7, 8), (11, 5)], [False, False, True, False], 92, False, [False, False, False, True], 3096, 'East', (7, 9))
Element 5: (1, (7, 9), ['', '', '%', '.'], [(10, 7), (8, 8), (11, 6)], [False, False, True, False], 90, False, [False, False, False, True], 5115, 'East', (8, 9))
Element 6: (1, (8, 9), ['', '', '%', '.'], [(10, 8), (9, 8), (11, 7)], [False, False, True, False], 88, False, [False, False, False, True], 7134, 'East', (9, 9))
Element 7: (1, (9, 9), ['', '', '%', 'G'], [(10, 9), (9, 7), (11, 8)], [False, False, True, False], 86, False, [False, False, False, False], 9153, 'South', (9, 8))
Element 8: (1, (9, 8), ['', '', 'G', ''], [(9, 9), (8, 7), (11, 9)], [False, False, False, False], 84, False, [False, False, False, False], 10162, 'East', (10, 8))
Element 9: (1, (10, 8), ['G', '', '', ''], [(9, 8), (7, 7), (12, 9)], [False, False, False, False], 82, False, [False, False, False, False], 10181, 'East', (11, 8))
Element 10: (1, (11, 8), ['', '', '', '.'], [(9, 7), (6, 7), (13, 9)], [False, False, False, False], 80, False, [False, False, False, True], 10200, 'East', (12, 8))
Element 11: (1, (12, 8), ['', '.', '', '.'], [(8, 7), (6, 6), (14, 9)], [False, False, False, False], 78, False, [False, True, False, True], 10229, 'East', (13, 8))
Element 12: (1, (13, 8), ['', '.', '', '.'], [(8, 8), (6, 5), (15, 9)], [False, False, False, False], 76, False, [False, True, False, True], 10258, 'East', (14, 8))
Element 13: (1, (14, 8), ['', '.', '', 'G'], [(8, 9), (6, 4), (15, 8)], [False, False, False, False], 74, False, [False, True, False, False], 10287, 'South', (14, 7))
Element 14: (1, (14, 7), ['.', '.', '', 'G'], [(7, 9), (7, 4), (15, 7)], [False, False, False, False], 72, False, [True, True, False, False], 10316, 'South', (14, 6))
Element 15: (1, (14, 6), ['.', '.', '', 'G'], [(7, 8), (8, 4), (15, 6)], [False, False, False, False], 70, False, [True, True, False, False], 10345, 'South', (14, 5))
Element 16: (1, (14, 5), ['.', '.', '', 'G'], [(7, 7), (9, 4), (15, 5)], [False, False, False, False], 68, False, [True, True, False, False], 10374, 'South', (14, 4))
Element 17: (1, (14, 4), ['.', '.', '', 'G'], [(6, 7), (10, 4), (15, 4)], [False, False, False, False], 66, False, [True, True, False, False], 11393, 'South', (14, 3))
Element 18: (1, (14, 3), ['.', '%', '', 'G'], [(5, 7), (11, 4), (15, 3)], [False, True, False, False], 64, False, [True, False, False, False], 12422, 'West', (13, 3))
Element 19: (1, (13, 3), ['.', '.', '.', ''], [(5, 6), (11, 3), (15, 2)], [False, False, False, False], 62, False, [True, True, True, False], 13451, 'North', (13, 4))
Element 20: #1#
