Element 1: (2, (14, 9), ['.', '.', '%', '.'], [(4, 3), (14, 4), (16, 1)], [False, False, True, False], 98, False, [True, True, False, True], 19, 'East', (15, 9))
Element 2: (2, (15, 9), ['', '.', '%', '%'], [(5, 3), (15, 4), (17, 1)], [False, False, True, True], 96, False, [False, True, False, False], 58, 'South', (15, 8))
Element 3: (2, (15, 8), ['.', '.', '', '%'], [(6, 3), (15, 5), (18, 1)], [False, False, False, True], 94, False, [True, True, False, False], 97, 'South', (15, 7))
Element 4: (2, (15, 7), ['.', 'G', '', '%'], [(7, 3), (15, 6), (17, 1)], [False, False, False, True], 92, False, [True, False, False, False], 126, 'West', (14, 7))
Element 5: (2, (14, 7), ['.', 'G', '.', ''], [(8, 3), (14, 6), (16, 1)], [False, False, False, False], 90, False, [True, False, True, False], 155, 'North', (14, 8))
Element 6: (2, (14, 8), ['.', '', '', ''], [(9, 3), (14, 5), (16, 1)], [False, False, False, False], 88, False, [True, False, False, False], 184, 'West', (13, 8))
Element 7: (2, (13, 8), ['.', '.', '.', ''], [(10, 3), (13, 5), (17, 1)], [False, False, False, False], 86, False, [True, True, True, False], 1203, 'North', (13, 9))
Element 8: (2, (13, 9), ['.', '', '%', ''], [(11, 3), (13, 6), (18, 1)], [False, False, True, False], 84, False, [True, False, False, False], 2222, 'West', (12, 9))
Element 9: (2, (12, 9), ['F', '.', '%', ''], [(11, 4), (13, 7), (17, 1)], [False, False, True, False], 82, False, [False, True, False, False], 3241, 'West', (11, 9))
Element 10: (2, (11, 9), ['F', 'F', '%', ''], [(11, 5), (12, 7), (16, 1)], [False, False, True, False], 80, False, [False, False, False, False], 5250, 'South', (11, 8))
Element 11: (2, (11, 8), ['F', 'G', '', '.'], [(11, 6), (11, 7), (16, 1)], [False, False, False, False], 78, False, [False, False, False, True], 8249, 'West', (10, 8))
Element 12: (2, (10, 8), ['.', 'G', 'F', ''], [(10, 6), (10, 7), (17, 1)], [False, False, False, False], 76, False, [True, False, False, False], 11248, 'North', (10, 9))
Element 13: (2, (10, 9), ['.', '', '%', ''], [(10, 5), (9, 7), (18, 1)], [False, False, True, False], 74, False, [True, False, False, False], 13257, 'West', (9, 9))
Element 14: #1#
