Element 1: (3, (12, 5), ['F', '.', '.', '.'], [(9, 9), (5, 5), (8, 7)], [False, False, False, False], 98, False, [False, True, True, True], 29, 'West', (11, 5))
Element 2: (3, (11, 5), ['F', 'F', 'F', ''], [(10, 9), (6, 5), (9, 7)], [False, False, False, False], 96, False, [False, False, False, False], 2048, 'North', (11, 6))
Element 3: (3, (11, 6), ['F', '', 'F', '.'], [(11, 9), (7, 5), (10, 7)], [False, False, False, False], 94, False, [False, False, False, True], 5057, 'North', (11, 7))
Element 4: (3, (11, 7), ['', '', 'G', '.'], [(11, 8), (8, 5), (10, 8)], [False, False, False, False], 92, False, [False, False, False, True], 8066, 'East', (12, 7))
Element 5: (3, (12, 7), ['', '.', 'G', '.'], [(12, 8), (9, 5), (9, 8)], [False, False, False, False], 90, False, [False, True, False, True], 8105, 'East', (13, 7))
Element 6: (3, (13, 7), ['', '.', 'G', '.'], [(13, 8), (10, 5), (8, 8)], [False, False, False, False], 88, False, [False, True, False, True], 9134, 'East', (14, 7))
Element 7: (3, (14, 7), ['', '.', 'G', '.'], [(14, 8), (10, 6), (7, 8)], [False, False, False, False], 86, False, [False, True, False, True], 10163, 'East', (15, 7))
Element 8: (3, (15, 7), ['', '.', 'G', '%'], [(15, 8), (9, 6), (7, 9)], [False, False, False, True], 84, False, [False, True, False, False], 10202, 'South', (15, 6))
Element 9: (3, (15, 6), ['.', '.', '', '%'], [(15, 9), (8, 6), (6, 9)], [False, False, False, True], 82, False, [True, True, False, False], 10241, 'South', (15, 5))
Element 10: (3, (15, 5), ['.', '.', '', '%'], [(14, 9), (7, 6), (6, 8)], [False, False, False, True], 80, False, [True, True, False, False], 10280, 'South', (15, 4))
Element 11: (3, (15, 4), ['.', '.', '', '%'], [(13, 9), (6, 6), (6, 7)], [False, False, False, True], 78, False, [True, True, False, False], 10319, 'South', (15, 3))
Element 12: (3, (15, 3), ['.', '.', '', '%'], [(12, 9), (5, 6), (5, 7)], [False, False, False, True], 76, False, [True, True, False, False], 10358, 'South', (15, 2))
Element 13: (3, (15, 2), ['%', '%', '', '%'], [(13, 9), (4, 6), (5, 8)], [True, True, False, True], 74, False, [False, False, False, False], 10387, 'North', (15, 3))
Element 14: (3, (15, 3), ['.', '', '', '%'], [(14, 9), (4, 7), (5, 9)], [False, False, False, True], 72, False, [True, False, False, False], 10406, 'West', (14, 3))
Element 15: (3, (14, 3), ['.', '%', '.', ''], [(15, 9), (4, 8), (4, 9)], [False, True, False, False], 70, False, [True, False, True, False], 10435, 'North', (14, 4))
Element 16: (3, (14, 4), ['.', '', '.', ''], [(15, 8), (3, 8), (3, 9)], [False, False, False, False], 68, False, [True, False, True, False], 10464, 'North', (14, 5))
Element 17: (3, (14, 5), ['.', '', '.', ''], [(15, 7), (3, 7), (3, 8)], [False, False, False, False], 66, False, [True, False, True, False], 10483, 'North', (14, 6))
Element 18: (3, (14, 6), ['.', '', '', 'G'], [(15, 6), (3, 6), (4, 8)], [False, False, False, False], 64, False, [True, False, False, False], 10502, 'West', (13, 6))
Element 19: (3, (13, 6), ['.', '.', '', ''], [(15, 5), (3, 5), (4, 7)], [False, False, False, False], 62, False, [True, True, False, False], 10521, 'South', (13, 5))
Element 20: (3, (13, 5), ['', '.', '', ''], [(15, 4), (3, 4), (4, 6)], [False, False, False, False], 60, False, [False, True, False, False], 10540, 'South', (13, 4))
Element 21: (3, (13, 4), ['.', '.', '', ''], [(15, 3), (4, 4), (5, 6)], [False, False, False, False], 58, False, [True, True, False, False], 10559, 'South', (13, 3))
Element 22: (3, (13, 3), ['.', '.', '', ''], [(15, 2), (5, 4), (6, 6)], [False, False, False, False], 56, False, [True, True, False, False], 10578, 'South', (13, 2))
Element 23: (3, (13, 2), ['%', '.', '', '%'], [(15, 3), (6, 4), (7, 6)], [True, False, False, True], 54, False, [False, True, False, False], 10597, 'South', (13, 1))
Element 24: (3, (13, 1), ['.', '%', '', '.'], [(14, 3), (7, 4), (8, 6)], [False, True, False, False], 52, False, [True, False, False, True], 10616, 'East', (14, 1))
Element 25: (3, (14, 1), ['', '%', '%', '%'], [(14, 4), (8, 4), (9, 6)], [False, True, True, True], 50, False, [False, False, False, False], 10635, 'West', (13, 1))
Element 26: (3, (13, 1), ['.', '%', '', ''], [(14, 5), (9, 4), (10, 6)], [False, True, False, False], 48, False, [True, False, False, False], 10644, 'West', (12, 1))
Element 27: (3, (12, 1), ['.', '%', '%', ''], [(14, 6), (10, 4), (11, 6)], [False, True, True, False], 46, False, [True, False, False, False], 11653, 'West', (11, 1))
Element 28: (3, (11, 1), ['.', '%', '%', ''], [(14, 7), (11, 4), (12, 6)], [False, True, True, False], 44, False, [True, False, False, False], 12672, 'West', (10, 1))
Element 29: (3, (10, 1), ['.', '%', '.', ''], [(13, 7), (11, 3), (13, 6)], [False, True, False, False], 42, False, [True, False, True, False], 13681, 'North', (10, 2))
Element 30: #1#
