Element 1: (0, (7, 8), ['.', '.', 'G', '.'], [(7, 5), (7, 9), (13, 2)], [False, False, False, False], 98, False, [True, True, False, True], 0, 'East', (8, 8))
Element 2: (0, (8, 8), ['', '.', 'G', '.'], [(8, 5), (8, 9), (13, 3)], [False, False, False, False], 96, False, [False, True, False, True], 39, 'East', (9, 8))
Element 3: (0, (9, 8), ['', '.', 'G', 'F'], [(9, 5), (9, 9), (14, 3)], [False, False, False, False], 94, False, [False, True, False, False], 78, 'East', (10, 8))
Element 4: (0, (10, 8), ['', 'F', 'G', 'F'], [(10, 5), (10, 9), (15, 3)], [False, False, False, False], 92, False, [False, False, False, False], 3087, 'East', (11, 8))
Element 5: (0, (11, 8), ['', 'F', 'G', '.'], [(11, 5), (11, 9), (15, 4)], [False, False, False, False], 90, False, [False, False, False, True], 6096, 'South', (11, 7))
Element 6: (0, (11, 7), ['F', 'G', '', '.'], [(11, 6), (12, 9), (15, 5)], [False, False, False, False], 88, False, [False, False, False, True], 8115, 'West', (10, 7))
Element 7: (0, (10, 7), ['.', 'G', '', ''], [(10, 6), (13, 9), (15, 6)], [False, False, False, False], 86, False, [True, False, False, False], 10134, 'West', (9, 7))
Element 8: (0, (9, 7), ['.', 'G', '', ''], [(9, 6), (14, 9), (15, 7)], [False, False, False, False], 84, False, [True, False, False, False], 10173, 'West', (8, 7))
Element 9: (0, (8, 7), ['.', 'G', '', ''], [(8, 6), (15, 9), (15, 8)], [False, False, False, False], 82, False, [True, False, False, False], 10212, 'West', (7, 7))
Element 10: (0, (7, 7), ['.', 'G', '', ''], [(7, 6), (14, 9), (14, 8)], [False, False, False, False], 80, False, [True, False, False, False], 10241, 'West', (6, 7))
Element 11: (0, (6, 7), ['.', 'G', '.', ''], [(6, 6), (13, 9), (14, 7)], [False, False, False, False], 78, False, [True, False, True, False], 10270, 'North', (6, 8))
Element 12: (0, (6, 8), ['.', '', '.', ''], [(6, 5), (14, 9), (14, 6)], [False, False, False, False], 76, False, [True, False, True, False], 10299, 'North', (6, 9))
Element 13: (0, (6, 9), ['.', '', '%', ''], [(6, 4), (13, 9), (14, 5)], [False, False, True, False], 74, False, [True, False, False, False], 10328, 'West', (5, 9))
Element 14: (0, (5, 9), ['.', '.', '%', ''], [(7, 4), (13, 8), (14, 4)], [False, False, True, False], 72, False, [True, True, False, False], 10367, 'South', (5, 8))
Element 15: (0, (5, 8), ['.', '.', '', ''], [(8, 4), (13, 7), (13, 4)], [False, False, False, False], 70, False, [True, True, False, False], 10406, 'South', (5, 7))
Element 16: (0, (5, 7), ['.', '.', '', ''], [(9, 4), (13, 6), (13, 5)], [False, False, False, False], 68, False, [True, True, False, False], 10445, 'South', (5, 6))
Element 17: (0, (5, 6), ['.', '.', '', ''], [(10, 4), (12, 6), (12, 5)], [False, False, False, False], 66, False, [True, True, False, False], 11474, 'South', (5, 5))
Element 18: (0, (5, 5), ['.', '.', '', ''], [(11, 4), (12, 7), (12, 4)], [False, False, False, False], 64, False, [True, True, False, False], 12503, 'South', (5, 4))
Element 19: (0, (5, 4), ['.', '.', '', ''], [(11, 3), (12, 8), (12, 3)], [False, False, False, False], 62, False, [True, True, False, False], 13532, 'South', (5, 3))
Element 20: #1#
