Element 1: (1, (1, 5), ['%', '.', '.', '%'], [(15, 7), (5, 5), (5, 6)], [True, False, False, True], 98, False, [False, True, True, False], 9, 'North', (1, 6))
Element 2: (1, (1, 6), ['%', '', '.', '%'], [(15, 8), (6, 5), (6, 6)], [True, False, False, True], 96, False, [False, False, True, False], 48, 'North', (1, 7))
Element 3: (1, (1, 7), ['%', '', '.', '%'], [(15, 9), (7, 5), (7, 6)], [True, False, False, True], 94, False, [False, False, True, False], 87, 'North', (1, 8))
Element 4: (1, (1, 8), ['%', '', '.', '%'], [(14, 9), (8, 5), (8, 6)], [True, False, False, True], 92, False, [False, False, True, False], 126, 'North', (1, 9))
Element 5: (1, (1, 9), ['%', '', '%', '%'], [(14, 8), (9, 5), (9, 6)], [True, False, True, True], 90, False, [False, False, False, False], 165, 'South', (1, 8))
Element 6: (1, (1, 8), ['%', '', '', '%'], [(13, 8), (10, 5), (10, 6)], [True, False, False, True], 88, False, [False, False, False, False], 2174, 'South', (1, 7))
Element 7: (1, (1, 7), ['%', '', '', '%'], [(13, 9), (11, 5), (11, 6)], [True, False, False, True], 86, False, [False, False, False, False], 4183, 'South', (1, 6))
Element 8: (1, (1, 6), ['%', '', '', '%'], [(12, 9), (11, 4), (11, 7)], [True, False, False, True], 84, False, [False, False, False, False], 6192, 'South', (1, 5))
Element 9: (1, (1, 5), ['%', '.', '', '%'], [(11, 9), (11, 3), (11, 8)], [True, False, False, True], 82, False, [False, True, False, False], 9191, 'South', (1, 4))
Element 10: (1, (1, 4), ['%', '.', '', '%'], [(10, 9), (10, 3), (10, 8)], [True, False, False, True], 80, False, [False, True, False, False], 12200, 'South', (1, 3))
Element 11: #1#
