Element 1: (0, (14, 1), ['.', '%', '%', '%'], [(5, 4), (8, 1), (16, 1)], [False, True, True, True], 98, False, [True, False, False, False], 0, 'West', (13, 1))
Element 2: (0, (13, 1), ['.', '%', '.', ''], [(6, 4), (9, 1), (17, 1)], [False, True, False, False], 96, False, [True, False, True, False], 39, 'North', (13, 2))
Element 3: (0, (13, 2), ['%', '', '.', '%'], [(7, 4), (10, 1), (18, 1)], [True, False, False, True], 94, False, [False, False, True, False], 78, 'North', (13, 3))
Element 4: (0, (13, 3), ['.', '', '.', '.'], [(8, 4), (11, 1), (17, 1)], [False, False, False, False], 92, False, [True, False, True, True], 107, 'East', (14, 3))
Element 5: (0, (14, 3), ['', '%', '.', '.'], [(9, 4), (12, 1), (16, 1)], [False, True, False, False], 90, False, [False, False, True, True], 136, 'East', (15, 3))
Element 6: (0, (15, 3), ['', '.', '.', '%'], [(10, 4), (13, 1), (16, 1)], [False, False, False, True], 88, False, [False, True, True, False], 1145, 'North', (15, 4))
Element 7: (0, (15, 4), ['.', '', '.', '%'], [(11, 4), (14, 1), (17, 1)], [False, False, False, True], 86, False, [True, False, True, False], 2154, 'North', (15, 5))
Element 8: (0, (15, 5), ['.', '', '.', '%'], [(11, 5), (13, 1), (18, 1)], [False, False, False, True], 84, False, [True, False, True, False], 3163, 'North', (15, 6))
Element 9: (0, (15, 6), ['.', '', '.', '%'], [(11, 6), (13, 2), (17, 1)], [False, False, False, True], 82, False, [True, False, True, False], 4172, 'North', (15, 7))
Element 10: (0, (15, 7), ['.', '', '.', '%'], [(11, 7), (13, 3), (16, 1)], [False, False, False, True], 80, False, [True, False, True, False], 5181, 'North', (15, 8))
Element 11: (0, (15, 8), ['.', '', '.', '%'], [(11, 8), (13, 4), (16, 1)], [False, False, False, True], 78, False, [True, False, True, False], 6200, 'North', (15, 9))
Element 12: (0, (15, 9), ['.', '', '%', '%'], [(11, 9), (14, 4), (17, 1)], [False, False, True, True], 76, False, [True, False, False, False], 7219, 'West', (14, 9))
Element 13: (0, (14, 9), ['.', '.', '%', ''], [(10, 9), (14, 5), (18, 1)], [False, False, True, False], 74, False, [True, True, False, False], 8238, 'South', (14, 8))
Element 14: (0, (14, 8), ['.', '.', '', ''], [(10, 8), (14, 6), (17, 1)], [False, False, False, False], 72, False, [True, True, False, False], 9257, 'South', (14, 7))
Element 15: (0, (14, 7), ['.', '', '', ''], [(10, 7), (13, 6), (16, 1)], [False, False, False, False], 70, False, [True, False, False, False], 10276, 'West', (13, 7))
Element 16: (0, (13, 7), ['.', '', '.', ''], [(10, 6), (13, 5), (16, 1)], [False, False, False, False], 68, False, [True, False, True, False], 11295, 'North', (13, 8))
Element 17: (0, (13, 8), ['.', '', '.', ''], [(10, 5), (12, 5), (17, 1)], [False, False, False, False], 66, False, [True, False, True, False], 12314, 'North', (13, 9))
Element 18: (0, (13, 9), ['.', '', '%', ''], [(9, 5), (12, 6), (18, 1)], [False, False, True, False], 64, False, [True, False, False, False], 12343, 'West', (12, 9))
Element 19: (0, (12, 9), ['', '.', '%', ''], [(9, 6), (12, 7), (17, 1)], [False, False, True, False], 62, False, [False, True, False, False], 12372, 'South', (12, 8))
Element 20: (0, (12, 8), ['', '', '', ''], [(9, 7), (13, 7), (16, 1)], [False, False, False, False], 60, False, [False, False, False, False], 12391, 'South', (12, 7))
Element 21: (0, (12, 7), ['', '', '', ''], [(9, 8), (14, 7), (16, 1)], [False, False, False, False], 58, False, [False, False, False, False], 12400, 'South', (12, 6))
Element 22: (0, (12, 6), ['', '', '', ''], [(9, 9), (15, 7), (17, 1)], [False, False, False, False], 56, False, [False, False, False, False], 12409, 'East', (13, 6))
Element 23: (0, (13, 6), ['', '', '', ''], [(8, 9), (15, 8), (18, 1)], [False, False, False, False], 54, False, [False, False, False, False], 12418, 'East', (14, 6))
Element 24: (0, (14, 6), ['', '', '', ''], [(8, 8), (15, 9), (17, 1)], [False, False, False, False], 52, False, [False, False, False, False], 12427, 'South', (14, 5))
Element 25: (0, (14, 5), ['', '', '', ''], [(8, 7), (14, 9), (16, 1)], [False, False, False, False], 50, False, [False, False, False, False], 12436, 'South', (14, 4))
Element 26: (0, (14, 4), ['', '', '', ''], [(8, 6), (14, 8), (16, 1)], [False, False, False, False], 48, False, [False, False, False, False], 12445, 'West', (13, 4))
Element 27: (0, (13, 4), ['.', '', '', ''], [(8, 5), (13, 8), (17, 1)], [False, False, False, False], 46, False, [True, False, False, False], 12454, 'West', (12, 4))
Element 28: (0, (12, 4), ['', '.', '', ''], [(7, 5), (13, 9), (18, 1)], [False, False, False, False], 44, False, [False, True, False, False], 12473, 'South', (12, 3))
Element 29: (0, (12, 3), ['F', '%', '', ''], [(7, 6), (12, 9), (17, 1)], [False, True, False, False], 42, False, [False, False, False, False], 12492, 'West', (11, 3))
Element 30: (0, (11, 3), ['F', '%', '', ''], [(7, 7), (12, 8), (16, 1)], [False, True, False, False], 40, False, [False, False, False, False], 13501, 'West', (10, 3))
Element 31: #1#
