Element 1: (3, (5, 7), ['.', '.', '.', '.'], [(12, 1), (4, 5), (4, 9)], [False, False, False, False], 98, False, [True, True, True, True], 29, 'East', (6, 7))
Element 2: (3, (6, 7), ['', '.', '.', '.'], [(13, 1), (5, 5), (5, 9)], [False, False, False, False], 96, False, [False, True, True, True], 68, 'East', (7, 7))
Element 3: (3, (7, 7), ['', '.', '.', '.'], [(14, 1), (6, 5), (6, 9)], [False, False, False, False], 94, False, [False, True, True, True], 107, 'East', (8, 7))
Element 4: (3, (8, 7), ['', '.', '.', '.'], [(13, 1), (7, 5), (7, 9)], [False, False, False, False], 92, False, [False, True, True, True], 136, 'East', (9, 7))
Element 5: (3, (9, 7), ['', '.', '.', 'F'], [(13, 2), (8, 5), (8, 9)], [False, False, False, False], 90, False, [False, True, True, False], 175, 'East', (10, 7))
Element 6: (3, (10, 7), ['', 'F', 'F', 'F'], [(13, 3), (9, 5), (9, 9)], [False, False, False, False], 88, False, [False, False, False, False], 1204, 'East', (11, 7))
Element 7: (3, (11, 7), ['', 'F', 'F', '.'], [(14, 3), (10, 5), (10, 9)], [False, False, False, False], 86, False, [False, False, False, True], 4213, 'North', (11, 8))
Element 8: (3, (11, 8), ['F', '', 'G', '.'], [(15, 3), (11, 5), (11, 9)], [False, False, False, False], 84, False, [False, False, False, True], 7222, 'West', (10, 8))
Element 9: (3, (10, 8), ['.', '', '', ''], [(15, 4), (11, 6), (12, 9)], [False, False, False, False], 82, False, [True, False, False, False], 9241, 'West', (9, 8))
Element 10: (3, (9, 8), ['.', '', '', ''], [(15, 5), (10, 6), (13, 9)], [False, False, False, False], 80, False, [True, False, False, False], 10270, 'West', (8, 8))
Element 11: (3, (8, 8), ['.', '', '', ''], [(15, 6), (9, 6), (14, 9)], [False, False, False, False], 78, False, [True, False, False, False], 10309, 'West', (7, 8))
Element 12: (3, (7, 8), ['.', '', '', ''], [(15, 7), (8, 6), (15, 9)], [False, False, False, False], 76, False, [True, False, False, False], 10348, 'West', (6, 8))
Element 13: (3, (6, 8), ['.', '', '', ''], [(15, 8), (7, 6), (14, 9)], [False, False, False, False], 74, False, [True, False, False, False], 10377, 'West', (5, 8))
Element 14: (3, (5, 8), ['.', '', '', ''], [(14, 8), (6, 6), (13, 9)], [False, False, False, False], 72, False, [True, False, False, False], 10406, 'West', (4, 8))
Element 15: (3, (4, 8), ['.', '.', '', ''], [(14, 7), (5, 6), (14, 9)], [False, False, False, False], 70, False, [True, True, False, False], 10435, 'South', (4, 7))
Element 16: (3, (4, 7), ['.', 'G', '', ''], [(14, 6), (4, 6), (13, 9)], [False, False, False, False], 68, False, [True, False, False, False], 10464, 'West', (3, 7))
Element 17: (3, (3, 7), ['%', 'G', '.', ''], [(14, 5), (3, 6), (13, 8)], [True, False, False, False], 66, False, [False, False, True, False], 10503, 'North', (3, 8))
Element 18: (3, (3, 8), ['%', 'G', '', ''], [(14, 4), (3, 7), (13, 7)], [True, False, False, False], 64, False, [False, False, False, False], 10532, 'North', (3, 9))
Element 19: (3, (3, 9), ['%', '', '%', ''], [(13, 4), (4, 7), (13, 6)], [True, False, True, False], 62, False, [False, False, False, False], 10551, 'East', (4, 9))
Element 20: (3, (4, 9), ['', '', '%', ''], [(13, 5), (5, 7), (12, 6)], [False, False, True, False], 60, False, [False, False, False, False], 10570, 'East', (5, 9))
Element 21: (3, (5, 9), ['', '', '%', ''], [(12, 5), (6, 7), (12, 7)], [False, False, True, False], 58, False, [False, False, False, False], 10589, 'East', (6, 9))
Element 22: (3, (6, 9), ['', '', '%', ''], [(12, 4), (7, 7), (12, 8)], [False, False, True, False], 56, False, [False, False, False, False], 10608, 'East', (7, 9))
Element 23: (3, (7, 9), ['', '', '%', ''], [(11, 4), (8, 7), (11, 8)], [False, False, True, False], 54, False, [False, False, False, False], 11607, 'East', (8, 9))
Element 24: (3, (8, 9), ['', '', '%', ''], [(11, 3), (9, 7), (11, 7)], [False, False, True, False], 52, False, [False, False, False, False], 12606, 'East', (9, 9))
Element 25: (3, (9, 9), ['', '', '%', ''], [(10, 3), (10, 7), (11, 6)], [False, False, True, False], 50, False, [False, False, False, False], 13605, 'East', (10, 9))
Element 26: #1#
