Element 1: (1, (3, 7), ['%', '.', '.', '.'], [(1, 3), (7, 7), (13, 9)], [True, False, False, False], 98, False, [False, True, True, True], 9, 'East', (4, 7))
Element 2: (1, (4, 7), ['', '.', '.', '.'], [(1, 4), (8, 7), (14, 9)], [False, False, False, False], 96, False, [False, True, True, True], 48, 'East', (5, 7))
Element 3: (1, (5, 7), ['', '.', '.', '.'], [(1, 5), (9, 7), (15, 9)], [False, False, False, False], 94, False, [False, True, True, True], 87, 'East', (6, 7))
Element 4: (1, (6, 7), ['', '.', '.', ''], [(1, 6), (10, 7), (15, 8)], [False, False, False, False], 92, False, [False, True, True, False], 1116, 'North', (6, 8))
Element 5: (1, (6, 8), ['.', '', '.', '.'], [(1, 7), (11, 7), (15, 7)], [False, False, False, False], 90, False, [True, False, True, True], 2145, 'East', (7, 8))
Element 6: (1, (7, 8), ['', '', '.', '.'], [(1, 8), (11, 8), (15, 6)], [False, False, False, False], 88, False, [False, False, True, True], 3174, 'East', (8, 8))
Element 7: (1, (8, 8), ['', '', '.', '.'], [(1, 9), (11, 9), (15, 5)], [False, False, False, False], 86, False, [False, False, True, True], 4203, 'East', (9, 8))
Element 8: (1, (9, 8), ['', '', '.', 'F'], [(1, 8), (10, 9), (15, 4)], [False, False, False, False], 84, False, [False, False, True, False], 5222, 'East', (10, 8))
Element 9: (1, (10, 8), ['', '', '', ''], [(1, 7), (9, 9), (15, 3)], [False, False, False, False], 82, False, [False, False, False, False], 6241, 'East', (11, 8))
Element 10: (1, (11, 8), ['', '', '', '.'], [(1, 6), (8, 9), (15, 2)], [False, False, False, False], 80, False, [False, False, False, True], 6260, 'East', (12, 8))
Element 11: (1, (12, 8), ['', '.', '.', '.'], [(1, 5), (7, 9), (15, 3)], [False, False, False, False], 78, False, [False, True, True, True], 6279, 'East', (13, 8))
Element 12: (1, (13, 8), ['', '.', '', '.'], [(1, 4), (6, 9), (14, 3)], [False, False, False, False], 76, False, [False, True, False, True], 6308, 'East', (14, 8))
Element 13: (1, (14, 8), ['', '.', '', ''], [(1, 3), (5, 9), (14, 4)], [False, False, False, False], 74, False, [False, True, False, False], 6337, 'South', (14, 7))
Element 14: (1, (14, 7), ['.', '.', '', ''], [(1, 2), (5, 8), (14, 5)], [False, False, False, False], 72, False, [True, True, False, False], 6366, 'South', (14, 6))
Element 15: (1, (14, 6), ['.', '', '', ''], [(1, 1), (4, 8), (13, 5)], [False, False, False, False], 70, False, [True, False, False, False], 6405, 'West', (13, 6))
Element 16: (1, (13, 6), ['.', '', '.', ''], [(2, 1), (4, 9), (13, 4)], [False, False, False, False], 68, False, [True, False, True, False], 6444, 'North', (13, 7))
Element 17: (1, (13, 7), ['.', '', '', ''], [(3, 1), (3, 9), (13, 3)], [False, False, False, False], 66, False, [True, False, False, False], 6483, 'West', (12, 7))
Element 18: (1, (12, 7), ['', '.', '', ''], [(4, 1), (3, 8), (13, 2)], [False, False, False, False], 64, False, [False, True, False, False], 6522, 'South', (12, 6))
Element 19: (1, (12, 6), ['F', '.', '', ''], [(4, 2), (3, 7), (13, 1)], [False, False, False, False], 62, False, [False, True, False, False], 6551, 'West', (11, 6))
Element 20: (1, (11, 6), ['F', 'F', '', ''], [(4, 3), (3, 6), (14, 1)], [False, False, False, False], 60, False, [False, False, False, False], 7580, 'South', (11, 5))
Element 21: (1, (11, 5), ['F', 'F', '', '.'], [(5, 3), (4, 6), (13, 1)], [False, False, False, False], 58, False, [False, False, False, True], 8599, 'South', (11, 4))
Element 22: (1, (11, 4), ['F', 'F', '', '.'], [(6, 3), (5, 6), (12, 1)], [False, False, False, False], 56, False, [False, False, False, True], 9628, 'South', (11, 3))
Element 23: (1, (11, 3), ['F', '%', '', '.'], [(7, 3), (6, 6), (11, 1)], [False, True, False, False], 54, False, [False, False, False, True], 10657, 'West', (10, 3))
Element 24: (1, (10, 3), ['.', '.', 'F', ''], [(8, 3), (7, 6), (10, 1)], [False, False, False, False], 52, False, [True, True, False, False], 11686, 'North', (10, 4))
Element 25: (1, (10, 4), ['.', '', 'F', ''], [(9, 3), (8, 6), (10, 2)], [False, False, False, False], 50, False, [True, False, False, False], 12715, 'North', (10, 5))
Element 26: (1, (10, 5), ['.', '', 'F', ''], [(9, 4), (9, 6), (9, 2)], [False, False, False, False], 48, False, [True, False, False, False], 13744, 'North', (10, 6))
Element 27: #1#
