Element 1: (0, (16, 1), ['%', '%', '%', '.'], [(11, 1), (13, 2), (15, 2)], [True, True, True, False], 98, False, [False, False, False, True], 0, 'East', (17, 1))
Element 2: (0, (17, 1), ['', '%', '%', '.'], [(12, 1), (13, 3), (15, 3)], [False, True, True, False], 96, False, [False, False, False, True], 39, 'East', (18, 1))
Element 3: (0, (18, 1), ['', '%', '%', '%'], [(13, 1), (14, 3), (15, 4)], [False, True, True, True], 94, False, [False, False, False, False], 78, 'West', (17, 1))
Element 4: (0, (17, 1), ['', '%', '%', ''], [(14, 1), (14, 4), (15, 5)], [False, True, True, False], 92, False, [False, False, False, False], 107, 'West', (16, 1))
Element 5: (0, (16, 1), ['%', '%', '%', ''], [(13, 1), (14, 5), (15, 6)], [True, True, True, False], 90, False, [False, False, False, False], 126, 'Stop', (16, 1))
Element 6: (0, (16, 1), ['%', '%', '%', ''], [(13, 2), (14, 6), (15, 7)], [True, True, True, False], 88, False, [False, False, False, False], 145, 'East', (17, 1))
Element 7: (0, (17, 1), ['', '%', '%', ''], [(13, 3), (14, 7), (15, 8)], [False, True, True, False], 86, False, [False, False, False, False], 164, 'East', (18, 1))
Element 8: (0, (18, 1), ['', '%', '%', '%'], [(13, 4), (14, 8), (15, 9)], [False, True, True, True], 84, False, [False, False, False, False], 193, 'West', (17, 1))
Element 9: (0, (17, 1), ['', '%', '%', ''], [(13, 5), (14, 9), (15, 8)], [False, True, True, False], 82, False, [False, False, False, False], 212, 'West', (16, 1))
Element 10: (0, (16, 1), ['%', '%', '%', ''], [(13, 6), (13, 9), (15, 7)], [True, True, True, False], 80, False, [False, False, False, False], 231, 'Stop', (16, 1))
Element 11: (0, (16, 1), ['%', '%', '%', ''], [(13, 7), (13, 8), (15, 6)], [True, True, True, False], 78, False, [False, False, False, False], 250, 'East', (17, 1))
Element 12: (0, (17, 1), ['', '%', '%', ''], [(12, 7), (12, 8), (15, 5)], [False, True, True, False], 76, False, [False, False, False, False], 269, 'East', (18, 1))
Element 13: (0, (18, 1), ['', '%', '%', '%'], [(11, 7), (11, 8), (15, 4)], [False, True, True, True], 74, False, [False, False, False, False], 2268, 'West', (17, 1))
Element 14: (0, (17, 1), ['', '%', '%', ''], [(11, 6), (11, 9), (15, 3)], [False, True, True, False], 72, False, [False, False, False, False], 4267, 'West', (16, 1))
Element 15: (0, (16, 1), ['%', '%', '%', ''], [(11, 5), (10, 9), (15, 2)], [True, True, True, False], 70, False, [False, False, False, False], 6266, 'Stop', (16, 1))
Element 16: (0, (16, 1), ['%', '%', '%', ''], [(11, 4), (10, 8), (15, 2)], [True, True, True, False], 68, False, [False, False, False, False], 8265, 'East', (17, 1))
Element 17: (0, (17, 1), ['', '%', '%', ''], [(11, 3), (10, 7), (15, 3)], [False, True, True, False], 66, False, [False, False, False, False], 10264, 'East', (18, 1))
Element 18: (0, (18, 1), ['', '%', '%', '%'], [(10, 3), (10, 6), (15, 4)], [False, True, True, True], 64, False, [False, False, False, False], 12263, 'West', (17, 1))
Element 19: #1#
