Element 1: (0, (14, 9), ['.', '.', '%', '.'], [(1, 3), (6, 7), (8, 4)], [False, False, True, False], 98, False, [True, True, False, True], 0, 'East', (15, 9))
Element 2: (0, (15, 9), ['', '.', '%', '%'], [(1, 4), (7, 7), (9, 4)], [False, False, True, True], 96, False, [False, True, False, False], 39, 'South', (15, 8))
Element 3: (0, (15, 8), ['.', '.', '', '%'], [(1, 5), (8, 7), (10, 4)], [False, False, False, True], 94, False, [True, True, False, False], 1068, 'South', (15, 7))
Element 4: (0, (15, 7), ['.', '.', '', '%'], [(1, 6), (9, 7), (11, 4)], [False, False, False, True], 92, False, [True, True, False, False], 2097, 'South', (15, 6))
Element 5: (0, (15, 6), ['.', '.', '', '%'], [(1, 7), (10, 7), (11, 5)], [False, False, False, True], 90, False, [True, True, False, False], 4116, 'South', (15, 5))
Element 6: (0, (15, 5), ['.', '.', '', '%'], [(1, 8), (11, 7), (11, 6)], [False, False, False, True], 88, False, [True, True, False, False], 6135, 'South', (15, 4))
Element 7: (0, (15, 4), ['.', '.', '', '%'], [(1, 9), (11, 8), (10, 6)], [False, False, False, True], 86, False, [True, True, False, False], 8154, 'South', (15, 3))
Element 8: (0, (15, 3), ['.', '.', '', '%'], [(1, 8), (11, 9), (10, 5)], [False, False, False, True], 84, False, [True, True, False, False], 10163, 'South', (15, 2))
Element 9: (0, (15, 2), ['%', '%', '', '%'], [(1, 7), (10, 9), (9, 5)], [True, True, False, True], 82, False, [False, False, False, False], 11182, 'North', (15, 3))
Element 10: (0, (15, 3), ['.', '', '', '%'], [(1, 6), (10, 8), (9, 6)], [False, False, False, True], 80, False, [True, False, False, False], 12191, 'West', (14, 3))
Element 11: (0, (14, 3), ['.', '%', '.', ''], [(1, 5), (9, 8), (8, 6)], [False, True, False, False], 78, False, [True, False, True, False], 12220, 'North', (14, 4))
Element 12: (0, (14, 4), ['.', '', '.', ''], [(1, 4), (9, 9), (8, 5)], [False, False, False, False], 76, False, [True, False, True, False], 12249, 'North', (14, 5))
Element 13: (0, (14, 5), ['.', '', '.', ''], [(1, 3), (8, 9), (7, 5)], [False, False, False, False], 74, False, [True, False, True, False], 12278, 'North', (14, 6))
Element 14: (0, (14, 6), ['.', '', '.', ''], [(1, 2), (8, 8), (7, 6)], [False, False, False, False], 72, False, [True, False, True, False], 12317, 'North', (14, 7))
Element 15: (0, (14, 7), ['.', '', '.', ''], [(1, 1), (7, 8), (6, 6)], [False, False, False, False], 70, False, [True, False, True, False], 12356, 'North', (14, 8))
Element 16: (0, (14, 8), ['.', '', '', ''], [(2, 1), (7, 9), (6, 5)], [False, False, False, False], 68, False, [True, False, False, False], 12395, 'West', (13, 8))
Element 17: (0, (13, 8), ['.', '.', '.', ''], [(3, 1), (6, 9), (6, 4)], [False, False, False, False], 66, False, [True, True, True, False], 12434, 'North', (13, 9))
Element 18: (0, (13, 9), ['.', '', '%', ''], [(4, 1), (6, 8), (7, 4)], [False, False, True, False], 64, False, [True, False, False, False], 12473, 'West', (12, 9))
Element 19: (0, (12, 9), ['', '.', '%', ''], [(4, 2), (5, 8), (7, 3)], [False, False, True, False], 62, False, [False, True, False, False], 12512, 'South', (12, 8))
Element 20: (0, (12, 8), ['', '.', '', ''], [(4, 3), (5, 9), (8, 3)], [False, False, False, False], 60, False, [False, True, False, False], 12551, 'South', (12, 7))
Element 21: (0, (12, 7), ['', '.', '', '.'], [(5, 3), (4, 9), (9, 3)], [False, False, False, False], 58, False, [False, True, False, True], 12590, 'East', (13, 7))
Element 22: (0, (13, 7), ['', '.', '', ''], [(6, 3), (4, 8), (10, 3)], [False, False, False, False], 56, False, [False, True, False, False], 13619, 'South', (13, 6))
Element 23: #1#
