Element 1: (0, (9, 8), ['.', '.', '%', 'F'], [(7, 11), (17, 3), (17, 6)], [False, False, True, False], 98, False, [True, True, False, False], 0, 'East', (10, 8))
Element 2: (0, (10, 8), ['', '.', '%', '.'], [(8, 11), (18, 3), (18, 6)], [False, False, True, False], 96, False, [False, True, False, True], 1029, 'East', (11, 8))
Element 3: (0, (11, 8), ['', '%', '.', '.'], [(9, 11), (18, 4), (18, 5)], [False, True, False, False], 94, False, [False, False, True, True], 1068, 'East', (12, 8))
Element 4: (0, (12, 8), ['', '.', '.', '.'], [(10, 11), (17, 4), (17, 5)], [False, False, False, False], 92, False, [False, True, True, True], 1107, 'East', (13, 8))
Element 5: (0, (13, 8), ['', '.', '%', '%'], [(11, 11), (16, 4), (16, 5)], [False, False, True, True], 90, False, [False, True, False, False], 1146, 'South', (13, 7))
Element 6: (0, (13, 7), ['.', '%', '', '.'], [(12, 11), (16, 3), (15, 5)], [False, True, False, False], 88, False, [True, False, False, True], 1185, 'East', (14, 7))
Element 7: (0, (14, 7), ['', '%', '%', '.'], [(13, 11), (15, 3), (15, 4)], [False, True, True, False], 86, False, [False, False, False, True], 1224, 'East', (15, 7))
Element 8: (0, (15, 7), ['', '%', '.', '.'], [(14, 11), (14, 3), (14, 4)], [False, True, False, False], 84, False, [False, False, True, True], 1263, 'East', (16, 7))
Element 9: (0, (16, 7), ['', '%', '.', '.'], [(15, 11), (13, 3), (14, 5)], [False, True, False, False], 82, False, [False, False, True, True], 1302, 'East', (17, 7))
Element 10: (0, (17, 7), ['', '', '.', '%'], [(15, 12), (13, 4), (13, 5)], [False, False, False, True], 80, False, [False, False, True, False], 1341, 'North', (17, 8))
Element 11: (0, (17, 8), ['.', '', '.', '%'], [(15, 13), (14, 4), (13, 4)], [False, False, False, True], 78, False, [True, False, True, False], 1360, 'North', (17, 9))
Element 12: (0, (17, 9), ['.', '', '.', '%'], [(16, 13), (15, 4), (13, 3)], [False, False, False, True], 76, False, [True, False, True, False], 1379, 'North', (17, 10))
Element 13: (0, (17, 10), ['.', '', '.', '.'], [(17, 13), (15, 5), (13, 2)], [False, False, False, False], 74, False, [True, False, True, True], 1408, 'East', (18, 10))
Element 14: (0, (18, 10), ['', '%', '.', '%'], [(18, 13), (16, 5), (12, 2)], [False, True, False, True], 72, False, [False, False, True, False], 1437, 'North', (18, 11))
Element 15: (0, (18, 11), ['.', '', '%', '%'], [(17, 13), (17, 5), (12, 3)], [False, False, True, True], 70, False, [True, False, False, False], 1456, 'West', (17, 11))
Element 16: (0, (17, 11), ['%', '', '%', ''], [(16, 13), (18, 5), (11, 3)], [True, False, True, False], 68, False, [False, False, False, False], 1475, 'East', (18, 11))
Element 17: (0, (18, 11), ['', '', '%', '%'], [(15, 13), (18, 6), (11, 4)], [False, False, True, True], 66, False, [False, False, False, False], 1484, 'South', (18, 10))
Element 18: (0, (18, 10), ['', '%', '', '%'], [(15, 12), (17, 6), (11, 5)], [False, True, False, True], 64, False, [False, False, False, False], 1493, 'West', (17, 10))
Element 19: (0, (17, 10), ['.', '', '', ''], [(14, 12), (17, 7), (11, 6)], [False, False, False, False], 62, False, [True, False, False, False], 1512, 'North', (17, 11))
Element 20: (0, (17, 11), ['%', '', '%', ''], [(13, 12), (17, 8), (12, 6)], [True, False, True, False], 60, False, [False, False, False, False], 1531, 'South', (17, 10))
Element 21: (0, (17, 10), ['.', '', '', ''], [(13, 13), (16, 8), (12, 7)], [False, False, False, False], 58, False, [True, False, False, False], 1560, 'West', (16, 10))
Element 22: (0, (16, 10), ['.', 'G', '%', ''], [(12, 13), (16, 9), (13, 7)], [False, False, True, False], 56, False, [True, False, False, False], 1589, 'West', (15, 10))
Element 23: (0, (15, 10), ['%', 'G', '', ''], [(12, 12), (15, 9), (14, 7)], [True, False, False, False], 54, False, [False, False, False, False], 1618, 'North', (15, 11))
Element 24: (0, (15, 11), ['', '', '', '%'], [(12, 13), (15, 8), (15, 7)], [False, False, False, True], 52, False, [False, False, False, False], 1627, 'North', (15, 12))
Element 25: (0, (15, 12), ['', '', '', '%'], [(11, 13), (15, 9), (16, 7)], [False, False, False, True], 50, False, [False, False, False, False], 1636, 'North', (15, 13))
Element 26: (0, (15, 13), ['%', '', '%', ''], [(12, 13), (14, 9), (17, 7)], [True, False, True, False], 48, False, [False, False, False, False], 1645, 'East', (16, 13))
Element 27: (0, (16, 13), ['', '%', '%', ''], [(13, 13), (15, 9), (17, 8)], [False, True, True, False], 46, False, [False, False, False, False], 1644, 'East', (17, 13))
Element 28: (0, (17, 13), ['', '%', '%', ''], [(13, 12), (15, 10), (17, 9)], [False, True, True, False], 44, False, [False, False, False, False], 1643, 'East', (18, 13))
Element 29: (0, (18, 13), ['', '%', '%', '%'], [(12, 12), (16, 10), (17, 10)], [False, True, True, True], 42, False, [False, False, False, False], 1642, 'West', (17, 13))
Element 30: (0, (17, 13), ['', '%', '%', ''], [(13, 12), (15, 10), (18, 10)], [False, True, True, False], 40, False, [False, False, False, False], 1641, 'West', (16, 13))
Element 31: (0, (16, 13), ['', '%', '%', ''], [(14, 12), (15, 11), (18, 11)], [False, True, True, False], 38, False, [False, False, False, False], 1640, 'West', (15, 13))
Element 32: (0, (15, 13), ['%', 'G', '%', ''], [(15, 12), (14, 11), (17, 11)], [True, False, True, False], 36, False, [False, False, False, False], 1639, 'East', (16, 13))
Element 33: (0, (16, 13), ['', '%', '%', ''], [(15, 11), (14, 12), (18, 11)], [False, True, True, False], 34, False, [False, False, False, False], 1638, 'West', (15, 13))
Element 34: (0, (15, 13), ['%', 'G', '%', ''], [(15, 10), (15, 12), (18, 10)], [True, False, True, False], 32, False, [False, False, False, False], 1637, 'East', (16, 13))
Element 35: (0, (16, 13), ['G', '%', '%', ''], [(16, 10), (15, 13), (17, 10)], [False, True, True, False], 30, False, [False, False, False, False], 1636, 'Stop', (16, 13))
Element 36: (0, (16, 13), ['', '%', '%', ''], [(16, 9), (15, 12), (17, 11)], [False, True, True, False], 28, False, [False, False, False, False], 1635, 'Stop', (16, 13))
Element 37: (0, (16, 13), ['', '%', '%', ''], [(17, 9), (14, 12), (17, 10)], [False, True, True, False], 26, False, [False, False, False, False], 1634, 'Stop', (16, 13))
Element 38: (0, (16, 13), ['', '%', '%', ''], [(17, 8), (13, 12), (16, 10)], [False, True, True, False], 24, False, [False, False, False, False], 1633, 'Stop', (16, 13))
Element 39: (0, (16, 13), ['', '%', '%', ''], [(17, 7), (13, 13), (16, 9)], [False, True, True, False], 22, False, [False, False, False, False], 1632, 'Stop', (16, 13))
Element 40: (0, (16, 13), ['', '%', '%', ''], [(17, 6), (12, 13), (16, 8)], [False, True, True, False], 20, False, [False, False, False, False], 1631, 'Stop', (16, 13))
Element 41: (0, (16, 13), ['', '%', '%', ''], [(18, 6), (12, 12), (15, 8)], [False, True, True, False], 18, False, [False, False, False, False], 1630, 'Stop', (16, 13))
Element 42: (0, (16, 13), ['', '%', '%', ''], [(18, 5), (12, 11), (15, 9)], [False, True, True, False], 16, False, [False, False, False, False], 1629, 'Stop', (16, 13))
Element 43: (0, (16, 13), ['', '%', '%', ''], [(18, 4), (13, 11), (15, 10)], [False, True, True, False], 14, False, [False, False, False, False], 1628, 'Stop', (16, 13))
Element 44: (0, (16, 13), ['', '%', '%', ''], [(18, 3), (12, 11), (15, 11)], [False, True, True, False], 12, False, [False, False, False, False], 1627, 'Stop', (16, 13))
Element 45: (0, (16, 13), ['', '%', '%', ''], [(18, 2), (11, 11), (15, 12)], [False, True, True, False], 10, False, [False, False, False, False], 1636, 'Stop', (16, 13))
Element 46: (0, (16, 13), ['G', '%', '%', ''], [(18, 1), (10, 11), (15, 13)], [False, True, True, False], 8, False, [False, False, False, False], 1645, 'Stop', (16, 13))
Element 47: (0, (16, 13), ['', '%', '%', ''], [(17, 1), (10, 12), (15, 12)], [False, True, True, False], 6, False, [False, False, False, False], 1664, 'Stop', (16, 13))
Element 48: (0, (16, 13), ['', '%', '%', ''], [(16, 1), (9, 12), (14, 12)], [False, True, True, False], 4, False, [False, False, False, False], 2673, 'Stop', (16, 13))
