Element 39: (1, (18, 1), ['.', '%', '', '%'], [(4, 8), (14, 4), (13, 11)], [False, True, False, True], 22, False, [True, False, False, False], 1941, 'West', (17, 1))
Element 40: (1, (17, 1), ['F', '%', '', ''], [(3, 8), (15, 4), (13, 12)], [False, True, False, False], 20, False, [False, False, False, False], 1970, 'West', (16, 1))
Element 41: (1, (16, 1), ['%', '%', '%', ''], [(4, 8), (15, 5), (13, 13)], [True, True, True, False], 18, False, [False, False, False, False], 2979, 'East', (17, 1))
Element 42: (1, (17, 1), ['', '%', '', ''], [(4, 7), (14, 5), (12, 13)], [False, True, False, False], 16, False, [False, False, False, False], 2988, 'East', (18, 1))
Element 43: (1, (18, 1), ['', '%', '', '%'], [(5, 7), (15, 5), (12, 12)], [False, True, False, True], 14, False, [False, False, False, False], 2997, 'North', (18, 2))
Element 44: (1, (18, 2), ['', '', '', '%'], [(5, 6), (16, 5), (12, 11)], [False, False, False, True], 12, False, [False, False, False, False], 3006, 'North', (18, 3))
Element 45: (1, (18, 3), ['', '', '', '%'], [(5, 5), (16, 4), (11, 11)], [False, False, False, True], 10, False, [False, False, False, False], 3025, 'North', (18, 4))
Element 46: (1, (18, 4), ['', '', '', '%'], [(6, 5), (15, 4), (10, 11)], [False, False, False, True], 8, False, [False, False, False, False], 3044, 'North', (18, 5))
Element 47: (1, (18, 5), ['', '', '', '%'], [(7, 5), (16, 4), (10, 12)], [False, False, False, True], 6, False, [False, False, False, False], 3063, 'North', (18, 6))
Element 48: (1, (18, 6), ['', '', '%', '%'], [(7, 6), (17, 4), (9, 12)], [False, False, True, True], 4, False, [False, False, False, False], 3082, 'West', (17, 6))
Element 49: (1, (17, 6), ['%', 'G', '', ''], [(8, 6), (17, 5), (9, 13)], [True, False, False, False], 2, False, [False, False, False, False], 3101, 'North', (17, 7))
Element 50: (1, (17, 7), ['', '', '', '%'], [(8, 6), (16, 5), (8, 13)], [False, False, False, True], 0, False, [False, False, False, False], 3110, 'Stop', (17, 7))
Element 51: #0#
