Element 1: (3, (18, 3), ['.', '.', '.', '%'], [(18, 13), (2, 12), (7, 4)], [False, False, False, True], 98, False, [True, True, True, False], 29, 'North', (18, 4))
Element 2: (3, (18, 4), ['.', '', '.', '%'], [(17, 13), (3, 12), (8, 4)], [False, False, False, True], 96, False, [True, False, True, False], 58, 'North', (18, 5))
Element 3: (3, (18, 5), ['.', '', '.', '%'], [(16, 13), (4, 12), (9, 4)], [False, False, False, True], 94, False, [True, False, True, False], 97, 'North', (18, 6))
Element 4: (3, (18, 6), ['.', '', '%', '%'], [(15, 13), (4, 11), (10, 4)], [False, False, True, True], 92, False, [True, False, False, False], 136, 'West', (17, 6))
Element 5: (3, (17, 6), ['%', '.', '.', ''], [(15, 12), (5, 11), (11, 4)], [True, False, False, False], 90, False, [False, True, True, False], 175, 'North', (17, 7))
Element 6: (3, (17, 7), ['.', '', '.', '%'], [(15, 11), (5, 10), (11, 5)], [False, False, False, True], 88, False, [True, False, True, False], 214, 'North', (17, 8))
Element 7: (3, (17, 8), ['.', '', '.', '%'], [(15, 10), (6, 10), (11, 6)], [False, False, False, True], 86, False, [True, False, True, False], 253, 'North', (17, 9))
Element 8: (3, (17, 9), ['.', '', '.', '%'], [(16, 10), (6, 9), (12, 6)], [False, False, False, True], 84, False, [True, False, True, False], 292, 'North', (17, 10))
Element 9: (3, (17, 10), ['', '', '.', '.'], [(16, 9), (7, 9), (12, 7)], [False, False, False, False], 82, False, [False, False, True, True], 331, 'East', (18, 10))
Element 10: (3, (18, 10), ['', '%', '.', '%'], [(16, 8), (7, 8), (13, 7)], [False, True, False, True], 80, False, [False, False, True, False], 370, 'North', (18, 11))
Element 11: (3, (18, 11), ['.', '', '%', '%'], [(16, 7), (8, 8), (14, 7)], [False, False, True, True], 78, False, [True, False, False, False], 409, 'West', (17, 11))
Element 12: (3, (17, 11), ['%', '', '%', ''], [(15, 7), (9, 8), (13, 7)], [True, False, True, False], 76, False, [False, False, False, False], 438, 'East', (18, 11))
Element 13: (3, (18, 11), ['', '', '%', '%'], [(15, 8), (10, 8), (13, 8)], [False, False, True, True], 74, False, [False, False, False, False], 1457, 'South', (18, 10))
Element 14: (3, (18, 10), ['', '%', '', '%'], [(15, 9), (11, 8), (12, 8)], [False, True, False, True], 72, False, [False, False, False, False], 1486, 'West', (17, 10))
Element 15: (3, (17, 10), ['', '', '', ''], [(14, 9), (11, 9), (12, 9)], [False, False, False, False], 70, False, [False, False, False, False], 1515, 'North', (17, 11))
Element 16: (3, (17, 11), ['%', '', '%', ''], [(15, 9), (11, 8), (11, 9)], [True, False, True, False], 68, False, [False, False, False, False], 1514, 'South', (17, 10))
Element 17: (3, (17, 10), ['', '', '', ''], [(15, 8), (10, 8), (11, 8)], [False, False, False, False], 66, False, [False, False, False, False], 1513, 'West', (16, 10))
Element 18: (3, (16, 10), ['', '', '%', ''], [(15, 7), (10, 7), (10, 8)], [False, False, True, False], 64, False, [False, False, False, False], 1522, 'South', (16, 9))
Element 19: (3, (16, 9), ['', '', '', ''], [(14, 7), (10, 6), (10, 7)], [False, False, False, False], 62, False, [False, False, False, False], 1531, 'South', (16, 8))
Element 20: (3, (16, 8), ['', '', '', ''], [(13, 7), (10, 5), (9, 7)], [False, False, False, False], 60, False, [False, False, False, False], 1550, 'South', (16, 7))
Element 21: (3, (16, 7), ['', '%', '', ''], [(13, 8), (9, 5), (9, 6)], [False, True, False, False], 58, False, [False, False, False, False], 1569, 'West', (15, 7))
Element 22: (3, (15, 7), ['', '%', '', ''], [(12, 8), (9, 4), (8, 6)], [False, True, False, False], 56, False, [False, False, False, False], 1578, 'North', (15, 8))
Element 23: (3, (15, 8), ['%', '', '', ''], [(12, 9), (9, 3), (8, 7)], [True, False, False, False], 54, False, [False, False, False, False], 1597, 'North', (15, 9))
Element 24: (3, (15, 9), ['', '', '', ''], [(11, 9), (10, 3), (7, 7)], [False, False, False, False], 52, False, [False, False, False, False], 1616, 'North', (15, 10))
Element 25: (3, (15, 10), ['%', '', '', ''], [(11, 8), (11, 3), (7, 6)], [True, False, False, False], 50, False, [False, False, False, False], 1635, 'North', (15, 11))
Element 26: (3, (15, 11), ['.', '', '', '%'], [(10, 8), (12, 3), (7, 5)], [False, False, False, True], 48, False, [True, False, False, False], 1654, 'West', (14, 11))
Element 27: (3, (14, 11), ['.', '%', '.', ''], [(10, 7), (13, 3), (6, 5)], [False, True, False, False], 46, False, [True, False, True, False], 1683, 'North', (14, 12))
Element 28: (3, (14, 12), ['.', '', '%', ''], [(10, 6), (14, 3), (5, 5)], [False, False, True, False], 44, False, [True, False, False, False], 1712, 'West', (13, 12))
Element 29: (3, (13, 12), ['.', '.', '.', ''], [(11, 6), (15, 3), (5, 6)], [False, False, False, False], 42, False, [True, True, True, False], 1741, 'North', (13, 13))
Element 30: (3, (13, 13), ['.', '', '%', '%'], [(12, 6), (16, 3), (5, 7)], [False, False, True, True], 40, False, [True, False, False, False], 1770, 'West', (12, 13))
Element 31: (3, (12, 13), ['.', '.', '%', ''], [(12, 7), (17, 3), (4, 7)], [False, False, True, False], 38, False, [True, True, False, False], 1799, 'South', (12, 12))
Element 32: (3, (12, 12), ['%', '.', '', ''], [(12, 6), (17, 4), (4, 8)], [True, False, False, False], 36, False, [False, True, False, False], 1828, 'South', (12, 11))
