Element 38: (3, (13, 5), ['%', '', '%', ''], [(9, 12), (16, 13), (13, 12)], [True, False, True, False], 24, False, [False, False, False, False], 1712, 'East', (14, 5))
Element 39: (3, (14, 5), ['', '', '%', ''], [(9, 13), (15, 13), (13, 11)], [False, False, True, False], 22, False, [False, False, False, False], 1721, 'South', (14, 4))
Element 40: (3, (14, 4), ['', '', '', ''], [(8, 13), (15, 12), (12, 11)], [False, False, False, False], 20, False, [False, False, False, False], 1730, 'West', (13, 4))
Element 41: (3, (13, 4), ['%', '', '', ''], [(8, 12), (14, 12), (12, 12)], [True, False, False, False], 18, False, [False, False, False, False], 1739, 'East', (14, 4))
Element 42: (3, (14, 4), ['', '', '', ''], [(7, 12), (14, 11), (12, 11)], [False, False, False, False], 16, False, [False, False, False, False], 1748, 'East', (15, 4))
Element 43: (3, (15, 4), ['', '', '', ''], [(7, 13), (13, 11), (11, 11)], [False, False, False, False], 14, False, [False, False, False, False], 1757, 'North', (15, 5))
Element 44: (3, (15, 5), ['', '', '%', ''], [(6, 13), (13, 12), (10, 11)], [False, False, True, False], 12, False, [False, False, False, False], 1766, 'West', (14, 5))
Element 45: (3, (14, 5), ['', '', '%', ''], [(6, 12), (13, 13), (10, 12)], [False, False, True, False], 10, False, [False, False, False, False], 1775, 'East', (15, 5))
Element 46: (3, (15, 5), ['', '', '%', ''], [(6, 13), (12, 13), (9, 12)], [False, False, True, False], 8, False, [False, False, False, False], 1774, 'East', (16, 5))
Element 47: (3, (16, 5), ['', '', '%', ''], [(7, 13), (12, 12), (9, 13)], [False, False, True, False], 6, False, [False, False, False, False], 1773, 'South', (16, 4))
Element 48: (3, (16, 4), ['', '', '', ''], [(7, 12), (12, 11), (8, 13)], [False, False, False, False], 4, False, [False, False, False, False], 1772, 'West', (15, 4))
Element 49: (3, (15, 4), ['', '', '', ''], [(7, 11), (11, 11), (8, 12)], [False, False, False, False], 2, False, [False, False, False, False], 1781, 'East', (16, 4))
Element 50: (3, (16, 4), ['', '', '', ''], [(7, 11), (11, 11), (8, 12)], [False, False, False, False], 0, False, [False, False, False, False], 1780, 'Stop', (16, 4))
Element 51: #0#
