Element 1: (2, (8, 12), ['', '.', '.', '.'], [(18, 2), (7, 13), (18, 6)], [False, False, False, False], 98, False, [False, True, True, True], 19, 'East', (9, 12))
Element 2: (2, (9, 12), ['', '.', '.', '.'], [(18, 3), (8, 13), (18, 5)], [False, False, False, False], 96, False, [False, True, True, True], 58, 'East', (10, 12))
Element 3: (2, (10, 12), ['', '.', '%', '%'], [(17, 3), (9, 13), (18, 4)], [False, False, True, True], 94, False, [False, True, False, False], 97, 'South', (10, 11))
Element 4: (2, (10, 11), ['.', '%', '', '.'], [(16, 3), (9, 12), (17, 4)], [False, True, False, False], 92, False, [True, False, False, True], 126, 'East', (11, 11))
Element 5: (2, (11, 11), ['', '%', '%', '.'], [(16, 4), (9, 11), (17, 5)], [False, True, True, False], 90, False, [False, False, False, True], 165, 'East', (12, 11))
Element 6: (2, (12, 11), ['', '%', '.', '.'], [(16, 5), (9, 10), (17, 6)], [False, True, False, False], 88, False, [False, False, True, True], 204, 'East', (13, 11))
Element 7: (2, (13, 11), ['', '%', '.', '.'], [(15, 5), (8, 10), (17, 7)], [False, True, False, False], 86, False, [False, False, True, True], 243, 'East', (14, 11))
Element 8: (2, (14, 11), ['', '%', '.', '.'], [(15, 4), (8, 11), (17, 8)], [False, True, False, False], 84, False, [False, False, True, True], 282, 'East', (15, 11))
Element 9: (2, (15, 11), ['', '.', '.', '%'], [(15, 3), (7, 11), (17, 9)], [False, False, False, True], 82, False, [False, True, True, False], 321, 'North', (15, 12))
Element 10: (2, (15, 12), ['.', '', '.', '%'], [(14, 3), (8, 11), (17, 10)], [False, False, False, True], 80, False, [True, False, True, False], 350, 'North', (15, 13))
Element 11: (2, (15, 13), ['%', '', '%', '.'], [(14, 4), (8, 12), (18, 10)], [True, False, True, False], 78, False, [False, False, False, True], 379, 'East', (16, 13))
Element 12: (2, (16, 13), ['', '%', '%', '.'], [(14, 5), (8, 11), (18, 11)], [False, True, True, False], 76, False, [False, False, False, True], 408, 'East', (17, 13))
Element 13: (2, (17, 13), ['', '%', '%', '.'], [(13, 5), (8, 10), (17, 11)], [False, True, True, False], 74, False, [False, False, False, True], 437, 'East', (18, 13))
Element 14: (2, (18, 13), ['', '%', '%', '%'], [(13, 4), (9, 10), (18, 11)], [False, True, True, True], 72, False, [False, False, False, False], 456, 'West', (17, 13))
Element 15: (2, (17, 13), ['', '%', '%', ''], [(13, 3), (9, 11), (18, 10)], [False, True, True, False], 70, False, [False, False, False, False], 465, 'West', (16, 13))
Element 16: (2, (16, 13), ['', '%', '%', ''], [(13, 2), (8, 11), (17, 10)], [False, True, True, False], 68, False, [False, False, False, False], 474, 'West', (15, 13))
Element 17: (2, (15, 13), ['%', '', '%', ''], [(12, 2), (9, 11), (17, 11)], [True, False, True, False], 66, False, [False, False, False, False], 483, 'South', (15, 12))
Element 18: (2, (15, 12), ['.', '', '', '%'], [(12, 3), (10, 11), (17, 10)], [False, False, False, True], 64, False, [True, False, False, False], 492, 'West', (14, 12))
Element 19: (2, (14, 12), ['.', '', '%', ''], [(11, 3), (11, 11), (16, 10)], [False, False, True, False], 62, False, [True, False, False, False], 521, 'West', (13, 12))
Element 20: (2, (13, 12), ['.', '', '.', ''], [(11, 4), (12, 11), (16, 9)], [False, False, False, False], 60, False, [True, False, True, False], 550, 'North', (13, 13))
Element 21: (2, (13, 13), ['.', '', '%', '%'], [(11, 5), (12, 12), (16, 8)], [False, False, True, True], 58, False, [True, False, False, False], 589, 'West', (12, 13))
Element 22: (2, (12, 13), ['.', '', '%', ''], [(11, 6), (13, 12), (16, 7)], [False, False, True, False], 56, False, [True, False, False, False], 618, 'West', (11, 13))
Element 23: (2, (11, 13), ['%', '%', '%', ''], [(12, 6), (14, 12), (15, 7)], [True, True, True, False], 54, False, [False, False, False, False], 647, 'East', (12, 13))
Element 24: (2, (12, 13), ['', '', '%', ''], [(12, 7), (15, 12), (15, 8)], [False, False, True, False], 52, False, [False, False, False, False], 666, 'South', (12, 12))
Element 25: (2, (12, 12), ['%', '', '', ''], [(13, 7), (15, 13), (15, 9)], [True, False, False, False], 50, False, [False, False, False, False], 685, 'North', (12, 13))
Element 26: (2, (12, 13), ['', '', '%', ''], [(14, 7), (16, 13), (15, 10)], [False, False, True, False], 48, False, [False, False, False, False], 704, 'East', (13, 13))
Element 27: (2, (13, 13), ['', '', '%', '%'], [(15, 7), (17, 13), (15, 11)], [False, False, True, True], 46, False, [False, False, False, False], 703, 'South', (13, 12))
Element 28: (2, (13, 12), ['', '', '', ''], [(16, 7), (18, 13), (15, 12)], [False, False, False, False], 44, False, [False, False, False, False], 702, 'West', (12, 12))
Element 29: (2, (12, 12), ['%', '', '', ''], [(17, 7), (17, 13), (15, 13)], [True, False, False, False], 42, False, [False, False, False, False], 701, 'East', (13, 12))
Element 30: (2, (13, 12), ['', '', '', ''], [(17, 8), (18, 13), (16, 13)], [False, False, False, False], 40, False, [False, False, False, False], 700, 'East', (14, 12))
Element 31: (2, (14, 12), ['', '', '%', ''], [(17, 9), (17, 13), (17, 13)], [False, False, True, False], 38, False, [False, False, False, False], 699, 'East', (15, 12))
Element 32: (2, (15, 12), ['', '', '', '%'], [(17, 10), (16, 13), (18, 13)], [False, False, False, True], 36, False, [False, False, False, False], 698, 'South', (15, 11))
Element 33: (2, (15, 11), ['', '', '', '%'], [(18, 10), (15, 13), (17, 13)], [False, False, False, True], 34, False, [False, False, False, False], 697, 'South', (15, 10))
Element 34: (2, (15, 10), ['%', '', '', ''], [(18, 11), (15, 12), (16, 13)], [True, False, False, False], 32, False, [False, False, False, False], 696, 'East', (16, 10))
Element 35: (2, (16, 10), ['', '', '%', ''], [(17, 11), (14, 12), (15, 13)], [False, False, True, False], 30, False, [False, False, False, False], 695, 'East', (17, 10))
Element 36: (2, (17, 10), ['', '', '', ''], [(18, 11), (14, 11), (15, 12)], [False, False, False, False], 28, False, [False, False, False, False], 694, 'East', (18, 10))
Element 37: (2, (18, 10), ['', '%', '', '%'], [(17, 11), (15, 11), (14, 12)], [False, True, False, True], 26, False, [False, False, False, False], 693, 'North', (18, 11))
Element 38: (2, (18, 11), ['', '', '%', '%'], [(17, 10), (15, 10), (14, 11)], [False, False, True, True], 24, False, [False, False, False, False], 692, 'West', (17, 11))
Element 39: (2, (17, 11), ['%', '', '%', ''], [(16, 10), (15, 9), (13, 11)], [True, False, True, False], 22, False, [False, False, False, False], 691, 'East', (18, 11))
Element 40: (2, (18, 11), ['', '', '%', '%'], [(16, 9), (14, 9), (13, 12)], [False, False, True, True], 20, False, [False, False, False, False], 700, 'South', (18, 10))
Element 41: (2, (18, 10), ['', '%', '', '%'], [(16, 8), (15, 9), (13, 13)], [False, True, False, True], 18, False, [False, False, False, False], 699, 'West', (17, 10))
Element 42: (2, (17, 10), ['', '', '', ''], [(15, 8), (14, 9), (12, 13)], [False, False, False, False], 16, False, [False, False, False, False], 698, 'North', (17, 11))
Element 43: (2, (17, 11), ['%', '', '%', ''], [(15, 9), (14, 9), (12, 12)], [True, False, True, False], 14, False, [False, False, False, False], 697, 'South', (17, 10))
Element 44: (2, (17, 10), ['', '', '', ''], [(15, 10), (15, 9), (12, 11)], [False, False, False, False], 12, False, [False, False, False, False], 696, 'South', (17, 9))
Element 45: (2, (17, 9), ['', '', '', '%'], [(15, 11), (14, 9), (11, 11)], [False, False, False, True], 10, False, [False, False, False, False], 695, 'South', (17, 8))
Element 46: (2, (17, 8), ['', '', '', '%'], [(15, 12), (14, 9), (10, 11)], [False, False, False, True], 8, False, [False, False, False, False], 694, 'South', (17, 7))
Element 47: (2, (17, 7), ['', '', '', '%'], [(15, 13), (14, 9), (10, 12)], [False, False, False, True], 6, False, [False, False, False, False], 693, 'South', (17, 6))
Element 48: (2, (17, 6), ['%', '', '', ''], [(16, 13), (14, 9), (9, 12)], [True, False, False, False], 4, False, [False, False, False, False], 692, 'East', (18, 6))
Element 49: (2, (18, 6), ['', '', '%', '%'], [(17, 13), (14, 9), (9, 13)], [False, False, True, True], 2, False, [False, False, False, False], 691, 'South', (18, 5))
Element 50: (2, (18, 5), ['', '', '', '%'], [(17, 13), (14, 9), (8, 13)], [False, False, False, True], 0, False, [False, False, False, False], 690, 'Stop', (18, 5))
Element 51: #0#
