Element 1: (2, (5, 9), ['.', '%', 'G', '.'], [(10, 6), (5, 10), (14, 3)], [False, True, False, False], 98, False, [True, False, False, True], 19, 'East', (6, 9))
Element 2: (2, (6, 9), ['', '.', 'G', '.'], [(11, 6), (6, 10), (15, 3)], [False, False, False, False], 96, False, [False, True, False, True], 58, 'East', (7, 9))
Element 3: (2, (7, 9), ['G', '.', '%', '%'], [(12, 6), (6, 9), (16, 3)], [False, False, True, True], 94, False, [False, True, False, False], 87, 'South', (7, 8))
Element 4: (2, (7, 8), ['G', '.', '', '.'], [(12, 7), (6, 8), (17, 3)], [False, False, False, False], 92, False, [False, True, False, True], 126, 'East', (8, 8))
Element 5: (2, (8, 8), ['G', '.', '%', '.'], [(13, 7), (7, 8), (18, 3)], [False, False, True, False], 90, False, [False, True, False, True], 155, 'East', (9, 8))
Element 6: (2, (9, 8), ['', '.', '%', 'F'], [(14, 7), (7, 7), (18, 4)], [False, False, True, False], 88, False, [False, True, False, False], 194, 'East', (10, 8))
Element 7: (2, (10, 8), ['', '.', '%', '.'], [(15, 7), (8, 7), (18, 5)], [False, False, True, False], 86, False, [False, True, False, True], 1223, 'East', (11, 8))
Element 8: (2, (11, 8), ['', '%', '.', '.'], [(16, 7), (9, 7), (18, 6)], [False, True, False, False], 84, False, [False, False, True, True], 1262, 'East', (12, 8))
Element 9: (2, (12, 8), ['', '', '.', '.'], [(17, 7), (10, 7), (17, 6)], [False, False, False, False], 82, False, [False, False, True, True], 1301, 'East', (13, 8))
Element 10: (2, (13, 8), ['', '', '%', '%'], [(17, 8), (10, 8), (17, 5)], [False, False, True, True], 80, False, [False, False, False, False], 1330, 'South', (13, 7))
Element 11: (2, (13, 7), ['', '%', '', ''], [(17, 9), (11, 8), (17, 4)], [False, True, False, False], 78, False, [False, False, False, False], 1349, 'East', (14, 7))
Element 12: (2, (14, 7), ['', '%', '%', ''], [(17, 10), (11, 9), (16, 4)], [False, True, True, False], 76, False, [False, False, False, False], 1378, 'East', (15, 7))
Element 13: (2, (15, 7), ['', '%', '.', ''], [(18, 10), (12, 9), (16, 5)], [False, True, False, False], 74, False, [False, False, True, False], 1407, 'North', (15, 8))
Element 14: (2, (15, 8), ['%', '', '.', '.'], [(18, 11), (12, 8), (15, 5)], [True, False, False, False], 72, False, [False, False, True, True], 1436, 'East', (16, 8))
Element 15: (2, (16, 8), ['', '', '.', ''], [(17, 11), (13, 8), (15, 4)], [False, False, False, False], 70, False, [False, False, True, False], 1465, 'North', (16, 9))
Element 16: (2, (16, 9), ['.', '', '.', ''], [(18, 11), (13, 7), (14, 4)], [False, False, False, False], 68, False, [True, False, True, False], 1484, 'North', (16, 10))
Element 17: (2, (16, 10), ['.', '', '%', ''], [(18, 10), (14, 7), (14, 5)], [False, False, True, False], 66, False, [True, False, False, False], 1503, 'West', (15, 10))
Element 18: (2, (15, 10), ['%', '.', '.', ''], [(17, 10), (15, 7), (13, 5)], [True, False, False, False], 64, False, [False, True, True, False], 1522, 'North', (15, 11))
Element 19: (2, (15, 11), ['.', '', '.', '%'], [(17, 11), (16, 7), (13, 4)], [False, False, False, True], 62, False, [True, False, True, False], 1541, 'North', (15, 12))
Element 20: (2, (15, 12), ['.', '', '.', '%'], [(17, 10), (17, 7), (13, 3)], [False, False, False, True], 60, False, [True, False, True, False], 1560, 'North', (15, 13))
